measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,196421.0,1854640.0,1854640.0,,,,1070.0,10446.0,10446.0
2003-02-01,297903.0,2925360.0,2925360.0,,,,691.0,7012.0,7012.0
2003-03-01,168365.0,1616020.0,1616020.0,,,,776.0,7737.0,7737.0
2003-04-01,139421.0,1358010.0,1358010.0,,,,2378.0,24151.0,24151.0
2003-05-01,165084.0,1586915.0,1586915.0,,,,1167.0,11782.0,11782.0
2003-06-01,181301.0,1729533.0,1729533.0,,,,854.0,8512.0,8512.0
2003-07-01,149844.0,1422652.0,1422652.0,,,,1056.0,10430.0,10430.0
2003-08-01,337068.0,3398580.0,3398580.0,,,,642.0,6693.0,6693.0
2003-09-01,257824.0,2621014.0,2621014.0,,,,1272.0,13397.0,13397.0
2003-10-01,321002.0,3222973.0,3222973.0,,,,369.0,3825.0,3825.0
2003-11-01,393852.0,4017470.0,4017470.0,,,,274.0,2891.0,2891.0
2003-12-01,322009.0,3180000.0,3180000.0,,,,589.0,6027.0,6027.0
2004-01-01,337708.0,3394448.0,3394448.0,,,,185.0,1920.0,1920.0
2004-02-01,213153.0,2110565.0,2110565.0,,,,1458.0,14853.0,14853.0
2004-03-01,291435.0,2897306.0,2897306.0,,,,502.0,5159.0,5159.0
2004-04-01,72403.0,723629.0,723629.0,,,,1112.0,11684.0,11684.0
2004-05-01,263481.0,2595974.0,2595974.0,,,,845.0,8661.0,8661.0
2004-06-01,185073.0,1817952.0,1817952.0,,,,2362.0,24120.0,24120.0
2004-07-01,323633.0,3126063.0,3126063.0,,,,1132.0,11923.0,11923.0
2004-08-01,230691.0,2160522.0,2160522.0,,,,1032.0,10417.0,10417.0
2004-09-01,319922.0,3077762.0,3077762.0,,,,1100.0,11567.0,11567.0
2004-10-01,151874.0,1419249.0,1419249.0,,,,1380.0,13732.0,13732.0
2004-11-01,276370.0,2621938.0,2621938.0,,,,946.0,9724.0,9724.0
2004-12-01,317188.0,3019072.0,3019072.0,,,,413.0,4374.0,4374.0
2005-01-01,191281.0,1768718.05,1768718.05,0.0,0.0,0.0,256.0,2596.62,2596.62
2005-02-01,110155.0,1005943.18,1005943.18,0.0,0.0,0.0,1194.0,11710.94,11710.94
2005-03-01,98238.0,886710.7,886710.7,0.0,0.0,0.0,776.0,7522.66,7522.66
2005-04-01,27123.0,252697.41,252697.41,0.0,0.0,0.0,2282.0,22655.1,22655.1
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,311.0,2962.59,2962.59
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,802.0,7662.07,7662.07
2005-07-01,92739.0,857718.0,857718.0,0.0,0.0,0.0,2385.0,24322.28,24322.28
2005-08-01,139843.0,1251579.0,1251579.0,0.0,0.0,0.0,13.0,127.8,127.8
2005-09-01,204479.0,1868798.79,1868798.79,27.0,441.48,441.48,98.0,987.53,987.53
2005-10-01,39107.0,348063.12,348063.12,16.0,261.41,261.41,1380.0,13349.08,13349.08
2005-11-01,154748.0,1399563.65,1399563.65,20.0,325.3,325.3,478.0,4699.48,4699.48
2005-12-01,154129.0,1401615.67,1401615.67,25.0,347.94,347.94,1486.0,14671.47,14671.47
2006-01-01,188538.0,1705344.0,1705344.0,23.0,354.0,354.0,180.0,1768.0,1768.0
2006-02-01,113740.0,1014918.0,1014918.0,0.0,0.0,0.0,947.0,9182.0,9182.0
2006-03-01,132710.0,1188529.0,1188529.0,0.0,0.0,0.0,1497.0,14620.0,14620.0
2006-04-01,-697.0,333.0,333.0,0.0,0.0,0.0,-1310.0,696.0,696.0
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,6316.0,64816.0,64816.0
2006-06-01,160108.0,1459974.0,1459974.0,0.0,0.0,0.0,1552.0,15548.0,15548.0
2006-07-01,307601.0,2872522.0,2872522.0,18.0,325.0,325.0,1366.0,13872.0,13872.0
2006-08-01,343403.0,3274813.0,3274813.0,104.0,1629.0,1629.0,2435.0,24863.0,24863.0
2006-09-01,412666.0,3930397.0,3930397.0,0.0,0.0,0.0,19.0,191.0,191.0
2006-10-01,284420.0,2684790.0,2684790.0,22.0,325.0,325.0,1450.0,14956.0,14956.0
2006-11-01,290475.0,2712268.0,2712268.0,0.0,0.0,0.0,575.0,5797.0,5797.0
2006-12-01,369662.0,3505078.0,3505078.0,33.0,487.0,487.0,142.0,1438.0,1438.0
2007-01-01,198500.343,1903724.0,1903724.0,0.0,0.0,0.0,55.609,533.0,533.0
2007-02-01,23172.222,222266.0,222266.0,27.0,435.0,435.0,807.43,7745.0,7745.0
2007-03-01,63297.633,607671.0,607671.0,0.0,0.0,0.0,929.915,8927.0,8927.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,393.02,3774.0,3774.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,918.58,16562.0,16562.0
