measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2010-02-01,,,,480.288,5808.0,5808.0
2010-03-01,,,,511.47200000000004,6185.0,6185.0
2010-04-01,,,,430.815,5210.0,5210.0
2010-05-01,,,,313.79,3795.0,3795.0
2010-06-01,,,,292.913,3542.0,3542.0
2010-07-01,,,,483.562,5848.0,5848.0
2010-08-01,,,,570.783,6903.0,6903.0
2010-09-01,,,,528.913,6396.0,6396.0
2010-10-01,,,,593.787,7180.0,7180.0
2010-11-01,,,,500.02500000000003,6047.0,6047.0
2010-12-01,,,,468.42600000000004,5665.0,5665.0
2011-01-01,,,,568.083,6480.0,6480.0
2011-02-01,,,,560.177,6392.0,6392.0
2011-03-01,,,,445.583,5084.0,5084.0
2011-04-01,,,,379.666,4332.0,4332.0
2011-05-01,,,,338.749,3865.0,3865.0
2011-06-01,,,,376.984,4302.0,4302.0
2011-07-01,,,,604.397,6896.0,6896.0
2011-08-01,,,,742.054,8466.0,8466.0
2011-09-01,,,,753.301,8595.0,8595.0
2011-10-01,,,,603.325,6883.0,6883.0
2011-11-01,,,,594.803,6787.0,6787.0
2011-12-01,,,,773.878,8830.0,8830.0
2012-01-01,,,,1960.665,20633.0,20633.0
2012-02-01,,,,1960.516,20632.0,20632.0
2012-03-01,,,,1864.686,19624.0,19624.0
2012-04-01,,,,1727.679,18182.0,18182.0
2012-05-01,,,,1715.619,18055.0,18055.0
2012-06-01,,,,1816.274,19115.0,19115.0
2012-07-01,,,,2148.075,22606.0,22606.0
2012-08-01,,,,2828.538,29767.0,29767.0
2012-09-01,,,,2569.563,27042.0,27042.0
2012-10-01,,,,2377.719,25022.0,25022.0
2012-11-01,,,,2052.966,21605.0,21605.0
2012-12-01,,,,1936.7,20382.0,20382.0
2013-01-01,,,,1614.939,14631.0,14631.0
2013-02-01,,,,1487.618,13475.0,13475.0
2013-03-01,,,,1434.716,12995.0,12995.0
2013-04-01,,,,1234.581,11182.0,11182.0
2013-05-01,,,,1303.812,11810.0,11810.0
2013-06-01,,,,1542.502,13972.0,13972.0
2013-07-01,,,,1957.262,17729.0,17729.0
2013-08-01,,,,1996.137,18081.0,18081.0
2013-09-01,,,,1991.148,18035.0,18035.0
2013-10-01,,,,1727.678,15649.0,15649.0
2013-11-01,,,,1704.13,15436.0,15436.0
2013-12-01,,,,1984.477,17975.0,17975.0
2014-01-01,,,,1718.481,16970.0,16970.0
2014-02-01,,,,1604.765,15847.0,15847.0
2014-03-01,,,,1392.583,13751.0,13751.0
2014-04-01,,,,1324.157,13076.0,13076.0
2014-05-01,,,,1335.198,13185.0,13185.0
2014-06-01,,,,1316.272,12999.0,12999.0
2014-07-01,,,,1862.368,18391.0,18391.0
2014-08-01,,,,1922.429,18984.0,18984.0
2014-09-01,,,,2010.899,19857.0,19857.0
2014-10-01,,,,1983.73,19589.0,19589.0
2014-11-01,,,,1433.642,14157.0,14157.0
2014-12-01,,,,1559.476,15400.0,15400.0
2015-01-01,,,,2267.758,22891.0,22891.0
2015-02-01,,,,1679.209,16949.0,16949.0
2015-03-01,,,,1967.242,19856.0,19856.0
2015-04-01,,,,1887.803,19055.0,19055.0
2015-05-01,,,,1842.991,18602.0,18602.0
2015-06-01,,,,2591.565,26159.0,26159.0
2015-07-01,,,,2922.957,29504.0,29504.0
2015-08-01,,,,3083.18,31121.0,31121.0
2015-09-01,,,,3061.879,30905.0,30905.0
2015-10-01,,,,2949.504,29771.0,29771.0
2015-11-01,,,,2174.739,21951.0,21951.0
2015-12-01,,,,2326.173,23480.0,23480.0
2016-01-01,,,,2538.204,25634.0,25634.0
2016-02-01,,,,2014.387,20344.0,20344.0
2016-03-01,,,,1566.652,15823.0,15823.0
2016-04-01,,,,1498.231,15131.0,15131.0
2016-05-01,,,,1617.26,16334.0,16334.0
2016-06-01,,,,2460.385,24848.0,24848.0
2016-07-01,,,,2902.061,29309.0,29309.0
2016-08-01,,,,3209.786,32417.0,32417.0
2016-09-01,,,,2657.204,26837.0,26837.0
2016-10-01,,,,2621.137,26472.0,26472.0
2016-11-01,,,,2015.431,20355.0,20355.0
2016-12-01,-5.0,0.0,0.0,2282.262,23049.0,23049.0
2017-01-01,0.0,0.0,0.0,1972.097,21475.0,21475.0
2017-02-01,0.0,0.0,0.0,1505.261,16393.0,16393.0
2017-03-01,0.0,0.0,0.0,1246.559,13576.0,13576.0
2017-04-01,0.0,0.0,0.0,1113.555,12126.0,12126.0
2017-05-01,0.0,0.0,0.0,1381.47,15045.0,15045.0
2017-06-01,0.0,0.0,0.0,1817.532,19793.0,19793.0
2017-07-01,0.0,0.0,0.0,2478.516,26991.0,26991.0
2017-08-01,0.0,0.0,0.0,2797.899,30469.0,30469.0
2017-09-01,0.0,0.0,0.0,2302.149,25071.0,25071.0
2017-10-01,0.0,0.0,0.0,2180.29,23744.0,23744.0
2017-11-01,0.0,0.0,0.0,1894.84,20635.0,20635.0
2017-12-01,0.0,0.0,0.0,2008.832,21877.0,21877.0
2018-01-01,0.0,0.0,0.0,1194.249,14528.0,14528.0
2018-02-01,0.0,0.0,0.0,1048.578,12757.0,12757.0
2018-03-01,0.0,0.0,0.0,1090.559,13268.0,13268.0
2018-04-01,0.0,0.0,0.0,820.737,9985.0,9985.0
2018-05-01,0.0,0.0,0.0,749.217,9115.0,9115.0
2018-06-01,0.0,0.0,0.0,1024.897,12468.0,12468.0
2018-07-01,0.0,0.0,0.0,1788.44,21758.0,21758.0
2018-08-01,0.0,0.0,0.0,1654.467,20128.0,20128.0
2018-09-01,0.0,0.0,0.0,1331.518,16198.0,16198.0
2018-10-01,0.0,0.0,0.0,1488.334,18106.0,18106.0
2018-11-01,0.0,0.0,0.0,1330.512,16187.0,16187.0
2018-12-01,0.0,0.0,0.0,1340.492,16308.0,16308.0
2019-01-01,0.0,0.0,0.0,939.945,11601.0,11601.0
2019-02-01,0.0,0.0,0.0,871.529,10757.0,10757.0
2019-03-01,0.0,0.0,0.0,760.016,9381.0,9381.0
2019-04-01,0.0,0.0,0.0,533.301,6582.0,6582.0
2019-05-01,0.0,0.0,0.0,459.553,5672.0,5672.0
2019-06-01,0.0,0.0,0.0,614.505,7584.0,7584.0
2019-07-01,0.0,0.0,0.0,968.708,11957.0,11957.0
2019-08-01,0.0,0.0,0.0,1137.864,14044.0,14044.0
2019-09-01,0.0,0.0,0.0,1001.236,12358.0,12358.0
2019-10-01,0.0,0.0,0.0,1025.481,12657.0,12657.0
2019-11-01,0.0,0.0,0.0,1005.73,12413.0,12413.0
2019-12-01,0.0,0.0,0.0,1043.132,12875.0,12875.0
2020-01-01,0.0,0.0,0.0,1513.54,17553.0,17553.0
2020-02-01,0.0,0.0,0.0,1336.599,15501.0,15501.0
2020-03-01,0.0,0.0,0.0,1483.714,17206.0,17206.0
2020-04-01,0.0,0.0,0.0,1049.283,12169.0,12169.0
2020-05-01,0.0,0.0,0.0,986.611,11442.0,11442.0
2020-06-01,0.0,0.0,0.0,1387.875,16095.0,16095.0
2020-07-01,0.0,0.0,0.0,1941.491,22516.0,22516.0
2020-08-01,0.0,0.0,0.0,2414.38,28000.0,28000.0
2020-09-01,0.0,0.0,0.0,2102.548,24383.0,24383.0
2020-10-01,0.0,0.0,0.0,2183.549,25323.0,25323.0
2020-11-01,0.0,0.0,0.0,1744.141,20227.0,20227.0
2020-12-01,0.0,0.0,0.0,1933.269,22420.0,22420.0
2021-01-01,0.0,0.0,0.0,86.46,975.0,975.0
2021-02-01,0.0,0.0,0.0,528.277,5961.0,5961.0
2021-03-01,0.0,0.0,0.0,1073.383,12112.0,12112.0
2021-04-01,0.0,0.0,0.0,1220.574,13772.0,13772.0
2021-05-01,0.0,0.0,0.0,2931.733,33080.0,33080.0
2021-06-01,0.0,0.0,0.0,2106.413,23768.0,23768.0
2021-07-01,0.0,0.0,0.0,4482.265,50575.0,50575.0
2021-08-01,0.0,0.0,0.0,2479.131,27973.0,27973.0
2021-09-01,0.0,0.0,0.0,1517.759,17126.0,17126.0
2021-10-01,0.0,0.0,0.0,3260.392,36789.0,36789.0
2021-11-01,0.0,0.0,0.0,1287.711,14530.0,14530.0
2021-12-01,0.0,0.0,0.0,1656.904,18696.0,18696.0
2022-01-01,0.0,0.0,0.0,41.04,573.0,573.0
2022-02-01,0.0,0.0,0.0,74.573,1041.0,1041.0
2022-03-01,0.0,0.0,0.0,260.145,3633.0,3633.0
2022-04-01,0.0,0.0,0.0,1105.732,15441.0,15441.0
2022-05-01,0.0,0.0,0.0,1135.43,15856.0,15856.0
2022-06-01,0.0,0.0,0.0,1936.879,27047.0,27047.0
2022-07-01,0.0,0.0,0.0,1078.093,15055.0,15055.0
2022-08-01,0.0,0.0,0.0,90.524,1264.0,1264.0
2022-09-01,0.0,0.0,0.0,575.667,8039.0,8039.0
2022-10-01,0.0,0.0,0.0,58.279,813.0,813.0
2022-11-01,0.0,0.0,0.0,49.705,694.0,694.0
2022-12-01,0.0,0.0,0.0,457.933,6394.0,6394.0
2023-01-01,0.0,0.0,0.0,163.377,2521.0,2521.0
2023-02-01,0.0,0.0,0.0,377.907,5832.0,5832.0
2023-03-01,0.0,0.0,0.0,6.028,93.0,93.0
2023-04-01,0.0,0.0,0.0,126.594,1954.0,1954.0
2023-05-01,0.0,0.0,0.0,436.649,6738.0,6738.0
2023-06-01,0.0,0.0,0.0,172.739,2666.0,2666.0
2023-07-01,0.0,0.0,0.0,1161.842,17930.0,17930.0
2023-08-01,0.0,0.0,0.0,1000.246,15436.0,15436.0
2023-09-01,0.0,0.0,0.0,334.429,5161.0,5161.0
2023-10-01,0.0,0.0,0.0,300.124,4632.0,4632.0
2023-11-01,0.0,0.0,0.0,175.632,2710.0,2710.0
2023-12-01,0.0,0.0,0.0,19.432,300.0,300.0
2024-01-01,0.0,0.0,0.0,536.706,7286.0,7286.0
2024-02-01,0.0,0.0,0.0,61.796,839.0,839.0
2024-03-01,0.0,0.0,0.0,343.472,4663.0,4663.0
2024-04-01,0.0,0.0,0.0,54.583,741.0,741.0
2024-05-01,0.0,0.0,0.0,614.966,8348.0,8348.0
2024-06-01,0.0,0.0,0.0,400.176,5433.0,5433.0
2024-07-01,0.0,0.0,0.0,383.188,5203.0,5203.0
2024-08-01,0.0,0.0,0.0,1884.026,25578.0,25578.0
2024-09-01,0.0,0.0,0.0,728.107,9885.0,9885.0
2024-10-01,0.0,0.0,0.0,694.99,9435.0,9435.0
2024-11-01,0.0,0.0,0.0,1389.124,18858.0,18858.0
2024-12-01,0.0,0.0,0.0,65.866,894.0,894.0
