measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,,,,,,,5000.63,133366.0,153910.0,,,,,,,,,
2003-02-01,,,,,,,4427.977,118093.0,136285.0,,,,,,,,,
2003-03-01,,,,,,,4805.427000000001,128160.0,147902.0,,,,,,,,,
2003-04-01,,,,,,,4223.714,112646.0,129998.0,,,,,,,,,
2003-05-01,,,,,,,4491.884,119798.0,138252.0,,,,,,,,,
2003-06-01,,,,,,,4496.731,119927.0,138401.0,,,,,,,,,
2003-07-01,,,,,,,5114.905000000001,136413.0,157428.0,,,,,,,,,
2003-08-01,,,,,,,6055.485000000001,161499.0,186377.0,,,,,,,,,
2003-09-01,,,,,,,5109.179,136261.0,157251.0,,,,,,,,,
2003-10-01,,,,,,,3670.483,97891.0,112971.0,,,,,,,,,
2003-11-01,,,,,,,4534.409000000001,120932.0,139561.0,,,,,,,,,
2003-12-01,,,,,,,5300.197,141355.0,163131.0,,,,,,,,,
2004-01-01,,,,13.05276,59.78,563.97,4989.098,78989.04,82979.97,832.94924,3814.89,35989.11,,,,0.0,0.0,0.0
2004-02-01,,,,46.22287,211.7,2079.97,4989.098,78989.04,82979.97,799.77913,3662.97,35989.11,,,,0.0,0.0,0.0
2004-03-01,,,,68.38005,313.18,3164.7,4989.098,78989.04,82979.97,777.62195,3561.49,35989.11,,,,0.0,0.0,0.0
2004-04-01,,,,74.58985,341.62,3479.88,4989.098,78989.04,82979.97,771.41215,3533.05,35989.11,,,,0.0,0.0,0.0
2004-05-01,,,,25.63401,117.4,1124.55,4989.098,78989.04,82979.97,820.36799,3757.27,35989.11,,,,0.0,0.0,0.0
2004-06-01,,,,101.37526,464.3,4899.64,4989.098,78989.04,82979.97,744.62674,3410.38,35989.11,,,,0.0,0.0,0.0
2004-07-01,,,,89.03171999999999,407.76,4232.89,4989.098,78989.04,82979.97,756.97028,3466.91,35989.11,,,,0.0,0.0,0.0
2004-08-01,,,,76.78764,351.69,3592.65,4989.098,78989.04,82979.97,769.2143599999999,3522.99,35989.11,,,,0.0,0.0,0.0
2004-09-01,,,,45.245059999999995,207.22,2033.49,4989.098,78989.04,82979.97,800.75694,3667.45,35989.11,,,,0.0,0.0,0.0
2004-10-01,,,,22.247,101.89,971.95,4989.098,78989.04,82979.97,823.755,3772.78,35989.11,,,,0.0,0.0,0.0
2004-11-01,,,,75.49620999999999,345.77,3526.31,4989.098,78989.04,82979.97,770.5057899999999,3528.9,35989.11,,,,0.0,0.0,0.0
2004-12-01,,,,32.542249999999996,149.04,1439.74,4989.098,78989.04,82979.97,813.45975,3725.63,35989.11,,,,0.0,0.0,0.0
2005-01-01,,,,116.32864000000001,532.78,2313.28,3854.349,61023.31,97691.8,0.0,0.0,0.0,,,,184.82736,846.51,3675.42
2005-02-01,,,,18.15585,83.15,532.47,3416.98,54098.75,86606.32,0.0,0.0,0.0,,,,51.16415,234.33,1500.53
2005-03-01,,,,10.77756,49.36,456.93,4077.567,64557.37,103349.46,0.0,0.0,0.0,,,,48.70744,223.08,2065.01
2005-04-01,,,,16.49641,75.55,457.16,4180.5070000000005,66187.14,105958.55,0.0,0.0,0.0,,,,43.02259,197.04,1192.28
2005-05-01,,,,29.099339999999998,133.27,460.94,3391.391,53693.62,85957.75,0.0,0.0,0.0,,,,30.91066,141.57,489.64
2005-06-01,,,,12.28651,56.27,558.37,5769.759,91348.7,146239.53,0.0,0.0,0.0,,,,60.40649,276.66,2745.23
2005-07-01,,,,33.061119999999995,151.42,1057.49,7435.146000000001,117715.66,188450.2,0.0,0.0,0.0,,,,104.61188,479.12,3346.12
2005-08-01,,,,23.43013,107.31,936.67,7949.283,125855.65,201481.47,0.0,0.0,0.0,,,,98.50787,451.16,3938.07
2005-09-01,,,,9.8325,45.03,521.18,5258.524,83254.67,133281.84,0.0,0.0,0.0,,,,58.0165,265.72,3075.22
2005-10-01,,,,19.590609999999998,89.72,730.7,3636.543,57574.93,92171.34,0.0,0.0,0.0,,,,75.53538999999999,345.95,2817.36
2005-11-01,,,,17.56888,80.47,492.02,3264.208,51680.0,82734.17,0.0,0.0,0.0,,,,46.485119999999995,212.9,1301.83
2005-12-01,,,,45.35028,207.7,1347.74,3526.7630000000004,55836.86,89388.85,0.0,0.0,0.0,,,,130.10672,595.89,3866.56
2006-01-01,,,,0.0,0.0,0.0,4180.4220000000005,66185.81,102786.16,37.04542,169.67,2473.55,,,,133.75358,612.59,8930.82
2006-02-01,,,,0.0,0.0,0.0,4168.237,65992.89,102486.57,39.26398,179.83,2466.34,,,,131.03701999999998,600.15,8231.0
2006-03-01,,,,0.0,0.0,0.0,4547.322,71994.68,111807.31,47.58708,217.95,2690.64,,,,138.20192,632.96,7814.13
2006-04-01,,,,0.0,0.0,0.0,3823.224,60530.53,94003.54,42.785849999999996,195.96,2262.19,,,,113.41915,519.46,5996.74
2006-05-01,,,,0.0,0.0,0.0,3708.7920000000004,58718.81,91189.96,43.50334,199.24,2194.48,,,,108.02665999999999,494.76,5449.29
2006-06-01,,,,0.0,0.0,0.0,4744.261,75112.68,116649.55,67.18043,307.68,2807.17,,,,126.65557,580.08,5292.37
2006-07-01,,,,0.0,0.0,0.0,7104.829000000001,112485.97,174690.05,116.05663,531.54,4203.91,,,,174.22437,797.94,6310.92
2006-08-01,,,,0.0,0.0,0.0,6689.006,105902.52,164465.99,115.65605,529.7,3957.87,,,,157.63594999999998,721.97,5394.47
2006-09-01,,,,0.0,0.0,0.0,4744.512000000001,75116.66,116655.73,64.39707,294.94,2807.32,,,,129.44893,592.87,5643.18
2006-10-01,,,,0.0,0.0,0.0,5291.299,83773.57,130099.86,79.83198999999999,365.63,3130.85,,,,136.35401,624.5,5347.53
2006-11-01,,,,0.0,0.0,0.0,4551.224,72056.47,111903.27,54.161649999999995,248.06,2692.95,,,,131.78735,603.58,6552.55
2006-12-01,,,,0.0,0.0,0.0,4447.192,70409.39,109345.36,41.10058,188.24,2631.39,,,,140.59742,643.94,9001.5
2007-01-01,0.0,0.0,0.0,,,,5193.284000000001,26252.0,26252.0,770.4240000000001,3529.0,5306.0,0.0,0.0,0.0,,,
2007-02-01,0.0,0.0,0.0,,,,2457.2270000000003,12421.0,12421.0,364.53,1670.0,2511.0,0.0,0.0,0.0,,,
2007-03-01,0.0,0.0,0.0,,,,2487.942,12577.0,12577.0,369.086,1691.0,2542.0,0.0,0.0,0.0,,,
2007-04-01,0.0,0.0,0.0,,,,4341.456,21946.0,21946.0,644.055,2950.0,4435.0,0.0,0.0,0.0,,,
2007-05-01,0.0,0.0,0.0,,,,3633.112,18365.0,18365.0,538.972,2468.0,3712.0,0.0,0.0,0.0,,,
2007-06-01,0.0,0.0,0.0,,,,4839.531,24463.0,24463.0,717.945,3288.0,4945.0,0.0,0.0,0.0,,,
2007-07-01,0.0,0.0,0.0,,,,6899.702,34878.0,34878.0,1023.571,4688.0,7050.0,0.0,0.0,0.0,,,
2007-08-01,0.0,0.0,0.0,,,,6683.581,33786.0,33786.0,991.509,4542.0,6829.0,0.0,0.0,0.0,,,
2007-09-01,0.0,0.0,0.0,,,,7703.798000000001,38943.0,38943.0,1142.8590000000002,5234.0,7871.0,0.0,0.0,0.0,,,
2007-10-01,0.0,0.0,0.0,,,,4957.085,25058.0,25058.0,735.384,3368.0,5065.0,0.0,0.0,0.0,,,
2007-11-01,0.0,0.0,0.0,,,,4183.3150000000005,21147.0,21147.0,620.595,2842.0,4274.0,0.0,0.0,0.0,,,
2007-12-01,0.0,0.0,0.0,,,,3917.6270000000004,19804.0,19804.0,581.18,2662.0,4003.0,0.0,0.0,0.0,,,
2008-01-01,0.0,0.0,0.0,,,,330.47900000000004,4898.0,4898.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-02-01,0.0,0.0,0.0,,,,334.43600000000004,4957.0,4957.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-03-01,0.0,0.0,0.0,,,,349.01500000000004,5173.0,5173.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-04-01,0.0,0.0,0.0,,,,251.116,3722.0,3722.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-05-01,0.0,0.0,0.0,,,,261.16700000000003,3871.0,3871.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-06-01,0.0,0.0,0.0,,,,252.24800000000002,3738.0,3738.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-07-01,0.0,0.0,0.0,,,,362.463,5373.0,5373.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
