measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,949.67,8096.0,10026.0,,,
2001-02-01,721.715,6152.0,7619.0,,,
2001-03-01,753.219,6421.0,7952.0,,,
2001-04-01,1109.327,9457.0,11711.0,,,
2001-05-01,962.566,8206.0,10162.0,,,
2001-06-01,813.344,6934.0,8586.0,,,
2001-07-01,739.898,6307.0,7811.0,,,
2001-08-01,614.436,5238.0,6487.0,,,
2001-09-01,563.3330000000001,4802.0,5947.0,,,
2001-10-01,558.8960000000001,4764.0,5900.0,,,
2001-11-01,629.892,5370.0,6650.0,,,
2001-12-01,691.7040000000001,5897.0,7302.0,,,
2002-01-01,407.557,3000.0,7543.0,,,
2002-02-01,392.35900000000004,2888.0,7261.0,,,
2002-03-01,507.492,3736.0,9392.0,,,
2002-04-01,706.7320000000001,5202.0,13080.0,,,
2002-05-01,544.755,4010.0,10082.0,,,
2002-06-01,554.284,4080.0,10258.0,,,
2002-07-01,335.02700000000004,2466.0,6200.0,,,
2002-08-01,294.248,2166.0,5446.0,,,
2002-09-01,260.788,1920.0,4826.0,,,
2002-10-01,306.32800000000003,2255.0,5669.0,,,
2002-11-01,2997.472,22065.0,55475.0,,,
2002-12-01,3145.958,23158.0,58223.0,,,
2003-01-01,939.604,8079.0,9478.0,,,
2003-02-01,832.004,7154.0,8393.0,,,
2003-03-01,902.926,7764.0,9108.0,,,
2003-04-01,793.623,6824.0,8006.0,,,
2003-05-01,844.0120000000001,7257.0,8514.0,,,
2003-06-01,844.923,7265.0,8523.0,,,
2003-07-01,961.076,8264.0,9695.0,,,
2003-08-01,1137.808,9783.0,11478.0,,,
2003-09-01,960.0,8254.0,9684.0,,,
2003-10-01,689.673,5930.0,6957.0,,,
2003-11-01,852.0020000000001,7326.0,8595.0,,,
2003-12-01,995.8910000000001,8563.0,10046.0,,,
2004-01-01,497.32526,3737.8,9627.92,463.80974,3485.9,8979.08
2004-02-01,497.32526,3737.8,9627.92,463.80974,3485.9,8979.08
2004-03-01,497.32526,3737.8,9627.92,463.80974,3485.9,8979.08
2004-04-01,497.32526,3737.8,9627.92,463.80974,3485.9,8979.08
2004-05-01,497.32526,3737.8,9627.92,463.80974,3485.9,8979.08
2004-06-01,497.32526,3737.8,9627.92,463.80974,3485.9,8979.08
2004-07-01,497.32526,3737.8,9627.92,463.80974,3485.9,8979.08
2004-08-01,497.32526,3737.8,9627.92,463.80974,3485.9,8979.08
2004-09-01,497.32526,3737.8,9627.92,463.80974,3485.9,8979.08
2004-10-01,497.32526,3737.8,9627.92,463.80974,3485.9,8979.08
2004-11-01,497.32526,3737.8,9627.92,463.80974,3485.9,8979.08
2004-12-01,497.32526,3737.8,9627.92,463.80974,3485.9,8979.08
2005-01-01,1094.52206,8226.21,18064.17,760.68794,5717.18,12554.51
2005-02-01,191.26234,1437.49,4158.01,235.77066,1772.01,5125.62
2005-03-01,123.0964,925.17,3568.06,243.3486,1828.96,7053.67
2005-04-01,171.27427999999998,1287.26,3570.13,195.37872,1468.43,4072.57
2005-05-01,252.39573000000001,1896.96,3599.53,117.28027,881.46,1672.59
2005-06-01,142.13756999999998,1068.28,4360.32,305.67443,2297.39,9377.11
2005-07-01,355.7341,2673.63,8257.97,492.3709,3700.56,11429.84
2005-08-01,264.57893,1988.52,7314.2,486.59506999999996,3657.15,13451.76
2005-09-01,116.71644,877.22,4069.8,301.25456,2264.17,10504.49
2005-10-01,218.11941,1639.34,5705.9,367.88259,2764.93,9623.63
2005-11-01,182.90377999999998,1374.67,3842.12,211.68622,1590.99,4446.73
2005-12-01,479.335,3602.59,10524.41,601.534,4521.01,13207.45
2006-01-01,94.94863,713.62,3589.17,280.87937,2111.03,10617.58
2006-02-01,148.38425,1115.23,4499.17,322.73075,2425.58,9785.54
2006-03-01,401.96305,3021.07,8192.03,455.83695,3425.98,9289.98
2006-04-01,143.44344,1078.09,3884.24,263.28355999999997,1978.78,7129.33
2006-05-01,82.262,618.26,2682.74,198.65200000000002,1493.03,6478.48
2006-06-01,78.71184,591.58,2582.86,191.74316,1441.11,6291.87
2006-07-01,100.27674,753.66,3201.76,234.98426,1766.09,7502.86
2006-08-01,123.7699,930.23,3407.0,232.9821,1751.05,6413.27
2006-09-01,47.74557,358.85,1991.8,160.82143,1208.7,6709.0
2006-10-01,49.375969999999995,371.1,1983.17,158.28602999999998,1189.65,6357.52
2006-11-01,98.74924999999999,742.18,3222.7,238.70175,1794.04,7790.08
2006-12-01,94.44322,709.82,3590.32,281.50378,2115.73,10701.56
2007-01-01,20.247,161.0,201.0,0.0,0.0,0.0
2007-02-01,4553.0070000000005,36647.0,45825.0,0.0,0.0,0.0
2007-03-01,371.55600000000004,2992.0,3740.0,0.0,0.0,0.0
2007-04-01,7.977,63.0,81.0,0.0,0.0,0.0
2007-05-01,26.122,213.0,265.0,0.0,0.0,0.0
2007-06-01,730.759,5881.0,7354.0,0.0,0.0,0.0
2007-07-01,37.494,299.0,380.0,0.0,0.0,0.0
2007-08-01,273.935,2204.0,2756.0,0.0,0.0,0.0
2007-09-01,31.421000000000003,253.0,316.0,0.0,0.0,0.0
2007-10-01,11.64,92.0,115.0,0.0,0.0,0.0
