measured_on,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2020-12-01,1.0,9.0,9.0
2021-01-01,130.866,1157.0,1157.0
2021-02-01,190.965,1689.0,1689.0
2021-03-01,364.779,3226.0,3226.0
2021-04-01,431.653,3818.0,3818.0
2021-05-01,426.249,3770.0,3770.0
2021-06-01,487.069,4308.0,4308.0
2021-07-01,447.579,3958.0,3958.0
2021-08-01,455.65,4030.0,4030.0
2021-09-01,417.241,3690.0,3690.0
2021-10-01,262.091,2318.0,2318.0
2021-11-01,210.854,1865.0,1865.0
2021-12-01,171.004,1512.0,1512.0
2022-01-01,201.284,687.0,687.0
2022-02-01,226.18,772.0,772.0
2022-03-01,310.605,1060.0,1060.0
2022-04-01,334.762,1142.0,1142.0
2022-05-01,428.633,1462.0,1462.0
2022-06-01,500.858,1709.0,1709.0
2022-07-01,463.669,1582.0,1582.0
2022-08-01,449.669,1534.0,1534.0
2022-09-01,390.691,1333.0,1333.0
2022-10-01,347.579,1186.0,1186.0
2022-11-01,224.617,766.0,766.0
2022-12-01,126.453,431.0,431.0
2023-01-01,159.0,543.0,543.0
2023-02-01,285.0,972.0,972.0
2023-03-01,318.0,1085.0,1085.0
2023-04-01,470.0,1604.0,1604.0
2023-05-01,329.0,1123.0,1123.0
2023-06-01,285.0,972.0,972.0
2023-07-01,482.0,1645.0,1645.0
2023-08-01,451.0,1539.0,1539.0
2023-09-01,407.0,1389.0,1389.0
2023-10-01,302.0,1030.0,1030.0
2023-11-01,281.0,959.0,959.0
2023-12-01,158.0,539.0,539.0
2024-01-01,167.0,570.0,570.0
2024-02-01,302.0,1030.0,1030.0
2024-03-01,393.0,1341.0,1341.0
2024-04-01,416.0,1419.0,1419.0
2024-05-01,496.0,1692.0,1692.0
2024-06-01,506.0,1726.0,1726.0
2024-07-01,481.0,1641.0,1641.0
2024-08-01,475.0,1621.0,1621.0
2024-09-01,337.0,1150.0,1150.0
2024-10-01,411.0,1402.0,1402.0
2024-11-01,207.0,706.0,706.0
2024-12-01,146.0,498.0,498.0
