measured_on,"Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,21601.0,348494.0,348494.0
2003-02-01,19937.0,327936.0,327936.0
2003-03-01,16228.0,249136.0,249136.0
2003-04-01,14493.0,241072.0,241072.0
2003-05-01,19864.0,318133.0,318133.0
2003-06-01,21310.0,346736.0,346736.0
2003-07-01,21971.0,364178.0,364178.0
2003-08-01,21307.0,342656.0,342656.0
2003-09-01,20843.0,325907.0,325907.0
2003-10-01,22466.0,360761.0,360761.0
2003-11-01,21723.0,351712.0,351712.0
2003-12-01,21976.0,346097.0,346097.0
2004-01-01,20514.967,331557.0,331557.0
2004-02-01,19279.393,311588.0,311588.0
2004-03-01,19593.992,316673.0,316673.0
2004-04-01,17461.186,282203.0,282203.0
2004-05-01,14936.478,241399.0,241399.0
2004-06-01,19002.153,307108.0,307108.0
2004-07-01,19686.492,318168.0,318168.0
2004-08-01,21067.454,340487.0,340487.0
2004-09-01,20917.852,338069.0,338069.0
2004-10-01,19570.836000000003,316299.0,316299.0
2004-11-01,20476.135,330930.0,330930.0
2004-12-01,20471.063,330848.0,330848.0
2005-01-01,21701.983,348133.13,348133.13
2005-02-01,18895.18,303107.71,303107.71
2005-03-01,19603.697,314473.41,314473.41
2005-04-01,17470.751,280257.68,280257.68
2005-05-01,19179.372000000003,307666.57,307666.57
2005-06-01,21361.843,342676.76,342676.76
2005-07-01,22581.728,362245.61,362245.61
2005-08-01,22832.971,366275.93,366275.93
2005-09-01,20924.515,335661.35,335661.35
2005-10-01,19759.285,316969.28,316969.28
2005-11-01,19264.388,309030.36,309030.36
2005-12-01,21514.287,345122.19,345122.19
2006-01-01,21846.04,348290.0,348290.0
2006-02-01,20805.955,331708.0,331708.0
2006-03-01,21259.837,338944.0,338944.0
2006-04-01,18087.387000000002,288366.0,288366.0
2006-05-01,19329.626,308171.0,308171.0
2006-06-01,20940.749,333857.0,333857.0
2006-07-01,23820.064,379762.0,379762.0
2006-08-01,23991.939,382502.0,382502.0
2006-09-01,19934.406000000003,317813.0,317813.0
2006-10-01,20619.003,328727.0,328727.0
2006-11-01,20387.176,325031.0,325031.0
2006-12-01,22070.819,351874.0,351874.0
2007-01-01,21400.0,341006.0,341006.0
2007-02-01,18405.0,301134.0,301134.0
2007-03-01,10760.0,159494.0,159494.0
2007-04-01,19293.0,335159.0,335159.0
2007-05-01,21105.0,335730.0,335730.0
2007-06-01,19371.0,319887.0,319887.0
2007-07-01,21436.0,358534.0,358534.0
2007-08-01,20866.0,336015.0,336015.0
2007-09-01,19473.0,297721.0,297721.0
2007-10-01,20289.0,328744.0,328744.0
2007-11-01,20476.0,328569.0,328569.0
2007-12-01,20788.0,343551.0,343551.0
2008-01-01,22153.0,360095.0,360095.0
2008-02-01,20476.0,336875.0,336875.0
2008-03-01,11714.0,197860.0,197860.0
2008-04-01,11386.0,190228.0,190228.0
2008-05-01,14766.0,263546.0,263546.0
2008-06-01,15422.0,247473.0,247473.0
2008-07-01,20254.0,355137.0,355137.0
2008-08-01,20205.0,342574.0,342574.0
2008-09-01,20005.0,333380.0,333380.0
2008-10-01,20837.0,347174.0,347174.0
2008-11-01,21346.0,359037.0,359037.0
2008-12-01,22762.0,357121.0,357121.0
2009-01-01,21604.0,382806.0,382806.0
2009-02-01,19973.0,315138.0,315138.0
2009-03-01,11382.0,208921.0,208921.0
2009-04-01,20358.0,339916.0,339916.0
2009-05-01,17499.0,311632.0,311632.0
2009-06-01,16738.0,280096.0,280096.0
2009-07-01,17739.0,294048.0,294048.0
2009-08-01,21713.0,375626.0,375626.0
2009-09-01,20666.0,353015.0,353015.0
2009-10-01,22390.0,380487.0,380487.0
2009-11-01,20991.0,362934.0,362934.0
2009-12-01,22009.0,371936.0,371936.0
2010-01-01,21053.0,363741.0,363741.0
2010-02-01,15665.0,266961.0,266961.0
2010-03-01,15641.0,251517.0,251517.0
2010-04-01,17593.0,298951.0,298951.0
2010-05-01,10933.0,189090.0,189090.0
2010-06-01,15005.0,253169.0,253169.0
2010-07-01,12186.0,213028.0,213028.0
2010-08-01,15961.0,278784.0,278784.0
2010-09-01,10133.0,156466.0,156466.0
2010-10-01,-32.0,187.0,187.0
2010-11-01,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0
2011-01-01,-42.0,0.0,0.0
2011-02-01,-36.0,0.0,0.0
2011-03-01,-30.0,0.0,0.0
2011-04-01,-21.0,0.0,0.0
2011-05-01,-14.0,0.0,0.0
2011-06-01,-9.0,0.0,0.0
2011-07-01,-8.0,0.0,0.0
2011-08-01,-8.0,0.0,0.0
2011-09-01,-8.0,0.0,0.0
2011-10-01,-13.0,0.0,0.0
2011-11-01,-24.0,0.0,0.0
2011-12-01,-33.0,0.0,0.0
2012-01-01,-32.0,0.0,0.0
2012-02-01,-25.0,0.0,0.0
2012-03-01,-17.0,0.0,0.0
2012-04-01,-13.0,0.0,0.0
2012-05-01,-9.0,0.0,0.0
2012-06-01,-8.0,0.0,0.0
2012-07-01,-8.0,0.0,0.0
2012-08-01,-7.0,0.0,0.0
2012-09-01,-7.0,0.0,0.0
2012-10-01,-12.0,0.0,0.0
2012-11-01,-17.0,0.0,0.0
2012-12-01,-21.0,0.0,0.0
2013-01-01,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0
