measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,25640.0,253520.0,563483.0,,,,300.0,2970.0,6600.0,,,,,,
2003-02-01,28540.0,293812.0,571912.0,,,,252.0,2593.0,5048.0,,,,,,
2003-03-01,39864.0,402135.0,710441.0,,,,330.0,3330.0,5884.0,,,,,,
2003-04-01,37738.0,416415.0,705264.0,,,,381.0,4202.0,7117.0,,,,,,
2003-05-01,35442.0,411098.0,707976.0,,,,312.0,3617.0,6228.0,,,,,,
2003-06-01,17221.0,155294.0,425691.0,,,,247.0,2230.0,6112.0,,,,,,
2003-07-01,40023.0,409162.0,690502.0,,,,325.0,3324.0,5609.0,,,,,,
2003-08-01,42675.0,431183.0,696735.0,,,,363.0,3669.0,5929.0,,,,,,
2003-09-01,37628.0,384016.0,647622.0,,,,267.0,2727.0,4598.0,,,,,,
2003-10-01,37664.0,369542.0,661531.0,,,,196.0,1927.0,3449.0,,,,,,
2003-11-01,36645.0,335167.0,625347.0,,,,302.0,2758.0,5147.0,,,,,,
2003-12-01,32374.0,283211.0,583059.0,,,,227.0,1987.0,4092.0,,,,,,
2004-01-01,25132.46323,160668.03,628845.65,124.88023,798.34,3124.66,30.839789999999997,197.15,771.65,,,,1751.99575,11200.24,43837.12
2004-02-01,24731.92767,158107.46,618823.47,26.18096,167.37,655.08,41.548829999999995,265.62,1039.6,,,,1751.99655,11200.25,43837.12
2004-03-01,23005.6512,147071.64,575630.34,58.97092,376.99,1475.53,35.8427,229.14,896.83,,,,1751.99519,11200.24,43837.12
2004-04-01,19804.52266,126607.3,495535.04,75.31327,481.47,1884.44,38.0583,243.3,952.27,,,,1751.99177,11200.22,43837.12
2004-05-01,19692.52233,125891.31,492732.57,70.42495,450.22,1762.12,74.97668999999999,479.31,1876.01,,,,1751.9920299999999,11200.22,43837.12
2004-06-01,22979.87022,146906.83,574985.13,57.61043,368.29,1441.49,90.88575999999999,581.02,2274.08,,,,1751.99559,11200.24,43837.12
2004-07-01,23728.00907,151689.57,593704.49,57.00736,364.44,1426.4,106.31393,679.65,2660.11,,,,1751.99564,11200.24,43837.12
2004-08-01,22927.96229,146574.99,573686.34,47.67319,304.77,1192.84,111.21796,711.0,2782.81,,,,1751.99556,11200.24,43837.12
2004-09-01,22378.88561,143064.82,559947.8,66.48559,425.03,1663.55,130.78238,836.07,3272.34,,,,1751.99541,11200.24,43837.12
2004-10-01,20143.13974,128772.04,504007.33,60.97557,389.81,1525.69,92.87767,593.75,2323.92,,,,1751.99301,11200.23,43837.12
2004-11-01,19008.1133,121515.99,475607.99,96.98245,619.99,2426.63,65.58802,419.29,1641.1,,,,1751.99123,11200.21,43837.12
2004-12-01,19568.24441,125096.82,489623.04,58.359500000000004,373.08,1460.23,44.08529,281.83,1103.07,,,,1751.9918,11200.22,43837.12
2005-01-01,9122.80522,58320.72,387738.31,124.73655,797.42,5301.56,79.28490000000001,506.86,3369.77,41.28189,263.91,1754.57,1038.30343,6637.72,44130.07
2005-02-01,8283.10749,52952.65,352048.74,28.711409999999997,183.55,1220.29,70.28838999999999,449.34,2987.4,36.82682,235.43,1565.21,926.24689,5921.36,39367.36
2005-03-01,8878.959,56761.83,377373.66,24.638849999999998,157.51,1047.2,83.87664,536.21,3564.93,42.061229999999995,268.89,1787.69,1057.90327,6763.01,44963.02
2005-04-01,7304.57186,46697.01,310458.89,24.6522,157.6,1047.77,85.99425,549.75,3654.93,41.97439,268.34,1784.0,1055.7173,6749.04,44870.09
2005-05-01,6939.53442,44363.4,294944.2,24.85575,158.9,1056.42,69.76203,445.98,2965.03,46.14472,295.0,1961.24,1160.60809,7419.59,49328.18
2005-06-01,8895.01111,56864.46,378055.87,30.108500000000003,192.48,1279.67,118.68554,758.74,5044.37,45.716029999999996,292.26,1943.02,1149.82781,7350.68,48870.0
2005-07-01,9924.23466,63444.13,421800.13,57.02292,364.54,2423.59,152.94305,977.74,6500.39,47.33656,302.62,2011.9,1190.58081,7611.2,50602.1
2005-08-01,9829.79872,62840.42,417786.39,50.50637,322.88,2146.62,163.51904,1045.35,6949.89,47.12253,301.25,2002.8,1185.20334,7576.83,50373.55
2005-09-01,8855.13852,56609.55,376361.15,28.10313,179.66,1194.44,108.16946,691.51,4597.42,44.38919,283.77,1886.63,1116.45269,7137.31,47451.48
2005-10-01,8292.45273,53012.39,352446.0,39.39987,251.88,1674.57,74.80465,478.21,3179.35,44.807559999999995,286.45,1904.41,1126.9752,7204.58,47898.72
2005-11-01,8143.50064,52060.17,346115.1,26.53034,169.6,1127.59,67.14567,429.25,2853.83,45.12878,288.5,1918.06,1135.05458,7256.23,48242.1
2005-12-01,9393.37132,60050.4,399237.39,72.67331999999999,464.59,3088.76,72.54661,463.78,3083.38,45.22936,289.14,1922.34,1137.58639,7272.42,48349.74
2006-01-01,3882.33327,24819.18,341066.25,10.55198,67.46,927.0,0.77028,4.92,67.67,70.81339,452.7,6221.02,653.61308,4178.45,57420.46
2006-02-01,30018.26271,191902.2,600441.6,98.86743,632.04,1977.6,4.24146,27.12,84.84,272.63693,1742.93,5453.43,2465.53647,15761.8,49317.0
2006-03-01,7944.03229,50784.99,418246.92,17.60711,112.56,927.0,1.26612,8.09,66.66,119.55966,764.33,6294.72,449.79983,2875.5,23681.6
2006-04-01,2571.0861,16436.57,281615.95,9.02751,57.71,988.8,0.67314,4.3,73.73,58.42104,373.48,6398.97,227.28721,1453.01,24895.2
2006-05-01,7559.3141000000005,48325.54,308825.4,25.96832,166.01,1060.9,2.62058,16.75,107.06,145.28688,928.8,5935.5,425.51913,2720.28,17384.0
2006-06-01,20932.12398,133815.89,505505.35,58.00477,370.82,1400.8,6.69158,42.78,161.6,190.32121999999998,1216.69,4596.21,658.72345,4211.12,15908.0
2006-07-01,29546.16869,188884.18,656181.9,31.76909,203.09,705.55,31.97081,204.38,710.03,252.66967,1615.28,5611.46,617.34374,3946.58,13710.4
2006-08-01,22740.69793,145377.82,558187.32,112.45942,718.94,2760.4,17.98153,114.95,441.37,207.75578,1328.15,5099.52,773.03833,4941.92,18974.8
2006-09-01,6053.18988,38697.12,283222.0,13.208269999999999,84.44,618.0,2.28815,14.63,107.06,81.11807,518.58,3795.42,268.84163,1718.66,12578.8
2006-10-01,12393.42497,79229.29,437710.0,51.61969,330.0,1823.1,7.578309999999999,48.45,267.65,135.1767,864.16,4774.16,330.15534,2110.63,11660.4
2006-11-01,25752.58977,164632.41,671690.6,34.35644,219.64,896.1,10.41658,66.59,271.69,189.91467999999998,1214.1,4953.44,491.07353,3139.36,12808.4
2006-12-01,15171.06699,96986.33,531207.95,82.36578,526.55,2884.0,7.12475,45.55,249.47,137.0875,876.38,4800.06,408.89298,2613.99,14317.2
2007-01-01,15689.048999999999,103392.0,445187.0,83.12400000000001,546.0,2359.0,5.553,36.0,158.0,183.154,1207.0,5197.0,560.044,3690.0,15892.0
2007-02-01,14232.109,93787.0,430884.0,88.583,584.0,2682.0,26.154,173.0,792.0,161.836,1066.0,4900.0,479.939,3165.0,14530.0
2007-03-01,7383.745000000001,48656.0,369580.0,68.308,448.0,3419.0,0.0,0.0,0.0,37.025,244.0,1853.0,96.985,640.0,4854.0
2007-04-01,5536.154,36484.0,308360.0,19.443,130.0,1083.0,54.327000000000005,358.0,3026.0,54.504000000000005,359.0,3036.0,273.82800000000003,1804.0,15252.0
2007-05-01,11952.75,78763.0,385929.0,77.97,516.0,2517.0,33.44,220.0,1080.0,59.618,393.0,1925.0,550.089,3624.0,17761.0
2007-06-01,27967.016,184326.0,615243.0,56.445,374.0,1242.0,5.6930000000000005,37.0,125.0,269.356,1776.0,5926.0,925.1560000000001,6101.0,20352.0
