measured_on,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2016-08-01,2112.304,19501.0,19501.0
2016-09-01,1863.673,17205.0,17205.0
2016-10-01,1571.064,14504.0,14504.0
2016-11-01,1349.615,12460.0,12460.0
2016-12-01,984.344,9087.0,9087.0
2017-01-01,966.22,8902.0,8902.0
2017-02-01,1079.233,9943.0,9943.0
2017-03-01,2012.489,18541.0,18541.0
2017-04-01,2120.313,19534.0,19534.0
2017-05-01,2665.934,24561.0,24561.0
2017-06-01,2889.093,26617.0,26617.0
2017-07-01,2633.441,24262.0,24262.0
2017-08-01,2433.708,22422.0,22422.0
2017-09-01,2272.564,20937.0,20937.0
2017-10-01,2093.56,19288.0,19288.0
2017-11-01,1286.501,11853.0,11853.0
2017-12-01,1226.944,11304.0,11304.0
2018-01-01,1125.039,10242.0,10242.0
2018-02-01,1583.659,14418.0,14418.0
2018-03-01,1810.815,16486.0,16486.0
2018-04-01,2263.744,20609.0,20609.0
2018-05-01,2728.673,24842.0,24842.0
2018-06-01,2939.966,26765.0,26765.0
2018-07-01,2541.218,23135.0,23135.0
2018-08-01,2558.907,23296.0,23296.0
2018-09-01,2422.365,22053.0,22053.0
2018-10-01,1908.506,17375.0,17375.0
2018-11-01,1312.752,11951.0,11951.0
2018-12-01,1044.356,9508.0,9508.0
2019-01-01,1045.899,9314.0,9314.0
2019-02-01,1220.383,10868.0,10868.0
2019-03-01,1853.777,16508.0,16508.0
2019-04-01,2156.07,19200.0,19200.0
2019-05-01,2244.817,19990.0,19990.0
2019-06-01,2713.85,24167.0,24167.0
2019-07-01,2678.23,23850.0,23850.0
2019-08-01,2623.004,23358.0,23358.0
2019-09-01,2145.067,19102.0,19102.0
2019-10-01,1970.961,17551.0,17551.0
2019-11-01,1260.497,11225.0,11225.0
2019-12-01,812.445,7235.0,7235.0
2020-01-01,1180.775,10352.0,10352.0
2020-02-01,1600.596,14032.0,14032.0
2020-03-01,1566.28,13732.0,13732.0
2020-04-01,1973.953,17306.0,17306.0
2020-05-01,2583.41,22649.0,22649.0
2020-06-01,2572.561,22554.0,22554.0
2020-07-01,2905.751,25475.0,25475.0
2020-08-01,2407.334,21105.0,21105.0
2020-09-01,1890.232,16572.0,16572.0
2020-10-01,1747.193,15318.0,15318.0
2020-11-01,1381.284,12110.0,12110.0
2020-12-01,1093.631,9588.0,9588.0
2021-01-01,1099.703,9726.0,9726.0
2021-02-01,1440.581,12740.0,12740.0
2021-03-01,1860.039,16450.0,16450.0
2021-04-01,2328.283,20591.0,20591.0
2021-05-01,2537.785,22444.0,22444.0
2021-06-01,2465.185,21802.0,21802.0
2021-07-01,2361.178,20882.0,20882.0
2021-08-01,2322.459,20540.0,20540.0
2021-09-01,2002.56,17711.0,17711.0
2021-10-01,1666.781,14741.0,14741.0
2021-11-01,1326.243,11729.0,11729.0
2021-12-01,906.203,8014.0,8014.0
2022-01-01,932.531,3182.0,3182.0
2022-02-01,1112.319,3795.0,3795.0
2022-03-01,1474.699,5032.0,5032.0
2022-04-01,1663.51,5676.0,5676.0
2022-05-01,1949.683,6652.0,6652.0
2022-06-01,2030.107,6927.0,6927.0
2022-07-01,1958.011,6681.0,6681.0
2022-08-01,1817.998,6203.0,6203.0
2022-09-01,1534.238,5235.0,5235.0
2022-10-01,1413.479,4823.0,4823.0
2022-11-01,1047.856,3575.0,3575.0
2022-12-01,732.569,2500.0,2500.0
2023-01-01,650.0,2218.0,2218.0
2023-02-01,804.0,2743.0,2743.0
2023-03-01,828.0,2825.0,2825.0
2023-04-01,1323.0,4514.0,4514.0
2023-05-01,1176.0,4013.0,4013.0
2023-06-01,1290.0,4401.0,4401.0
2023-07-01,1337.0,4562.0,4562.0
2023-08-01,1419.0,4842.0,4842.0
2023-09-01,1503.0,5128.0,5128.0
2023-10-01,1246.0,4251.0,4251.0
2023-11-01,1014.0,3460.0,3460.0
2023-12-01,672.0,2293.0,2293.0
2024-01-01,565.0,1928.0,1928.0
2024-02-01,781.0,2665.0,2665.0
2024-03-01,1570.0,5357.0,5357.0
2024-04-01,2208.0,7534.0,7534.0
2024-05-01,2553.0,8711.0,8711.0
2024-06-01,2591.0,8840.0,8840.0
2024-07-01,2301.0,7851.0,7851.0
2024-08-01,1971.0,6725.0,6725.0
2024-09-01,1694.0,5780.0,5780.0
2024-10-01,1456.0,4968.0,4968.0
2024-11-01,899.0,3067.0,3067.0
2024-12-01,614.0,2095.0,2095.0
