measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,8108.773,130285.0,386716.0,,,,4354.0,69959.0,207653.0,2397.869,38530.0,114365.0
2003-02-01,6888.232,100120.0,302715.0,,,,4142.734,60213.0,182055.0,1940.766,28206.0,85281.0
2003-03-01,5786.768,103778.0,324477.0,,,,2841.5280000000002,50951.0,159306.0,2021.432,36254.0,113353.0
2003-04-01,7568.0,168059.0,404720.0,,,,3223.0,71580.0,172380.0,3648.0,81008.0,195083.0
2003-05-01,7257.0,161613.0,388552.0,,,,3272.0,72869.0,175193.0,3607.0,80339.0,193153.0
2003-06-01,6865.0,141273.0,359868.0,,,,3543.0,72912.0,185729.0,2765.0,56894.0,144925.0
2003-07-01,4235.0,90652.0,239171.0,,,,2088.0,44696.0,117925.0,2087.0,44660.0,117828.0
2003-08-01,6484.0,153317.0,349573.0,,,,2630.0,62186.0,141788.0,3308.0,78204.0,178311.0
2003-09-01,6495.0,152989.0,349573.0,,,,2614.0,61565.0,140674.0,3313.0,78038.0,178311.0
2003-10-01,5131.0,118485.0,286522.0,,,,2471.0,57062.0,137990.0,2450.0,56575.0,136810.0
2003-11-01,8312.0,102297.0,332288.0,,,,3953.0,48652.0,158037.0,2538.0,31233.0,101453.0
2003-12-01,7305.0,144403.0,374750.0,,,,4417.0,87313.0,226592.0,3681.0,72753.0,188804.0
2004-01-01,8360.76948,52773.55,483913.1,,,,2258.67539,14256.86,130729.91,3290.12513,20767.42,190429.2
2004-02-01,7325.92957,46241.6,430141.36,,,,2216.26098,13989.14,130127.58,3038.51245,19179.23,178406.01
2004-03-01,8695.061,54883.63,500072.69,,,,2195.21417,13856.29,126251.75,3196.75183,20178.05,183852.45
2004-04-01,8866.91692,55968.38,502598.76,,,,2016.41667,12727.71,114295.48,3302.98941,20848.62,187221.6
2004-05-01,6785.42108,42829.88,413710.92,,,,2389.87313,15084.99,145711.9,2279.68779,14389.49,138993.84
2004-06-01,8246.26234,52050.78,507839.19,,,,3161.54768,19955.83,194701.28,3074.83098,19408.47,189360.9
2004-07-01,8801.57469,55555.94,554595.48,,,,3398.4901,21451.42,214142.05,2227.84321,14062.25,140378.49
2004-08-01,7668.88933,48406.38,495654.72,,,,3589.81698,22659.09,232016.61,2595.07869,16380.26,167724.81
2004-09-01,8529.87852,53840.99,528039.56,,,,3237.09424,20432.69,200391.34,2818.20224,17788.62,174459.96
