measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,1546.467,8856.9,138918.4,,,
2004-02-01,2380.592,13634.08,213847.41,,,
2004-03-01,2630.661,15066.28,236311.03,,,
2004-04-01,2992.668,17139.56,268829.94,,,
2004-05-01,3974.574,22763.11,357034.05,,,
2004-06-01,3432.0480000000002,19655.96,308299.24,,,
2004-07-01,4563.915,26138.37,409974.29,,,
2004-08-01,4039.023,23132.22,362823.51,,,
2004-09-01,3776.632,21629.46,339253.05,,,
2004-10-01,2693.409,15425.64,241947.58,,,
2004-11-01,2154.324,12338.21,193521.91,,,
2004-12-01,2055.8540000000003,11774.26,184676.39,,,
2005-01-01,,,,1711.087,9799.71,631344.61
2005-02-01,,,,1380.4840000000002,7906.28,509360.95
2005-03-01,,,,1642.748,9408.32,606129.42
2005-04-01,,,,1733.0210000000002,9925.33,639437.57
2005-05-01,,,,1882.2520000000002,10780.0,694499.88
2005-06-01,,,,1776.616,10175.0,655522.92
2005-07-01,,,,1810.606,10369.67,668064.35
2005-08-01,,,,1723.102,9868.51,635777.55
2005-09-01,,,,1518.4370000000001,8696.37,560262.0
2005-10-01,,,,1079.965,6185.16,398477.58
2005-11-01,,,,1110.967,6362.71,409916.42
2005-12-01,,,,1469.084,8413.71,542052.09
2006-01-01,,,,1321.9560000000001,7571.09,478951.16
2006-02-01,,,,1271.0120000000002,7279.32,460493.9
2006-03-01,,,,1395.144,7990.24,505467.32
2006-04-01,,,,1328.563,7608.92,481344.85
2006-05-01,,,,1464.222,8385.86,530494.6
2006-06-01,,,,1334.967,7645.6,483665.03
2006-07-01,,,,1344.14,7698.13,486988.22
2006-08-01,,,,1464.98,8390.21,530769.32
2006-09-01,,,,1259.382,7212.7,456279.96
2006-10-01,,,,1369.815,7845.18,496290.61
2006-11-01,,,,1320.8010000000002,7564.47,478532.64
2006-12-01,,,,1267.757,7260.68,459314.45
2007-01-01,0.0,0.0,0.0,1953.8210000000001,10854.0,531398.0
2007-02-01,0.0,0.0,0.0,1807.4060000000002,10040.0,491576.0
2007-03-01,0.0,0.0,0.0,1970.143,10945.0,535838.0
2007-04-01,0.0,0.0,0.0,1926.381,10702.0,523935.0
2007-05-01,0.0,0.0,0.0,1945.8290000000002,10809.0,529225.0
2007-06-01,0.0,0.0,0.0,1821.325,10118.0,495362.0
2007-07-01,0.0,0.0,0.0,1898.62,10548.0,516385.0
2007-08-01,0.0,0.0,0.0,1882.66,10459.0,512043.0
2007-09-01,0.0,0.0,0.0,1831.7910000000002,10176.0,498208.0
2007-10-01,0.0,0.0,0.0,2063.922,11466.0,561343.0
2007-11-01,0.0,0.0,0.0,1763.806,9799.0,479718.0
2007-12-01,0.0,0.0,0.0,1608.295,8935.0,437422.0
2008-01-01,0.0,0.0,0.0,903.565,5175.0,562616.0
2008-02-01,0.0,0.0,0.0,828.979,4748.0,516175.0
2008-03-01,0.0,0.0,0.0,845.841,4844.0,526673.0
2008-04-01,0.0,0.0,0.0,880.72,5044.0,548392.0
2008-05-01,0.0,0.0,0.0,883.164,5058.0,549914.0
2008-06-01,0.0,0.0,0.0,1042.689,5972.0,649244.0
2008-07-01,0.0,0.0,0.0,1063.928,6093.0,662469.0
2008-08-01,0.0,0.0,0.0,1008.9240000000001,5778.0,628220.0
2008-09-01,0.0,0.0,0.0,537.8580000000001,3080.0,334904.0
