measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,,,,6692.117,69724.0,104913.0
2003-02-01,0.0,0.0,0.0,,,,5643.868,58803.0,88479.0
2003-03-01,0.0,0.0,0.0,,,,5811.725,60551.0,91111.0
2003-04-01,0.0,0.0,0.0,,,,4984.455,51932.0,78142.0
2003-05-01,0.0,0.0,0.0,,,,4733.919,49322.0,74214.0
2003-06-01,0.0,0.0,0.0,,,,5780.823,60229.0,90626.0
2003-07-01,0.0,0.0,0.0,,,,6832.15,71183.0,107108.0
2003-08-01,0.0,0.0,0.0,,,,6801.684,70866.0,106630.0
2003-09-01,0.0,0.0,0.0,,,,5066.193,52784.0,79423.0
2003-10-01,0.0,0.0,0.0,,,,4850.9890000000005,50542.0,76049.0
2003-11-01,0.0,0.0,0.0,,,,4608.549,48016.0,72249.0
2003-12-01,0.0,0.0,0.0,,,,5335.527,55590.0,83645.0
2004-01-01,61.10622,433.82,945.53,,,,1002.29678,7115.72,15509.07
2004-02-01,17.51833,124.37,264.62,,,,2212.79467,15709.55,33424.84
2004-03-01,25.68345,182.34,387.83,,,,3556.06755,25246.0,53697.71
2004-04-01,140.68367,998.77,2139.23,,,,6354.02933,45109.9,96619.3
2004-05-01,242.57665,1722.15,3687.54,,,,11277.40035,80062.96,171433.97
2004-06-01,60.86439,432.1,919.67,,,,7068.01661,50178.79,106799.25
2004-07-01,50.518409999999996,358.65,762.73,,,,7318.30259,51955.67,110491.94
2004-08-01,38.074000000000005,270.3,574.09,,,,9216.912,65434.69,138974.46
2004-09-01,0.68946,4.89,10.38,,,,4768.60254,33854.3,71765.54
2004-10-01,0.0,0.0,0.0,,,,1454.735,10327.77,21891.66
2004-11-01,18.52044,131.48,279.19,,,,5077.61156,36048.07,76543.67
2004-12-01,39.24763,278.64,592.29,,,,6622.06837,47012.82,99934.01
2005-01-01,14.75164,104.73,315.98,21.41499,152.03,458.7,4500.97237,31954.27,96409.55
2005-02-01,3.3945399999999997,24.1,72.71,4.92889,34.99,105.58,3990.22857,28328.3,85469.57
