measured_on,Bituminous Coal - Combined Cycle Combustion Turbine Part - Coal - Generation,Bituminous Coal - Combined Cycle Combustion Turbine Part - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combined Cycle Combustion Turbine Part - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Petroleum Coke - Combined Cycle Combustion Turbine Part - Petroleum Coke - Generation,Petroleum Coke - Combined Cycle Combustion Turbine Part - Petroleum Coke - Quantity Consumed For Electricity,Petroleum Coke - Combined Cycle Combustion Turbine Part - Petroleum Coke - Total Fuel Consumed,"Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Generation","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Quantity Consumed For Electricity","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Total Fuel Consumed"
2003-01-01,,,,19461.0,301898.0,301898.0,,,,,,,345.0,5348.0,5348.0,,,,,,,4017.0,34662.0,34662.0,,,,,,,4773.0,74046.0,74046.0
2003-02-01,,,,14377.0,223276.0,223276.0,,,,,,,425.0,6600.0,6600.0,,,,,,,2489.0,24665.0,24665.0,,,,,,,4645.0,72135.0,72135.0
2003-03-01,,,,19798.0,286448.0,286448.0,,,,,,,257.0,3718.0,3718.0,,,,,,,2786.0,27773.0,27773.0,,,,,,,7645.0,110607.0,110607.0
2003-04-01,,,,10475.0,157964.0,157964.0,,,,,,,106.0,1597.0,1597.0,,,,,,,4058.0,40250.0,40250.0,,,,,,,4534.0,68376.0,68376.0
2003-05-01,,,,4320.0,100774.0,100774.0,,,,,,,83.0,1937.0,1937.0,,,,,,,1385.0,13865.0,13865.0,,,,,,,2128.0,49644.0,49644.0
2003-06-01,,,,12566.0,225913.0,225913.0,,,,,,,138.0,2482.0,2482.0,,,,,,,2205.0,22073.0,22073.0,,,,,,,5328.0,95781.0,95781.0
2003-07-01,,,,18218.0,313353.0,313353.0,,,,,,,102.0,1762.0,1762.0,,,,,,,5562.0,70145.0,70145.0,,,,,,,4809.0,82719.0,82719.0
2003-08-01,,,,17135.0,269986.0,269986.0,,,,,,,54.0,858.0,858.0,,,,,,,6086.0,61991.0,61991.0,,,,,,,7025.0,110691.0,110691.0
2003-09-01,,,,18915.0,289429.0,289429.0,,,,,,,158.0,2286.0,2286.0,,,,,,,3607.0,36787.0,36787.0,,,,,,,0.0,0.0,0.0
2003-10-01,,,,13489.0,189499.0,189499.0,,,,,,,277.0,3898.0,3898.0,,,,,,,3489.0,35336.0,35336.0,,,,,,,4483.0,62979.0,62979.0
2003-11-01,,,,16851.0,239104.0,239104.0,,,,,,,16.0,224.0,224.0,,,,,,,2765.0,28030.0,28030.0,,,,,,,6472.0,91833.0,91833.0
2003-12-01,,,,19989.0,286451.0,286451.0,,,,,,,19.0,267.0,267.0,,,,,,,2632.0,26266.0,26266.0,,,,,,,6108.0,87528.0,87528.0
2004-01-01,,,,16465.096,248695.0,248695.0,,,,,,,159.01,2402.0,2402.0,,,,,,,2095.904,21003.0,21003.0,,,,2119.996,32022.0,32022.0,6623.146000000001,97837.0,97837.0
2004-02-01,,,,14732.907,222532.0,222532.0,,,,,,,92.274,1394.0,1394.0,,,,,,,1710.7530000000002,17143.0,17143.0,,,,1899.41,28690.0,28690.0,6001.175,88649.0,88649.0
2004-03-01,,,,14425.593,217890.0,217890.0,,,,,,,73.518,1111.0,1111.0,,,,,,,1269.979,12726.0,12726.0,,,,2691.702,40657.0,40657.0,6106.258000000001,90202.0,90202.0
2004-04-01,,,,12885.71,194631.0,194631.0,,,,,,,63.908,965.0,965.0,,,,,,,3919.0710000000004,39273.0,39273.0,,,,2705.356,40863.0,40863.0,5871.627,86736.0,86736.0
2004-05-01,,,,11752.293,177511.0,177511.0,,,,,,,92.67,1400.0,1400.0,,,,,,,10341.486,103631.0,103631.0,,,,1183.786,17881.0,17881.0,5272.776,77890.0,77890.0
2004-06-01,,,,12473.541000000001,188405.0,188405.0,,,,,,,77.906,1177.0,1177.0,,,,,,,5486.329000000001,54978.0,54978.0,,,,3024.956,45691.0,45691.0,4157.232,61411.0,61411.0
