measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,189.75400000000002,2806.0,2806.0
2003-02-01,161.48,2388.0,2388.0
2003-03-01,183.89600000000002,2719.0,2719.0
2003-04-01,190.72,2820.0,2820.0
2003-05-01,196.73,2909.0,2909.0
2003-06-01,173.71900000000002,2569.0,2569.0
2003-07-01,169.175,2501.0,2501.0
2003-08-01,181.185,2679.0,2679.0
2003-09-01,143.494,2122.0,2122.0
2003-10-01,171.251,2532.0,2532.0
2003-11-01,189.543,2803.0,2803.0
2003-12-01,196.054,2899.0,2899.0
2004-01-01,533.692,9382.0,9382.0
2004-02-01,94.562,1662.0,1662.0
2004-03-01,3.886,68.0,68.0
2004-04-01,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0
2004-06-01,203.37300000000002,3575.0,3575.0
2004-07-01,0.0,0.0,0.0
2004-08-01,73.836,1298.0,1298.0
2004-09-01,0.0,0.0,0.0
2004-10-01,10.363000000000001,182.0,182.0
2004-11-01,0.0,0.0,0.0
2004-12-01,115.28800000000001,2027.0,2027.0
2005-01-01,147.025,2871.59,2871.59
2005-02-01,50.513000000000005,986.58,986.58
2005-03-01,55.987,1093.51,1093.51
2005-04-01,67.81700000000001,1324.55,1324.55
2005-05-01,62.984,1230.17,1230.17
2005-06-01,81.748,1596.64,1596.64
2005-07-01,83.209,1625.18,1625.18
2005-08-01,97.751,1909.2,1909.2
2005-09-01,63.988,1249.78,1249.78
2005-10-01,71.06,1387.9,1387.9
2005-11-01,57.126000000000005,1115.75,1115.75
2005-12-01,120.792,2359.22,2359.22
2006-01-01,10.577,620.0,620.0
2006-02-01,5.535,324.0,324.0
2006-03-01,4.649,272.0,272.0
2006-04-01,8.906,522.0,522.0
2006-05-01,8.325,488.0,488.0
2006-06-01,7.567,443.0,443.0
2006-07-01,10.96,642.0,642.0
2006-08-01,10.631,623.0,623.0
2006-09-01,4.884,286.0,286.0
2006-10-01,5.159,302.0,302.0
2006-11-01,6.075,356.0,356.0
