measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2003-01-01,1.417,17.0,17.0,861.821,8825.91,8825.91
2003-02-01,1.235,14.0,14.0,751.2330000000001,7693.38,7693.38
2003-03-01,1.195,14.0,14.0,726.866,7443.83,7443.83
2003-04-01,1.204,14.0,14.0,732.658,7503.15,7503.15
2003-05-01,1.212,14.0,14.0,737.606,7553.82,7553.82
2003-06-01,1.306,15.0,15.0,794.826,8139.81,8139.81
2003-07-01,1.465,17.0,17.0,891.201,9126.79,9126.79
2003-08-01,1.463,17.0,17.0,889.889,9113.35,9113.35
2003-09-01,1.226,14.0,14.0,746.197,7641.8,7641.8
2003-10-01,1.115,13.0,13.0,678.2610000000001,6946.07,6946.07
2003-11-01,0.9880000000000001,12.0,12.0,601.259,6157.49,6157.49
2003-12-01,1.1740000000000002,14.0,14.0,714.181,7313.93,7313.93
2004-01-01,1.667,15.0,15.0,459.821,4608.33,4608.33
2004-02-01,1.667,15.0,15.0,590.571,5918.7,5918.7
2004-03-01,1.667,15.0,15.0,469.37600000000003,4704.09,4704.09
2004-04-01,1.667,15.0,15.0,290.59700000000004,2912.36,2912.36
2004-05-01,1.667,15.0,15.0,300.043,3007.03,3007.03
2004-06-01,1.667,15.0,15.0,305.914,3065.87,3065.87
