measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,6775.0,54923.0,202631.0,0.0,0.0,0.0,513.0,5253.63,5253.63,6930.0,56179.0,207260.0,0.0,0.0,0.0
2003-02-01,4564.0,38322.0,164248.0,0.0,0.0,0.0,171.0,1751.21,1751.21,5382.0,45197.0,193719.0,0.0,0.0,0.0
2003-03-01,5435.0,45533.0,178710.0,0.0,0.0,0.0,1069.0,10947.63,10947.63,5892.0,49359.0,193729.0,0.0,0.0,0.0
2003-04-01,4549.0,39715.0,156964.0,0.0,0.0,0.0,932.0,9544.61,9544.61,4869.0,42513.0,168022.0,0.0,0.0,0.0
2003-05-01,4599.0,40446.0,163933.0,,,,835.0,8551.24,8551.24,4501.0,39588.0,160459.0,0.0,0.0,0.0
2003-06-01,6144.0,50975.0,190133.0,,,,864.0,8848.22,8848.22,5153.0,42757.0,159481.0,,,
2003-07-01,5754.0,47477.0,176693.0,,,,509.0,5212.67,5212.67,5444.0,44914.0,167159.0,,,
2003-08-01,5363.0,45755.0,185889.0,,,,478.0,4895.2,4895.2,4469.0,38121.0,154873.0,,,
2003-09-01,3767.0,30305.0,105346.0,,,,574.0,5878.33,5878.33,7928.0,63778.0,221703.0,,,
2003-10-01,5295.0,42891.0,168915.0,,,,568.0,5816.89,5816.89,5909.0,47860.0,188480.0,,,
2003-11-01,6198.0,51121.0,211582.0,,,,711.0,7281.35,7281.35,5939.0,48993.0,202770.0,,,
2003-12-01,,,,,,,891.0,9124.73,9124.73,,,,,,
2004-01-01,7149.80737,36205.56,216340.21,1.0868499999999999,5.5,32.89,733.8380000000001,7354.52,7354.52,18812.59179,95264.17,569234.93,0.0,0.0,0.0
2004-02-01,6409.43641,32456.44,211029.47,0.27657,1.4,9.11,733.8380000000001,7354.52,7354.52,8406.73902,42570.48,276790.28,0.0,0.0,0.0
2004-03-01,6640.12593,33624.61,219889.26,0.7233499999999999,3.66,23.95,733.8380000000001,7354.52,7354.52,8355.68172,42311.93,276700.28,0.0,0.0,0.0
2004-04-01,4615.6899,23373.17,142270.45,0.73198,3.71,22.56,733.8380000000001,7354.52,7354.52,10228.16812,51793.92,315265.14,0.0,0.0,0.0
2004-05-01,3698.4108,18728.2,120412.84,0.90853,4.6,29.58,733.8380000000001,7354.52,7354.52,5270.55267,26689.3,171598.63,0.0,0.0,0.0
2004-06-01,3379.10006,17111.26,110108.12,0.43074999999999997,2.18,14.04,733.8380000000001,7354.52,7354.52,4784.13519,24226.15,155891.25,0.0,0.0,0.0
2004-07-01,5697.4438,28851.01,213916.71,0.70287,3.56,26.39,733.8380000000001,7354.52,7354.52,3041.03233,15399.34,114178.86,0.0,0.0,0.0
2004-08-01,5989.5596000000005,30330.24,216118.04,0.5690299999999999,2.88,20.53,733.8380000000001,7354.52,7354.52,4186.42537,21199.44,151056.52,0.0,0.0,0.0
2004-09-01,4839.72652,24507.66,167086.05,0.4872,2.47,16.82,733.8380000000001,7354.52,7354.52,4555.26628,23067.2,157265.38,0.0,0.0,0.0
2004-10-01,4279.92871,21672.92,171574.89,0.38195999999999997,1.93,15.31,733.8380000000001,7354.52,7354.52,1417.60333,7178.53,56829.25,0.0,0.0,0.0
2004-11-01,4431.71865,22441.56,165666.53,0.55235,2.8,20.65,733.8380000000001,7354.52,7354.52,2437.759,12344.45,91128.32,0.0,0.0,0.0
2004-12-01,5167.99229,26169.95,184267.22,0.65555,3.32,23.37,733.8380000000001,7354.52,7354.52,3913.26016,19816.17,139529.15,0.0,0.0,0.0
2005-01-01,5396.78624,27328.52,176348.01,1.8305099999999999,9.27,59.81,1035.2,10350.96,10350.96,5133.81525,25996.88,167755.04,0.0,0.0,0.0
2005-02-01,4889.53936,24759.9,160116.06,0.42125,2.13,13.79,903.5110000000001,9034.2,9034.2,4541.50839,22997.53,148719.21,0.0,0.0,0.0
2005-03-01,5294.95521,26812.87,171634.1,0.36477,1.85,11.82,876.3670000000001,8762.79,8762.79,5475.00302,27724.6,177470.29,0.0,0.0,0.0
2005-04-01,4446.05798,22514.18,141200.45,0.3723,1.89,11.82,946.43,9463.35,9463.35,5729.18072,29011.72,181950.59,0.0,0.0,0.0
2005-05-01,4162.62169,21078.9,134144.0,0.3705,1.88,11.94,1107.409,11072.99,11072.99,4580.3448,23194.19,147605.48,0.0,0.0,0.0
2005-06-01,5475.286,27726.04,171944.31,0.45955999999999997,2.33,14.43,1019.715,10196.13,10196.13,7996.52344,40493.21,251120.53,0.0,0.0,0.0
2005-07-01,6185.2619,31321.25,191839.81,0.8820399999999999,4.47,27.36,950.312,9502.17,9502.17,10433.58206,52834.11,323604.14,0.0,0.0,0.0
2005-08-01,6165.59385,31221.65,190014.19,0.78613,3.98,24.23,667.635,6675.68,6675.68,11226.42402,56848.95,345981.25,0.0,0.0,0.0
2005-09-01,5407.92831,27384.95,171173.51,0.42666,2.16,13.5,568.804,5687.48,5687.48,7230.74103,36615.4,228869.77,0.0,0.0,0.0
2005-10-01,4923.52411,24932.0,160296.58,0.58036,2.94,18.89,660.799,6607.33,6607.33,4861.44253,24617.62,158275.37,0.0,0.0,0.0
2005-11-01,4793.97907,24276.0,157417.2,0.38832,1.97,12.75,693.356,6932.87,6932.87,4326.59561,21909.24,142069.99,0.0,0.0,0.0
2005-12-01,5494.98455,27825.78,181578.05,1.05416,5.34,34.83,814.9830000000001,8149.02,8149.02,4645.19529,23522.58,153497.34,0.0,0.0,0.0
2006-01-01,5336.49157,27023.2,180797.29,,,,1352.683,13417.0,13417.0,4349.93743,22027.44,147373.4,,,
2006-02-01,5065.1731,25649.29,169989.79,,,,1071.553,10629.0,10629.0,4378.4749,22171.95,146943.85,,,
2006-03-01,5034.56856,25494.31,165997.96,,,,818.912,8123.0,8123.0,4861.99144,24620.4,160307.81,,,
2006-04-01,4900.48514,24815.33,166156.21,,,,716.589,7108.0,7108.0,3975.12886,20129.46,134781.01,,,
2006-05-01,5086.92062,25759.41,174745.88,,,,704.605,6989.0,6989.0,3806.09438,19273.5,130746.94,,,
2006-06-01,5394.41327,27316.51,178760.77,,,,690.7860000000001,6852.0,6852.0,5047.07273,25557.63,167250.55,,,
2006-07-01,5983.75741,30300.86,187722.48,,,,820.5930000000001,8139.0,8139.0,7983.81259,40428.84,250468.22,,,
2006-08-01,5927.95477,30018.28,187640.21,,,,674.365,6689.0,6689.0,7449.71323,37724.24,235809.11,,,
2006-09-01,5157.32945,26115.95,169458.98,,,,750.919,7448.0,7448.0,5090.38755,25776.97,167259.41,,,
2006-10-01,5153.23281,26095.21,165910.19,,,,1033.914,10255.0,10255.0,5793.86019,29339.25,186535.42,,,
2006-11-01,5091.47847,25782.49,168203.74,,,,1350.694,13398.0,13398.0,4856.63553,24593.28,160445.39,,,
2006-12-01,5351.94839,27101.47,179280.84,,,,1011.306,10031.0,10031.0,4680.18361,23699.76,156777.9,,,
2007-01-01,6245.09,30360.0,254786.0,,,,926.638,9159.0,9159.0,5151.91,25053.0,210187.0,,,
2007-02-01,5871.8640000000005,28565.0,161489.0,,,,787.855,7787.0,7787.0,7142.136,34731.0,196424.0,,,
2007-03-01,4792.765,23311.0,181843.0,,,,962.2040000000001,9510.0,9510.0,4810.235000000001,23391.0,182506.0,,,
2007-04-01,2976.07,14467.0,65551.0,,,,1025.217,10133.0,10133.0,9026.93,43896.0,198828.0,,,
2007-05-01,6715.344,32657.0,296578.0,,,,965.683,9545.0,9545.0,4276.656,20797.0,188875.0,,,
2007-06-01,5276.696,25661.0,141821.0,,,,818.782,8093.0,8093.0,4507.304,21918.0,121142.0,,,
2007-07-01,6702.5830000000005,32604.0,200244.0,,,,632.836,6255.0,6255.0,4290.417,20864.0,128179.0,,,
2007-08-01,6609.028,32129.0,199399.0,,,,628.5830000000001,6213.0,6213.0,4467.972000000001,21727.0,134802.0,,,
2007-09-01,6827.817,33211.0,207372.0,,,,526.912,5208.0,5208.0,4449.183,21636.0,135129.0,,,
2007-10-01,6500.866,31601.0,194726.0,,,,905.3760000000001,8949.0,8949.0,5404.134,26279.0,161875.0,,,
2007-11-01,6226.358,30281.0,189974.0,,,,659.51,6519.0,6519.0,6042.642000000001,29384.0,184369.0,,,
2007-12-01,6137.569,29858.0,185222.0,,,,714.404,7061.0,7061.0,7458.4310000000005,36269.0,225084.0,,,
2008-01-01,4861.677000000001,23641.0,137333.0,,,,886.086,8731.0,8731.0,8305.323,40387.0,234609.0,,,
2008-02-01,6228.395,30288.0,208956.0,,,,428.004,4218.0,4218.0,6616.6050000000005,32175.0,221980.0,,,
2008-03-01,6792.294000000001,33030.0,198607.0,,,,214.871,2117.0,2117.0,6845.706,33289.0,200169.0,,,
2008-04-01,6446.695000000001,31349.0,191215.0,,,,705.77,6955.0,6955.0,6147.305,29893.0,182335.0,,,
2008-05-01,4437.909000000001,21581.0,152539.0,,,,696.298,6861.0,6861.0,6244.091,30364.0,214621.0,,,
2008-06-01,5177.319,25176.0,164736.0,,,,889.029,8760.0,8760.0,2244.681,10915.0,71423.0,,,
2008-07-01,2221.9880000000003,10805.0,69485.0,,,,1052.3780000000002,10370.0,10370.0,1019.0120000000001,4955.0,31866.0,,,
2008-08-01,6259.508000000001,30439.0,152750.0,,,,809.611,7978.0,7978.0,1288.492,6266.0,31443.0,,,
2008-09-01,316.346,1538.0,9504.0,,,,632.452,6232.0,6232.0,868.654,4224.0,26097.0,,,
2008-10-01,0.0,0.0,0.0,,,,588.691,5801.0,5801.0,0.0,0.0,0.0,,,
2008-11-01,0.0,0.0,0.0,,,,893.695,8806.0,8806.0,0.0,0.0,10597.0,,,
2008-12-01,0.0,0.0,0.0,,,,801.115,7894.0,7894.0,0.0,0.0,26328.0,,,
2009-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
