measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed,"Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,2.0,24.0,24.0,410.0,4198.81,4198.81,82253.0,949791.0,949791.0
2003-02-01,,,,28.0,318.0,318.0,350.0,3584.35,3584.35,74998.0,864861.0,864861.0
2003-03-01,,,,4.0,42.0,42.0,365.0,3737.97,3737.97,84013.0,910998.0,910998.0
2003-04-01,,,,60.0,672.0,672.0,318.0,3256.64,3256.64,77102.0,839502.0,839502.0
2003-05-01,,,,21.0,240.0,240.0,295.0,3021.1,3021.1,77242.0,846612.0,846612.0
2003-06-01,,,,32.0,366.0,366.0,204.0,2089.16,2089.16,67409.0,752760.0,752760.0
2003-07-01,,,,31.0,348.0,348.0,89.0,911.45,911.45,79772.0,923742.0,923742.0
2003-08-01,,,,39.0,522.0,522.0,101.0,1034.34,1034.34,77567.0,1069719.0,1069719.0
2003-09-01,,,,37.0,426.0,426.0,3.0,30.72,30.72,71539.0,851219.0,851219.0
2003-10-01,,,,49.0,552.0,552.0,38.0,389.16,389.16,73971.0,867198.0,867198.0
2003-11-01,,,,86.0,1008.0,1008.0,0.0,0.0,0.0,70734.0,806526.0,806526.0
2003-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,78413.0,889506.0,889506.0
2004-01-01,,,,108.0,1242.0,1242.0,0.0,0.0,0.0,76302.0,859068.0,859068.0
2004-02-01,,,,5.0,54.0,54.0,14.0,140.31,140.31,79571.0,878292.0,878292.0
2004-03-01,,,,61.0,696.0,696.0,0.0,0.0,0.0,75237.0,835164.0,835164.0
2004-04-01,,,,28.0,312.0,312.0,624.0,6253.73,6253.73,27523.0,303174.0,303174.0
2004-05-01,,,,0.0,0.0,0.0,456.0,4570.03,4570.03,32489.0,354348.0,354348.0
2004-06-01,,,,181.0,2034.0,2034.0,243.0,2435.35,2435.35,59367.0,651744.0,651744.0
2004-07-01,,,,9.0,108.0,108.0,166.0,1663.65,1663.65,60177.0,672372.0,672372.0
2004-08-01,,,,39.0,438.0,438.0,206.0,2064.53,2064.53,39048.0,432108.0,432108.0
2004-09-01,,,,71.0,810.0,810.0,205.0,2054.51,2054.51,49754.0,551376.0,551376.0
2004-10-01,,,,53.0,588.0,588.0,275.0,2756.05,2756.05,80711.0,927143.0,927143.0
2004-11-01,,,,40.0,444.0,444.0,447.0,4479.83,4479.83,75995.0,878674.0,878674.0
2004-12-01,,,,31.0,348.0,348.0,436.0,4369.59,4369.59,85120.0,992180.0,992180.0
2005-01-01,,,,49.0,558.0,558.0,425.0,4249.58,4249.58,85809.0,1004017.0,1004017.0
2005-02-01,,,,3.0,36.0,36.0,367.0,3669.63,3669.63,79733.0,871542.0,871542.0
2005-03-01,,,,74.0,822.0,822.0,362.0,3619.64,3619.64,84869.0,965941.0,965941.0
2005-04-01,,,,59.0,660.0,660.0,372.0,3719.63,3719.63,73771.0,845842.0,845842.0
2005-05-01,,,,11.0,126.0,126.0,328.0,3279.67,3279.67,71323.0,784962.0,784962.0
2005-06-01,,,,48.0,564.0,564.0,249.0,2489.75,2489.75,72058.0,821430.0,821430.0
2005-07-01,,,,61.0,714.0,714.0,79.0,789.92,789.92,76708.0,871740.0,871740.0
2005-08-01,,,,60.0,690.0,690.0,46.0,459.95,459.95,74888.0,847458.0,847458.0
2005-09-01,,,,17.0,192.0,192.0,176.0,1759.82,1759.82,68401.0,803358.0,803358.0
2005-10-01,,,,53.0,594.0,594.0,284.0,2839.72,2839.72,78689.0,903013.0,903013.0
2005-11-01,,,,6.0,72.0,72.0,414.0,4139.59,4139.59,81334.0,929385.0,929385.0
2005-12-01,,,,146.0,930.0,930.0,468.0,4679.53,4679.53,82808.0,950570.0,950570.0
2006-01-01,,,,83.0,930.0,930.0,448.0,4444.0,4444.0,82634.0,955871.0,955871.0
2006-02-01,,,,6.0,66.0,66.0,307.0,3045.0,3045.0,80132.0,884160.0,884160.0
2006-03-01,,,,14.0,156.0,156.0,365.0,3620.0,3620.0,80193.0,921880.0,921880.0
2006-04-01,,,,150.0,1686.0,1686.0,394.0,3908.0,3908.0,64979.0,755497.0,755497.0
2006-05-01,,,,96.0,1104.0,1104.0,285.0,2827.0,2827.0,75122.0,841122.0,841122.0
2006-06-01,,,,131.0,1500.0,1500.0,167.0,1656.0,1656.0,58534.0,693329.0,693329.0
2006-07-01,,,,72.0,828.0,828.0,123.0,1220.0,1220.0,73419.0,874589.0,874589.0
2006-08-01,,,,42.0,486.0,486.0,50.0,496.0,496.0,74604.0,844002.0,844002.0
2006-09-01,,,,10.0,114.0,114.0,133.0,1319.0,1319.0,52873.0,617576.0,617576.0
2006-10-01,,,,137.0,1524.0,1524.0,282.0,2797.0,2797.0,64153.0,695088.0,695088.0
2006-11-01,,,,52.0,576.0,576.0,251.0,2490.0,2490.0,81401.0,937498.0,937498.0
2006-12-01,,,,35.0,396.0,396.0,392.0,3888.0,3888.0,80870.0,897408.0,897408.0
2007-01-01,0.0,0.0,0.0,33.292,366.0,366.0,450.0,4448.0,4448.0,84954.708,933966.0,933966.0
2007-02-01,0.0,0.0,0.0,31.241000000000003,366.0,366.0,347.0,3430.0,3430.0,80764.759,946181.0,946181.0
2007-03-01,0.0,0.0,0.0,26.167,306.0,306.0,0.0,0.0,0.0,85700.833,1002193.0,1002193.0
2007-04-01,0.0,0.0,0.0,68.778,756.0,756.0,0.0,0.0,0.0,81828.222,899442.0,899442.0
2007-05-01,0.0,0.0,0.0,58.025,648.0,648.0,398.0,3934.0,3934.0,79942.975,892764.0,892764.0
2007-06-01,0.0,0.0,0.0,37.399,414.0,414.0,211.0,2086.0,2086.0,75434.601,835056.0,835056.0
2007-07-01,0.0,0.0,0.0,112.778,1356.0,1356.0,0.0,0.0,0.0,73641.222,885438.0,885438.0
2007-08-01,0.0,0.0,0.0,23.959,270.0,270.0,12.0,119.0,119.0,79206.041,892584.0,892584.0
2007-09-01,0.0,0.0,0.0,28.169,330.0,330.0,12.0,119.0,119.0,72069.831,844303.0,844303.0
2007-10-01,0.0,0.0,0.0,7.022,78.0,78.0,26.0,257.0,257.0,79894.978,887436.0,887436.0
2007-11-01,0.0,0.0,0.0,6.907,66.0,66.0,99.0,979.0,979.0,79405.093,758720.0,758720.0
2007-12-01,0.0,0.0,0.0,94.682,1092.0,1092.0,266.0,2629.0,2629.0,81956.318,945231.0,945231.0
2008-01-01,0.0,0.0,0.0,146.788,1680.0,1680.0,364.96,3596.0,3596.0,75829.62700000001,870430.0,870430.0
2008-02-01,0.0,0.0,0.0,187.62900000000002,2154.0,2154.0,204.44,2015.0,2015.0,76257.199,875309.0,875309.0
2008-03-01,0.0,0.0,0.0,74.202,852.0,852.0,334.72700000000003,3298.0,3298.0,62783.493,720654.0,720654.0
2008-04-01,0.0,0.0,0.0,83.071,954.0,954.0,369.687,3643.0,3643.0,55460.831,636605.0,636605.0
2008-05-01,0.0,0.0,0.0,34.319,396.0,396.0,398.836,3930.0,3930.0,56776.785,651710.0,651710.0
2008-06-01,0.0,0.0,0.0,34.026,390.0,390.0,599.83,5911.0,5911.0,63053.942,723757.0,723757.0
2008-07-01,0.0,0.0,0.0,16.135,186.0,186.0,328.81800000000004,3240.0,3240.0,70621.002,810628.0,810628.0
