measured_on,"Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,,,,0.0,0.0,0.0,1705.0,25522.0,25522.0,751078.0,7618074.0,7618074.0
2003-02-01,,,,,,,680.0,9992.0,9992.0,1536.0,23309.0,23309.0,661703.0,6764495.0,6764495.0
2003-03-01,,,,,,,0.0,0.0,0.0,1931.0,20841.0,20841.0,588052.0,6002938.0,6002938.0
2003-04-01,,,,,,,0.0,0.0,0.0,2363.0,25756.0,25756.0,525326.0,5410882.0,5410882.0
2003-05-01,,,,,,,0.0,0.0,0.0,1917.0,20710.0,20710.0,638776.0,6513827.0,6513827.0
2003-06-01,,,,,,,0.0,0.0,0.0,301.0,3248.0,3248.0,627514.0,6487399.0,6487399.0
2003-07-01,,,,,,,0.0,0.0,0.0,398.0,4346.0,4346.0,720044.0,7454304.0,7454304.0
2003-08-01,,,,,,,0.0,0.0,0.0,510.0,5636.0,5636.0,723468.0,7573018.0,7573018.0
2003-09-01,,,,,,,0.0,0.0,0.0,783.0,8657.0,8657.0,667026.0,6937411.0,6937411.0
2003-10-01,,,,,,,0.0,0.0,0.0,615.0,6696.0,6696.0,716860.0,7509266.0,7509266.0
2003-11-01,,,,,,,0.0,0.0,0.0,2243.0,24560.0,24560.0,714948.0,7401701.0,7401701.0
2003-12-01,,,,,,,0.0,0.0,0.0,2480.0,27081.0,27081.0,748744.0,7686040.0,7686040.0
2004-01-01,,,,,,,0.0,0.0,0.0,3106.0,33749.0,33749.0,716667.0,7455036.0,7455036.0
2004-02-01,,,,,,,0.0,0.0,0.0,2901.0,31932.0,31932.0,693850.0,7116157.0,7116157.0
2004-03-01,,,,,,,0.0,0.0,0.0,2177.0,23916.0,23916.0,651468.0,6743555.0,6743555.0
2004-04-01,,,,,,,0.0,0.0,0.0,1871.0,20467.0,20467.0,653899.0,6771165.0,6771165.0
2004-05-01,,,,,,,0.0,0.0,0.0,863.0,9631.0,9631.0,739903.0,7755740.0,7755740.0
2004-06-01,,,,,,,0.0,0.0,0.0,364.0,4076.0,4076.0,709117.0,7467838.0,7467838.0
2004-07-01,,,,,,,0.0,0.0,0.0,709.0,8133.0,8133.0,709252.0,7599166.0,7599166.0
2004-08-01,,,,,,,0.0,0.0,0.0,656.0,7246.0,7246.0,713439.0,7433711.0,7433711.0
2004-09-01,,,,,,,0.0,0.0,0.0,941.0,10547.0,10547.0,647353.0,6809920.0,6809920.0
2004-10-01,,,,,,,0.0,0.0,0.0,1017.0,11360.0,11360.0,722227.0,7512475.0,7512475.0
2004-11-01,,,,,,,0.0,0.0,0.0,897.0,9899.0,9899.0,723030.0,7381612.0,7381612.0
2004-12-01,,,,,,,0.0,0.0,0.0,2183.0,24424.0,24424.0,746026.0,7696975.0,7696975.0
2005-01-01,,,,,,,0.0,0.0,0.0,2334.0,24065.95,24065.95,724966.0,7476000.0,7476000.0
2005-02-01,,,,,,,0.0,0.0,0.0,1619.0,16721.02,16721.02,665711.0,6877164.0,6877164.0
2005-03-01,,,,,,,0.0,0.0,0.0,2545.0,26208.35,26208.35,729781.0,7516480.0,7516480.0
2005-04-01,,,,,,,0.0,0.0,0.0,1888.0,19364.0,19364.0,620784.0,6368592.76,6368592.76
2005-05-01,,,,,,,0.0,0.0,0.0,2493.0,28879.14,28879.14,578492.0,6128400.8,6128400.8
2005-06-01,,,,,,,0.0,0.0,0.0,477.0,5006.83,5006.83,690212.0,7245763.0,7245763.0
2005-07-01,,,,,,,0.0,0.0,0.0,234.0,2665.64,2665.64,693855.0,7367731.76,7367731.76
2005-08-01,,,,,,,0.0,0.0,0.0,38.0,398.61,398.61,707737.0,7490831.94,7490831.94
2005-09-01,,,,,,,0.0,0.0,0.0,540.0,5707.23,5707.23,663861.0,7021022.4,7021022.4
2005-10-01,,,,,,,0.0,0.0,0.0,826.0,8688.05,8688.05,563788.0,5927361.44,5927361.44
2005-11-01,,,,,,,0.0,0.0,0.0,2899.0,29789.66,29789.66,500447.0,5143078.52,5143078.52
