measured_on,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed
2003-01-01,,,,147.0,2021.0,2021.0
2003-02-01,,,,0.0,0.0,0.0
2003-03-01,,,,6.0,107.0,107.0
2003-05-01,,,,191.1,2702.0,2702.0
2003-06-01,,,,0.0,0.0,0.0
2003-07-01,,,,0.0,0.0,0.0
2003-08-01,,,,1090.74,15876.0,15876.0
2003-09-01,,,,0.0,0.0,0.0
2003-10-01,,,,103.88,1534.0,1534.0
2003-11-01,,,,12.74,185.0,185.0
2003-12-01,,,,115.64,1607.0,1607.0
2004-01-01,,,,646.421,8993.0,8993.0
2004-02-01,,,,0.0,0.0,0.0
2004-03-01,,,,0.0,0.0,0.0
2004-04-01,,,,0.0,0.0,0.0
2004-05-01,,,,43.882000000000005,610.0,610.0
2004-06-01,,,,42.195,587.0,587.0
2004-07-01,,,,30.38,423.0,423.0
2004-08-01,,,,0.0,0.0,0.0
2004-09-01,,,,185.656,2583.0,2583.0
2004-10-01,,,,0.0,0.0,0.0
2004-11-01,,,,0.0,0.0,0.0
2004-12-01,,,,170.466,2371.0,2371.0
2005-01-01,,,,738.8910000000001,10254.01,10254.01
2005-02-01,,,,170.078,2360.27,2360.27
2005-03-01,,,,145.947,2025.4,2025.4
2005-04-01,,,,146.03,2026.55,2026.55
2005-05-01,,,,147.234,2043.25,2043.25
2005-06-01,,,,178.354,2475.12,2475.12
2005-07-01,,,,337.78200000000004,4687.6,4687.6
2005-08-01,,,,299.177,4151.85,4151.85
2005-09-01,,,,166.469,2310.19,2310.19
2005-10-01,,,,233.39200000000002,3238.92,3238.92
2005-11-01,,,,157.157,2180.96,2180.96
2005-12-01,,,,430.487,5974.12,5974.12
2006-01-01,,,,242.335,3369.0,3369.0
2006-02-01,,,,126.80600000000001,1763.0,1763.0
2006-03-01,,,,106.518,1481.0,1481.0
