measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,5.532,55.0,76.0,7864.468000000001,78645.0,107432.0
2001-02-01,4.857,49.0,66.0,6905.143,69051.0,94327.0
2001-03-01,4.908,49.0,67.0,6977.092000000001,69771.0,95310.0
2001-04-01,3.974,40.0,54.0,5650.026,56500.0,77181.0
2001-05-01,4.7,47.0,64.0,6682.3,66823.0,91283.0
2001-06-01,4.681,47.0,64.0,6654.319,66543.0,90900.0
2001-07-01,4.702,47.0,64.0,6684.298000000001,66843.0,91310.0
2001-08-01,3.9930000000000003,40.0,55.0,5676.0070000000005,56760.0,77536.0
2001-09-01,4.505,45.0,62.0,6404.495,64045.0,87488.0
2001-10-01,4.821000000000001,48.0,66.0,6853.179,68532.0,93617.0
2001-11-01,4.596,46.0,63.0,6534.404,65344.0,89262.0
2001-12-01,4.688000000000001,47.0,64.0,6664.312,66643.0,91037.0
2002-01-01,1.0,15.0,40.0,6810.0,66098.0,182900.0
2002-02-01,0.0,3.0,7.0,5549.0,53853.0,150456.0
2002-03-01,23.0,227.0,647.0,4153.0,40286.0,114797.0
2002-04-01,21.0,200.0,618.0,3052.0,29532.0,91019.0
2002-05-01,0.0,0.0,0.0,0.0,1.0,10008.0
2002-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-12-01,0.0,0.0,0.0,0.0,0.0,0.0
