measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2019-02-01,7.909,97.0,99.0,3265.037,39888.0,43631.0,215.429,2818.0,6389.0
2019-03-01,14.627,179.0,197.0,3037.557,37109.0,40592.0,200.42,2622.0,5943.0
2019-04-01,11.138,136.0,151.0,2256.709,27570.0,30157.0,148.899,1948.0,4415.0
2019-05-01,12.145,148.0,162.0,2667.49,32588.0,35646.0,176.003,2302.0,5219.0
2019-06-01,13.244,162.0,180.0,2992.203,36555.0,39986.0,197.428,2582.0,5854.0
2019-07-01,7.402,90.0,99.0,3531.175,43140.0,47188.0,232.989,3048.0,6909.0
2019-08-01,7.9,97.0,104.0,3474.316,42445.0,46428.0,229.238,2998.0,6798.0
2019-09-01,4.236,52.0,58.0,3236.311,39537.0,43248.0,213.534,2793.0,6332.0
2019-10-01,6.765,83.0,93.0,2985.531,36474.0,39896.0,196.987,2577.0,5841.0
2019-11-01,7.826,96.0,104.0,2649.327,32366.0,35404.0,174.804,2286.0,5184.0
2019-12-01,10.974,134.0,145.0,2929.178,35785.0,39143.0,193.269,2528.0,5731.0
2020-01-01,0.0,0.0,0.0,3753.476,44905.0,56872.0,262.182,3379.0,3460.0
2020-02-01,0.0,0.0,0.0,3768.671,45087.0,57103.0,263.245,3393.0,3473.0
2020-03-01,0.0,0.0,0.0,3282.424,39270.0,49736.0,229.28,2955.0,3025.0
2020-04-01,0.0,0.0,0.0,1926.196,23044.0,29186.0,134.546,1734.0,1775.0
2020-05-01,0.0,0.0,0.0,2767.154,33105.0,41928.0,193.288,2491.0,2550.0
