measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-03-01,2314.0,32174.0,32174.0,0.0,0.0,0.0,,,,,,
2003-04-01,2333.0,32848.0,32848.0,64.0,908.0,908.0,,,,,,
2003-05-01,214.0,3302.0,3302.0,15.0,227.0,227.0,,,,,,
2003-06-01,215.0,3288.0,3288.0,14.0,220.0,220.0,,,,,,
2003-07-01,1251.0,18960.0,18960.0,49.0,748.0,748.0,,,,,,
2003-08-01,1772.0,25305.0,25305.0,49.0,693.0,693.0,,,,,,
2003-09-01,455.0,5904.0,5904.0,22.0,290.0,290.0,,,,,,
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-01-01,2636.934,54308.0,54308.0,1724.2720000000002,38883.0,38883.0,,,,,,
2004-02-01,2572.202,52975.0,52975.0,476.485,10745.0,10745.0,,,,,,
2004-03-01,2680.1910000000003,55199.0,55199.0,1255.008,28301.0,28301.0,,,,,,
2004-04-01,1734.11,35714.0,35714.0,1182.85,26674.0,26674.0,,,,,,
2004-05-01,1467.692,30227.0,30227.0,1552.211,35003.0,35003.0,,,,,,
2004-06-01,1342.09,27640.0,27640.0,737.456,16630.0,16630.0,,,,,,
2004-07-01,2607.3920000000003,53699.0,53699.0,1384.295,31216.0,31216.0,,,,,,
2004-08-01,2634.224,54252.0,54252.0,1076.134,24267.0,24267.0,,,,,,
2004-09-01,2036.583,41944.0,41944.0,883.523,19924.0,19924.0,,,,,,
2004-10-01,2091.297,43070.0,43070.0,803.096,18110.0,18110.0,,,,,,
2004-11-01,2019.2820000000002,41587.0,41587.0,1084.069,24446.0,24446.0,,,,,,
2004-12-01,2246.002,46257.0,46257.0,1225.6,27638.0,27638.0,,,,,,
2005-01-01,5713.176,79052.21,79052.21,209.169,2892.86,2892.86,,,,,,
2005-02-01,5187.304,71775.81,71775.81,48.147000000000006,665.88,665.88,,,,,,
2005-03-01,5560.457,76939.05,76939.05,41.316,571.4,571.4,,,,,,
2005-04-01,4574.494000000001,63296.47,63296.47,41.339,571.73,571.73,,,,,,
2005-05-01,4345.889,60133.31,60133.31,41.68,576.45,576.45,,,,,,
2005-06-01,5570.51,77078.17,77078.17,50.489000000000004,698.28,698.28,,,,,,
2005-07-01,6215.064,85996.74,85996.74,95.62100000000001,1322.46,1322.46,,,,,,
2005-08-01,6155.925,85178.43,85178.43,84.69200000000001,1171.32,1171.32,,,,,,
2005-09-01,5545.539000000001,76732.65,76732.65,47.125,651.75,651.75,,,,,,
2005-10-01,5193.156,71856.78,71856.78,66.07,913.76,913.76,,,,,,
2005-11-01,5099.874,70566.04,70566.04,44.489000000000004,615.29,615.29,,,,,,
2005-12-01,5882.612,81396.66,81396.66,121.864,1685.42,1685.42,,,,,,
2006-01-01,3312.818,42793.0,42793.0,77.566,1141.0,1141.0,0.0,0.0,0.0,,,
2006-02-01,3155.0950000000003,40756.0,40756.0,40.588,597.0,597.0,0.0,0.0,0.0,,,
2006-03-01,3223.924,41645.0,41645.0,34.094,502.0,502.0,0.0,0.0,0.0,,,
2006-04-01,2742.8410000000003,35430.0,35430.0,65.309,961.0,961.0,0.0,0.0,0.0,,,
2006-05-01,2931.219,37864.0,37864.0,61.047000000000004,898.0,898.0,0.0,0.0,0.0,,,
2006-06-01,3175.536,41020.0,41020.0,55.488,816.0,816.0,0.0,0.0,0.0,,,
2006-07-01,3612.166,46660.0,46660.0,80.375,1182.0,1182.0,0.0,0.0,0.0,,,
2006-08-01,3638.23,46996.0,46996.0,77.964,1147.0,1147.0,0.0,0.0,0.0,,,
2006-09-01,3022.93,39048.0,39048.0,35.818000000000005,527.0,527.0,0.0,0.0,0.0,,,
2006-10-01,3126.7450000000003,40389.0,40389.0,37.835,557.0,557.0,0.0,0.0,0.0,,,
2006-11-01,3091.59,39935.0,39935.0,44.552,655.0,655.0,0.0,0.0,0.0,,,
2006-12-01,3346.904,43233.0,43233.0,49.364000000000004,726.0,726.0,0.0,0.0,0.0,,,
2007-01-01,3223.737,40685.0,40685.0,58.263000000000005,735.0,735.0,,,,,,
2007-02-01,8813.014000000001,100487.0,100487.0,74.986,855.0,855.0,,,,,,
2007-03-01,1235.962,14049.0,14049.0,13.038,148.0,148.0,,,,,,
2007-04-01,3518.567,42683.0,42683.0,63.433,770.0,770.0,,,,,,
2007-05-01,3782.724,51253.0,51253.0,46.276,627.0,627.0,,,,,,
2007-06-01,5401.662,55002.0,55002.0,59.338,604.0,604.0,,,,,,
2007-07-01,6019.308,85057.0,85057.0,82.69200000000001,1169.0,1169.0,,,,,,
2007-08-01,9273.599,133014.0,133014.0,91.40100000000001,1311.0,1311.0,,,,,,
2007-09-01,3111.146,46556.0,46556.0,30.854000000000003,462.0,462.0,,,,,,
2007-10-01,4331.738,62603.0,62603.0,94.262,1362.0,1362.0,,,,,,
2007-11-01,3133.7850000000003,45711.0,45711.0,33.215,485.0,485.0,,,,,,
2007-12-01,2912.82,41241.0,41241.0,59.18,838.0,838.0,,,,,,
2008-01-01,2550.437,40986.0,40986.0,42.563,684.0,684.0,,,,,,
2008-02-01,8708.825,126016.0,126016.0,84.175,1218.0,1218.0,,,,,,
2008-03-01,5097.868,66440.0,66440.0,39.132000000000005,510.0,510.0,,,,,,
2008-04-01,171.555,2618.0,2618.0,20.445,312.0,312.0,,,,,,
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-08-01,978.2270000000001,17776.0,17776.0,58.773,1068.0,1068.0,,,,,,
2008-09-01,503.093,9086.0,9086.0,27.907,504.0,504.0,,,,,,
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-12-01,3259.222,50974.0,50974.0,56.778000000000006,888.0,888.0,,,,,,
2009-01-01,8606.246000000001,110900.0,110900.0,287.754,3708.0,3708.0,,,,,,
2009-02-01,10827.172,119460.0,119460.0,146.828,1620.0,1620.0,,,,,,
2009-03-01,1127.771,21560.0,21560.0,82.229,1572.0,1572.0,,,,,,
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,11924.0,197053.0,197053.0
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,12109.0,220215.0,220215.0
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,20188.0,329991.0,329991.0
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,16673.0,295724.0,295724.0
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,16860.0,271570.0,271570.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,15005.0,290280.0,290280.0
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,19592.0,302286.0,302286.0
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,20006.0,392997.0,392997.0
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,20053.0,414928.0,414928.0
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,20858.0,471128.0,471128.0
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,13226.0,292821.0,292821.0
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,20749.0,365826.0,365826.0
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,21283.0,377737.0,377737.0
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,21196.0,371089.0,371089.0
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,16216.0,303401.0,303401.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,22150.0,390699.0,390699.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,22652.0,402819.0,402819.0
