measured_on,Solar - Other - Solar - Generation,Solar - Other - Solar - Quantity Consumed For Electricity,Solar - Other - Solar - Total Fuel Consumed,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed,"Wind - Wind Turbine, Onshore - Wind - Generation","Wind - Wind Turbine, Onshore - Wind - Quantity Consumed For Electricity","Wind - Wind Turbine, Onshore - Wind - Total Fuel Consumed"
2016-07-01,,,,,,,0.522,5.0,5.0
2016-08-01,,,,,,,0.42,4.0,4.0
2016-09-01,,,,,,,0.477,4.0,4.0
2016-10-01,,,,,,,0.548,5.0,5.0
2016-11-01,,,,,,,0.37,3.0,3.0
2016-12-01,,,,,,,0.663,6.0,6.0
2017-01-01,,,,,,,331.634,3055.0,3055.0
2017-02-01,,,,,,,324.393,2989.0,2989.0
2017-03-01,,,,,,,341.797,3149.0,3149.0
2017-04-01,,,,,,,338.868,3122.0,3122.0
2017-05-01,,,,,,,324.212,2987.0,2987.0
2017-06-01,,,,,,,244.71,2255.0,2255.0
2017-07-01,,,,,,,201.917,1860.0,1860.0
2017-08-01,,,,,,,219.467,2022.0,2022.0
2017-09-01,,,,,,,227.933,2100.0,2100.0
2017-10-01,,,,,,,344.695,3176.0,3176.0
2017-11-01,,,,,,,329.653,3037.0,3037.0
2017-12-01,,,,,,,349.721,3222.0,3222.0
2018-01-01,,,,,,,303.47,2763.0,2763.0
2018-02-01,,,,,,,281.74,2565.0,2565.0
2018-03-01,,,,,,,355.174,3234.0,3234.0
2018-04-01,,,,,,,358.397,3263.0,3263.0
2018-05-01,,,,,,,266.623,2427.0,2427.0
2018-06-01,,,,,,,295.023,2686.0,2686.0
2018-07-01,,,,,,,235.442,2143.0,2143.0
2018-08-01,,,,,,,244.161,2223.0,2223.0
2018-09-01,,,,,,,248.391,2261.0,2261.0
2018-10-01,,,,,,,262.321,2388.0,2388.0
2018-11-01,,,,,,,287.95,2621.0,2621.0
2018-12-01,,,,,,,301.308,2743.0,2743.0
2019-01-01,,,,,,,264.461,2355.0,2355.0
2019-02-01,,,,,,,262.052,2334.0,2334.0
2019-03-01,,,,,,,259.28,2309.0,2309.0
2019-04-01,,,,,,,278.877,2483.0,2483.0
2019-05-01,,,,,,,256.686,2286.0,2286.0
2019-06-01,,,,,,,231.298,2060.0,2060.0
2019-07-01,,,,,,,237.245,2113.0,2113.0
2019-08-01,,,,,,,214.598,1911.0,1911.0
2019-09-01,,,,,,,272.796,2429.0,2429.0
2019-10-01,,,,,,,264.643,2357.0,2357.0
2019-11-01,,,,,,,268.031,2387.0,2387.0
2019-12-01,,,,,,,266.033,2369.0,2369.0
2020-01-01,,,,,,,274.796,2409.0,2409.0
2020-02-01,,,,,,,242.18,2123.0,2123.0
2020-03-01,,,,,,,236.448,2073.0,2073.0
2020-04-01,,,,,,,218.893,1919.0,1919.0
2020-05-01,,,,,,,250.942,2200.0,2200.0
2020-06-01,,,,,,,233.776,2050.0,2050.0
2020-07-01,,,,,,,193.474,1696.0,1696.0
2020-08-01,,,,,,,190.96,1674.0,1674.0
2020-09-01,,,,,,,181.418,1590.0,1590.0
2020-10-01,,,,,,,172.489,1512.0,1512.0
2020-11-01,,,,,,,256.668,2250.0,2250.0
2020-12-01,,,,,,,271.956,2384.0,2384.0
2021-01-01,,,,2.057,18.0,18.0,353.282,3124.0,3124.0
2021-02-01,,,,2.484,22.0,22.0,286.783,2536.0,2536.0
2021-03-01,,,,3.338,30.0,30.0,359.496,3179.0,3179.0
2021-04-01,,,,4.184,37.0,37.0,336.94,2980.0,2980.0
2021-05-01,,,,4.659,41.0,41.0,323.404,2860.0,2860.0
2021-06-01,,,,4.433,39.0,39.0,275.901,2440.0,2440.0
2021-07-01,,,,3.865,34.0,34.0,230.221,2036.0,2036.0
2021-08-01,,,,4.194,37.0,37.0,276.547,2446.0,2446.0
2021-09-01,,,,4.146,37.0,37.0,285.477,2525.0,2525.0
2021-10-01,,,,2.761,24.0,24.0,323.132,2858.0,2858.0
2021-11-01,,,,2.243,20.0,20.0,359.142,3176.0,3176.0
2021-12-01,0.0,0.0,0.0,1.636,14.0,14.0,445.675,3942.0,3942.0
2022-01-01,0.0,0.0,0.0,5.717,20.0,20.0,171.029,584.0,584.0
2022-02-01,0.0,0.0,0.0,6.798,23.0,23.0,156.105,533.0,533.0
2022-03-01,0.0,0.0,0.0,8.137,28.0,28.0,159.012,543.0,543.0
2022-04-01,0.0,0.0,0.0,9.371,32.0,32.0,180.976,617.0,617.0
2022-05-01,0.0,0.0,0.0,11.102,38.0,38.0,156.126,533.0,533.0
2022-06-01,0.0,0.0,0.0,11.285,39.0,39.0,133.407,455.0,455.0
2022-07-01,0.0,0.0,0.0,10.32,35.0,35.0,103.993,355.0,355.0
2022-08-01,0.0,0.0,0.0,9.182,31.0,31.0,89.94,307.0,307.0
2022-09-01,0.0,0.0,0.0,8.826,30.0,30.0,107.169,366.0,366.0
2022-10-01,0.0,0.0,0.0,8.067,28.0,28.0,108.134,369.0,369.0
2022-11-01,0.0,0.0,0.0,5.465,19.0,19.0,159.007,543.0,543.0
2022-12-01,0.0,0.0,0.0,3.73,13.0,13.0,175.102,597.0,597.0
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,100.0,341.0,341.0
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,254.0,867.0,867.0
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,255.0,870.0,870.0
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,557.0,1900.0,1900.0
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0,271.0,925.0,925.0
2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0,415.0,1416.0,1416.0
2023-07-01,0.0,0.0,0.0,0.0,0.0,0.0,259.0,884.0,884.0
2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
