measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,735698.0,7026012.0,7026012.0,,,,,,,2585.0,24685.0,24685.0,93387.0,891856.0,891856.0
2003-02-01,670646.0,6172848.0,6172848.0,0.0,0.0,0.0,,,,1890.0,17399.0,17399.0,70637.0,650164.0,650164.0
2003-03-01,637177.0,5993568.0,5993568.0,6.0,134.0,134.0,,,,3846.0,36178.0,36178.0,25444.0,239337.0,239337.0
2003-04-01,678156.0,6229322.0,6229322.0,7.0,140.0,140.0,,,,6484.0,59557.0,59557.0,18585.0,170717.0,170717.0
2003-05-01,638535.0,5877720.0,5877720.0,12.0,146.0,146.0,,,,2121.0,19527.0,19527.0,0.0,0.0,0.0
2003-06-01,330645.0,3285216.0,3285216.0,,,,,,,3602.0,35789.0,35789.0,12039.0,119619.0,119619.0
2003-07-01,694701.0,6628872.0,6628872.0,0.0,0.0,0.0,,,,3751.0,35789.0,35789.0,0.0,0.0,0.0
2003-08-01,754119.0,7054800.0,7054800.0,,,,,,,786.0,7350.0,7350.0,0.0,0.0,0.0
2003-09-01,577918.0,5444473.0,5444473.0,14.0,162.0,162.0,,,,3030.0,28548.0,28548.0,7278.0,68563.0,68563.0
2003-10-01,571753.0,5225885.0,5225885.0,14.0,165.0,165.0,,,,2194.0,20049.0,20049.0,8899.0,81336.0,81336.0
2003-11-01,608225.0,5671897.0,5671897.0,24.0,290.0,290.0,,,,2568.0,23945.0,23945.0,4466.0,41647.0,41647.0
2003-12-01,435069.0,4245985.0,4245985.0,35.0,379.0,379.0,,,,3437.0,33543.0,33543.0,78263.0,763799.0,763799.0
2004-01-01,638817.0,6006434.0,6006434.0,59.0,706.0,706.0,,,,1362.0,25387.0,25387.0,67877.0,757961.0,757961.0
2004-02-01,612578.0,5593580.0,5593580.0,8.0,88.0,88.0,,,,2873.0,26234.0,26234.0,25880.0,236317.0,236317.0
