measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Other Gases-Combustion (Gas) Turbine (including jet engine design) Generation,Other Gases-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Other Gases-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Waste Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Waste Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Waste Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,60782.0,292281.0,839936.0,,,,,,,,,,,,,,,,,,,,,
2003-02-01,52073.0,243511.0,734834.0,,,,,,,,,,,,,,,,,,,,,
2003-03-01,36574.0,168177.0,515080.0,,,,19950.0,91736.0,280963.0,,,,,,,,,,,,,,,
2003-04-01,34943.86,156681.0,496532.0,,,,17921.26,80353.0,254643.0,,,,,,,,,,,,,,,
2003-05-01,35881.72,168541.0,530376.0,,,,16478.7,77402.0,243573.0,,,,,,,,,,,,,,,
2003-06-01,32936.0,155204.0,483778.0,,,,18157.0,85563.0,266700.0,,,,,,,,,,,,,,,
2003-07-01,33907.0,152930.0,488934.0,,,,19300.0,87052.0,278312.0,,,,,,,,,,,,,,,
2003-08-01,34490.0,155737.0,474252.0,,,,17986.0,81212.0,247306.0,,,,,,,,,,,,,,,
2003-09-01,33833.0,153033.0,459584.0,,,,19545.0,88406.0,265498.0,,,,,,,,,,,,,,,
2003-10-01,32760.0,142403.0,443929.0,,,,20391.0,88635.0,276308.0,,,,,,,,,,,,,,,
2003-11-01,40723.0,192938.0,560758.0,,,,11538.0,54663.0,158873.0,,,,,,,,,,,,,,,
2003-12-01,37677.0,174066.0,485567.0,,,,22082.0,102020.0,284590.0,,,,,,,,,,,,,,,
2004-01-01,38762.2369,171801.63,535767.89,,,,19513.4631,86487.39,269713.2,,,,,,,,,,,,,,,
2004-02-01,25528.90931,113149.0,328873.85,,,,11340.65069,50263.93,146094.9,,,,,,,,,,,,,,,
2004-03-01,25317.8107,112213.37,431954.19,,,,7417.1293000000005,32874.13,126545.7,,,,,,,,,,,,,,,
2004-04-01,35193.87282,155985.96,494391.76,,,,18968.76718,84073.19,266466.9,,,,,,,,,,,,,,,
2004-05-01,30505.09423,135204.4,461046.54,,,,16054.70577,71157.52,242646.9,,,,,,,,,,,,,,,
2004-06-01,35496.95219,157329.26,499147.27,,,,16949.70781,75124.34,238341.6,,,,,,,,,,,,,,,
2004-07-01,29273.72652,129746.74,463067.4,,,,14331.37348,63519.38,226701.3,,,,,,,,,,,,,,,
2004-08-01,32183.6502,142644.08,486283.6,,,,16551.7498,73360.51,250091.1,,,,,,,,,,,,,,,
2004-09-01,33350.81431,147817.17,457694.92,,,,17204.44569,76253.39,236107.8,,,,,,,,,,,,,,,
2004-10-01,34847.4573,154450.58,531101.99,,,,14048.6627,62266.35,214112.4,,,,,,,,,,,,,,,
2004-11-01,36863.86529,163387.68,536990.5,,,,17479.09471,77470.68,254615.4,,,,,,,,,,,,,,,
2004-12-01,42631.09589,188949.15,607713.39,,,,12660.50411,56113.77,180477.6,,,,,,,,,,,,,,,
2005-01-01,37482.34839,166128.92,531298.72,0.0,0.0,0.0,19490.93161,86387.53,276276.9,0.0,0.0,0.0,,,,,,,,,,,,
2005-02-01,31415.31717,139238.68,429431.72,0.0,0.0,0.0,18100.16283,80223.37,247420.2,0.0,0.0,0.0,,,,,,,,,,,,
2005-03-01,39357.21707,174438.69,516651.2,0.0,0.0,0.0,19111.54293,84706.0,250881.6,0.0,0.0,0.0,,,,,,,,,,,,
2005-04-01,33559.79568,148743.42,488667.92,0.0,0.0,0.0,17062.10432,75622.5,248443.2,0.0,0.0,0.0,,,,,,,,,,,,
2005-05-01,40028.67355,177414.72,657462.0,0.0,0.0,0.0,7266.12645,32204.86,119344.5,0.0,0.0,0.0,,,,,,,,,,,,
2005-06-01,38303.29264,169767.5,562785.6,0.0,0.0,0.0,9410.94736,41711.11,138273.9,0.0,0.0,0.0,,,,,,,,,,,,
2005-07-01,38507.42403,170672.25,644289.36,0.0,0.0,0.0,8029.83597,35589.76,134351.7,0.0,0.0,0.0,,,,,,,,,,,,
2005-08-01,47765.8966,211707.57,669707.03,0.0,0.0,0.0,7051.383400000001,31253.08,98864.7,0.0,0.0,0.0,,,,,,,,,,,,
2005-09-01,35803.75975,158689.09,546776.88,0.0,0.0,0.0,9777.02025,43333.62,149309.7,0.0,0.0,0.0,,,,,,,,,,,,
2005-10-01,36743.42283,162853.86,579700.16,0.0,0.0,0.0,11858.69717,52560.01,187094.4,0.0,0.0,0.0,,,,,,,,,,,,
2005-11-01,42604.88208,188832.96,621621.52,0.0,0.0,0.0,11494.05792,50943.86,167702.7,0.0,0.0,0.0,,,,,,,,,,,,
2005-12-01,44260.15352,196169.44,659720.88,0.0,0.0,0.0,10130.82648,44901.76,151005.3,0.0,0.0,0.0,,,,,,,,,,,,
2006-01-01,47090.97467,208716.18,666125.2,0.0,0.0,0.0,10173.36533,45090.3,143907.3,0.0,0.0,0.0,,,,,,,,,,,,
2006-02-01,36763.94096,162944.8,524671.68,0.0,0.0,0.0,12924.99904,57286.06,184457.4,0.0,0.0,0.0,,,,,,,,,,,,
2006-03-01,33951.50991,150479.57,529027.2,0.0,0.0,0.0,13991.07009,62011.09,218006.7,0.0,0.0,0.0,,,,,,,,,,,,
2006-04-01,33972.22107,150571.36,513430.32,0.0,0.0,0.0,14168.31893,62796.69,214129.2,0.0,0.0,0.0,,,,,,,,,,,,
2006-05-01,36100.42811,160003.98,546263.12,0.0,0.0,0.0,15656.31189,69391.76,236907.6,0.0,0.0,0.0,,,,,,,,,,,,
2006-06-01,34558.93691,153171.8,511459.52,0.0,0.0,0.0,13550.24309,60057.26,200538.6,0.0,0.0,0.0,,,,,,,,,,,,
2006-07-01,36309.81856,160932.04,539253.52,0.0,0.0,0.0,12398.14144,54950.93,184130.4,0.0,0.0,0.0,,,,,,,,,,,,
2006-08-01,35271.56428,156330.3,509617.68,0.0,0.0,0.0,15376.79572,68152.89,222170.1,0.0,0.0,0.0,,,,,,,,,,,,
2006-09-01,36496.57168,161759.77,541593.52,0.0,0.0,0.0,12344.66832,54713.92,183189.6,0.0,0.0,0.0,,,,,,,,,,,,
2006-10-01,38451.84131,170425.9,575560.96,1115.5,0.0,0.0,14401.51869,63830.28,215567.1,1115.5,0.0,0.0,,,,,,,,,,,,
2006-11-01,35337.03273,156620.47,484615.04,502.945,0.0,0.0,19331.28727,85679.95,265110.9,502.945,0.0,0.0,,,,,,,,,,,,
2006-12-01,40891.00144,181236.72,583408.8,449.11,0.0,0.0,13989.97856,62006.25,199600.8,449.11,0.0,0.0,,,,,,,,,,,,
2007-01-01,38530.791,170776.0,519338.0,,,,20656.309,91553.0,278416.0,,,,,,,787.64,7785.0,7785.0,,,,,,
2007-02-01,25086.036,111186.0,347838.0,,,,17414.604,77185.0,241468.0,,,,,,,688.7,6807.0,6807.0,,,,,,
2007-03-01,34096.512,151123.0,490346.0,,,,17179.048000000003,76141.0,247054.0,,,,,,,1902.17,18801.0,18801.0,,,,,,
2007-04-01,36312.401,160944.0,523642.0,,,,15381.619,68174.0,221810.0,,,,,,,1804.2,17833.0,17833.0,,,,,,
2007-05-01,29582.021,131113.0,425923.0,,,,14455.259,64069.0,208127.0,,,,,,,2122.36,20977.0,20977.0,,,,,,
2007-06-01,33762.69,149643.0,479646.0,,,,16279.05,72152.0,231267.0,,,,,,,2854.71,28216.0,28216.0,,,,,,
2007-07-01,35187.955,155960.0,523095.0,,,,16427.665,72811.0,244209.0,,,,,,,2683.02,26519.0,26519.0,,,,,,
2007-08-01,30641.203,135808.0,459049.0,,,,17374.877,77009.0,260301.0,,,,,,,158.11,1563.0,1563.0,,,,,,
2007-09-01,32941.753,146005.0,465851.0,,,,14698.007000000001,65144.0,207854.0,,,,,,,141.62,1400.0,1400.0,,,,,,
2007-10-01,35045.051,155326.0,504036.0,,,,17027.249,75468.0,244895.0,,,,,,,0.0,0.0,0.0,,,,,,
2007-11-01,38585.447,171018.0,572592.0,,,,12752.833,56523.0,189247.0,,,,,,,0.0,0.0,0.0,,,,,,
2007-12-01,34327.275,152145.0,508057.0,,,,21945.305,97266.0,324799.0,,,,,,,1090.28,10776.0,10776.0,,,,,,
2008-01-01,29282.247000000003,129785.0,386365.0,2081.014,0.0,0.0,16626.608,73692.0,219380.0,,,,,,,,,,,,,,,
2008-02-01,22785.055,100988.0,300638.0,1619.276,0.0,0.0,15100.26,66927.0,199241.0,,,,,,,,,,,,,,,
2008-03-01,25490.150999999998,112977.0,336331.0,1811.52,0.0,0.0,14267.592,63237.0,188254.0,,,,,,,,,,,,,,,
2008-04-01,22745.512,100812.0,300116.0,1616.4650000000001,0.0,0.0,16988.642,75297.0,224157.0,,,,,,,,,,,,,,,
2008-05-01,31175.469,138176.0,411346.0,2215.561,0.0,0.0,13736.045,60881.0,181241.0,,,,,,,,,,,,,,,
2008-06-01,32713.192,144991.0,431635.0,2324.8430000000003,0.0,0.0,22444.534,99478.0,296145.0,,,,,,,,,,,,,,,
2008-07-01,38460.418,170464.0,507468.0,2733.284,0.0,0.0,22714.407,100675.0,299706.0,,,,,,,,,,,,,,,
2008-08-01,35381.307,156817.0,466839.0,2514.4590000000003,0.0,0.0,16980.206,75260.0,224046.0,,,,,,,,,,,,,,,
2008-09-01,27137.347,120278.0,358065.0,1928.582,0.0,0.0,7176.3730000000005,31807.0,94689.0,,,,,,,,,,,,,,,
2008-10-01,27484.085,121815.0,362639.0,1953.2240000000002,0.0,0.0,11826.542,52417.0,156046.0,,,,,,,,,,,,,,,
2008-11-01,23279.954,103181.0,307168.0,1654.4470000000001,0.0,0.0,9416.338,41735.0,124244.0,,,,,,,,,,,,,,,
2008-12-01,25085.678,111185.0,330994.0,1782.775,0.0,0.0,10834.498,48021.0,142956.0,,,,,,,,,,,,,,,
2009-01-01,32244.247,142913.0,431270.0,2225.5370000000003,0.0,0.0,6610.795,29300.0,88421.0,,,,,,,,,,,,,,,
