measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,3655.877,39064.0,144019.0,2859.087,15417.0,47636.0,,,
2003-02-01,,,,3232.101,34536.0,127325.0,2527.672,13630.0,42114.0,,,
2003-03-01,,,,3094.3880000000004,33064.0,121900.0,2419.973,13050.0,40320.0,,,
2003-04-01,,,,2663.677,28462.0,104932.0,2083.134,11233.0,34708.0,,,
2003-05-01,,,,2669.507,28524.0,105162.0,2087.694,11258.0,34784.0,,,
2003-06-01,,,,2949.8430000000003,31520.0,116206.0,2306.931,12440.0,38436.0,,,
2003-07-01,,,,3834.5220000000004,40973.0,151057.0,2998.797,16171.0,49964.0,,,
2003-08-01,,,,3944.175,42144.0,155376.0,3084.551,16633.0,51392.0,,,
2003-09-01,,,,3338.213,35669.0,131505.0,2610.657,14078.0,43497.0,,,
2003-10-01,,,,3338.643,35674.0,131522.0,2610.994,14080.0,43502.0,,,
2003-11-01,,,,3189.306,34078.0,125639.0,2494.204,13450.0,41556.0,,,
2003-12-01,,,,3790.8790000000004,40506.0,149337.0,2964.666,15987.0,49395.0,,,
2004-01-01,,,,2939.478,15534.95,160267.6,,,,,,
2004-02-01,,,,2627.3810000000003,13885.53,150669.9,2685.2,12464.45,51469.1,,,
2004-03-01,,,,2419.956,12789.31,124241.0,2672.46,12405.31,66825.37,,,
2004-06-01,,,,2951.002,15595.85,101492.3,3196.76,14839.06,44661.83,,,
2004-07-01,,,,3052.7940000000003,16133.81,59280.0,3259.48,15130.2,52993.5,,,
