measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,419.15200000000004,5085.0,5085.0
2001-02-01,347.56,4216.0,4216.0
2001-03-01,420.55600000000004,5102.0,5102.0
2001-04-01,408.036,4950.0,4950.0
2001-05-01,355.822,4317.0,4317.0
2001-06-01,391.025,4744.0,4744.0
2001-07-01,397.154,4818.0,4818.0
2001-08-01,657.8570000000001,7981.0,7981.0
2001-09-01,652.19,7912.0,7912.0
2001-10-01,630.947,7654.0,7654.0
2001-11-01,553.119,6710.0,6710.0
2001-12-01,718.582,8717.0,8717.0
