measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2014-05-01,198.356,3536.0,3536.0,,,
2014-06-01,144.544,2577.0,2577.0,,,
2014-07-01,173.405,3092.0,3092.0,,,
2014-08-01,197.296,3519.0,3519.0,,,
2014-09-01,105.925,1889.0,1889.0,,,
2014-10-01,86.243,1538.0,1538.0,,,
2014-11-01,110.45,1969.0,1969.0,,,
2014-12-01,82.781,1476.0,1476.0,,,
2015-01-01,,,,61.612,1114.0,1114.0
2015-02-01,,,,109.007,1971.0,1971.0
2015-03-01,,,,133.032,2406.0,2406.0
2015-04-01,,,,115.345,2087.0,2087.0
2015-05-01,,,,125.585,2272.0,2272.0
2015-06-01,,,,204.634,3702.0,3702.0
2015-07-01,,,,371.287,6716.0,6716.0
2015-08-01,,,,237.358,4293.0,4293.0
2015-09-01,,,,173.79,3144.0,3144.0
2015-10-01,,,,65.603,1187.0,1187.0
2015-11-01,,,,81.198,1469.0,1469.0
2015-12-01,,,,75.549,1366.0,1366.0
2016-01-01,,,,158.316,1944.0,1944.0
2016-02-01,,,,143.542,1762.0,1762.0
2016-03-01,,,,308.13,3784.0,3784.0
2016-04-01,,,,343.038,4212.0,4212.0
2016-05-01,,,,650.048,7982.0,7982.0
2016-06-01,,,,992.322,12185.0,12185.0
2016-07-01,,,,903.285,11091.0,11091.0
2016-08-01,,,,900.526,11057.0,11057.0
2016-09-01,,,,824.694,10127.0,10127.0
2016-10-01,,,,354.739,4356.0,4356.0
2016-11-01,,,,431.658,5300.0,5300.0
2016-12-01,,,,381.702,4687.0,4687.0
2017-01-01,,,,310.622,3795.0,3795.0
2017-02-01,,,,204.878,2504.0,2504.0
2017-03-01,,,,410.347,5015.0,5015.0
2017-04-01,,,,447.863,5475.0,5475.0
2017-05-01,,,,326.935,3996.0,3996.0
2017-06-01,,,,541.075,6614.0,6614.0
2017-07-01,,,,845.005,10328.0,10328.0
2017-08-01,,,,507.709,6206.0,6206.0
2017-09-01,,,,392.632,4799.0,4799.0
2017-10-01,,,,555.106,6785.0,6785.0
2017-11-01,,,,483.06,5905.0,5905.0
2017-12-01,,,,465.768,5693.0,5693.0
2018-01-01,,,,291.328,2852.0,2852.0
2018-02-01,,,,299.862,2936.0,2936.0
2018-03-01,,,,363.562,3560.0,3560.0
2018-04-01,,,,337.686,3306.0,3306.0
2018-05-01,,,,517.118,5062.0,5062.0
2018-06-01,,,,508.64,4980.0,4980.0
2018-07-01,,,,630.756,6175.0,6175.0
2018-08-01,,,,469.524,4597.0,4597.0
2018-09-01,,,,423.867,4149.0,4149.0
2018-10-01,,,,311.064,3045.0,3045.0
2018-11-01,,,,284.32,2783.0,2783.0
2018-12-01,,,,262.273,2567.0,2567.0
2019-01-01,,,,76.313,837.0,837.0
2019-02-01,,,,67.779,746.0,746.0
2019-03-01,,,,58.334,642.0,642.0
2019-04-01,,,,49.798,548.0,548.0
2019-05-01,,,,135.14,1487.0,1487.0
2019-06-01,,,,131.54,1447.0,1447.0
2019-07-01,,,,144.96,1595.0,1595.0
2019-08-01,,,,157.433,1732.0,1732.0
2019-09-01,,,,117.094,1288.0,1288.0
2019-10-01,,,,126.736,1394.0,1394.0
2019-11-01,,,,69.69,767.0,767.0
2019-12-01,,,,82.183,904.0,904.0
2020-01-01,,,,152.312,1638.0,1638.0
2020-02-01,,,,128.49,1381.0,1381.0
2020-03-01,,,,110.415,1187.0,1187.0
2020-04-01,,,,94.938,1021.0,1021.0
2020-05-01,,,,87.728,943.0,943.0
2020-06-01,,,,135.427,1456.0,1456.0
2020-07-01,,,,197.508,2123.0,2123.0
2020-08-01,,,,138.379,1488.0,1488.0
2020-09-01,,,,93.475,1005.0,1005.0
2020-10-01,,,,103.884,1117.0,1117.0
2020-11-01,,,,80.497,865.0,865.0
2020-12-01,,,,123.947,1332.0,1332.0
2021-01-01,,,,77.198,888.0,888.0
2021-02-01,,,,72.821,839.0,839.0
2021-03-01,,,,107.764,1240.0,1240.0
2021-04-01,,,,119.111,1371.0,1371.0
2021-05-01,,,,54.048,622.0,622.0
2021-06-01,,,,93.046,1071.0,1071.0
2021-07-01,,,,106.061,1221.0,1221.0
2021-08-01,,,,112.705,1298.0,1298.0
2021-09-01,,,,82.387,948.0,948.0
2021-10-01,,,,67.542,777.0,777.0
2021-11-01,,,,69.672,802.0,802.0
2021-12-01,,,,86.645,998.0,998.0
2022-01-01,,,,344.774,4217.0,4217.0
2022-02-01,,,,355.459,4349.0,4349.0
2022-03-01,,,,346.834,4244.0,4244.0
2022-04-01,,,,199.261,2438.0,2438.0
2022-05-01,,,,344.395,4214.0,4214.0
2022-06-01,,,,383.601,4694.0,4694.0
2022-07-01,,,,523.34,6403.0,6403.0
2022-08-01,,,,539.335,6599.0,6599.0
2022-09-01,,,,355.027,4344.0,4344.0
2022-10-01,,,,454.03,5555.0,5555.0
2022-11-01,,,,477.85,5846.0,5846.0
2022-12-01,,,,386.094,4724.0,4724.0
2023-01-01,,,,69.208,844.0,844.0
2023-02-01,,,,69.826,853.0,853.0
2023-03-01,,,,77.354,945.0,945.0
2023-04-01,,,,61.982,758.0,758.0
2023-05-01,,,,96.805,1183.0,1183.0
2023-06-01,,,,108.98,1332.0,1332.0
2023-07-01,,,,117.548,1437.0,1437.0
2023-08-01,,,,142.995,1747.0,1747.0
2023-09-01,,,,103.732,1267.0,1267.0
2023-10-01,,,,96.861,1184.0,1184.0
2023-11-01,,,,83.679,1023.0,1023.0
2023-12-01,,,,78.03,954.0,954.0
2024-01-01,,,,186.48,2282.0,2282.0
2024-02-01,,,,177.776,2174.0,2174.0
