measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,1439.154,13129.0,160515.0,6314.577,57620.0,704475.0,74.519,679.0,8303.0,738.672,6742.0,82427.0,,,,,,,,,,1237.02,11285.0,137975.0
2003-02-01,1756.7920000000001,20136.0,130491.0,8844.507,101365.0,656875.0,10.246,121.0,782.0,1286.3890000000001,14742.0,95532.0,,,,,,,,,,1038.612,11901.0,77125.0
2003-03-01,1052.0,11568.0,69228.0,10909.0,119971.0,717963.0,112.0,1231.0,7368.0,1141.0,12548.0,75094.0,,,,,,,,,,1665.0,18307.0,109554.0
2003-04-01,938.0110000000001,10501.0,73548.0,8915.3,99844.0,699300.0,80.108,894.0,6256.0,1242.6090000000002,13916.0,97462.0,,,,,,,,,,1837.832,20585.0,144178.0
2003-06-01,541.0,5908.0,35370.0,10053.0,109733.0,657038.0,1050.0,11456.0,68596.0,349.0,3813.0,22833.0,,,,,,,,,,1699.0,18548.0,111061.0
2003-07-01,786.0,8195.0,57456.0,9112.0,95044.0,666350.0,1083.0,11292.0,79168.0,539.0,5621.0,39410.0,,,,,,,,,,2249.0,23462.0,164489.0
2003-08-01,946.0,9261.0,57375.0,10782.0,105610.0,654250.0,88.0,862.0,5345.0,1330.0,13029.0,80716.0,,,,,,,,,,881.0,8631.0,53466.0
2003-09-01,158.353,1862.0,10908.0,8974.916000000001,105775.0,619650.0,296.214,3487.0,20427.0,1062.8310000000001,12523.0,73365.0,,,,,,,,,,2271.907,26777.0,156863.0
2003-10-01,554.0,4805.0,54189.0,4082.0,35379.0,398975.0,367.0,3183.0,35903.0,757.0,6561.0,73982.0,,,,,,,,,,1532.0,13282.0,149786.0
2003-11-01,371.665,4462.0,30699.0,7385.792,88559.0,609300.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2003-12-01,1180.0,7433.0,69795.0,10724.0,67530.0,634100.0,258.0,1623.0,15241.0,1572.0,9897.0,92928.0,,,,,,,,,,2975.0,18736.0,175937.0
2004-01-01,242.54626,1203.82,33434.37,4804.05697,23843.74,662226.75,7168.29853,35578.07,988131.3,1030.04606,5112.38,141989.17,,,,,,,,,,1025.56818,5090.15,141371.9
2004-02-01,253.88693999999998,1260.1,24985.26,7240.239600000001,35935.13,712519.0,5470.26825,27150.32,538334.4,1035.65363,5140.21,101919.68,,,,,,,,,,1354.22958,6721.38,133271.05
2004-03-01,296.22429,1470.24,29749.68,6833.396500000001,33915.86,686275.13,5369.74244,26651.38,539280.97,904.76736,4490.59,90865.4,,,,,,,,,,1384.60942,6872.16,139055.74
2004-04-01,251.08596,1246.2,26568.81,7247.85527,35972.93,766936.13,6777.39937,33637.94,717154.55,915.16349,4542.19,96838.57,,,,,,,,,,1335.42291,6628.04,141308.57
2004-05-01,299.03223,1484.17,35061.66,6216.22304,30852.68,728854.88,7304.58212,36254.48,856465.45,667.33157,3312.13,78244.92,,,,,,,,,,1219.13304,6050.86,142943.88
2004-06-01,279.51341,1387.3,35825.49,5806.17877,28817.53,744183.25,8240.84072,40901.37,1056236.1,642.94104,3191.08,82406.34,,,,,,,,,,1067.14506,5296.51,136776.96
2004-07-01,284.74286,1413.25,39216.42,5230.70807,25961.32,720403.13,8149.47713,40447.91,1122392.75,645.71975,3204.87,88932.23,,,,,,,,,,1213.52719,6023.04,167133.93
2004-08-01,329.56367,1635.71,36874.44,6313.06665,31333.34,706360.63,6419.39622,31861.08,718257.7,615.75486,3056.15,68895.99,,,,,,,,,,1543.78761,7662.21,172732.34
2004-09-01,242.33971,1202.79,31155.03,4955.53413,24595.56,637080.13,6888.6884900000005,34190.3,885605.15,635.54695,3154.38,81705.49,,,,,,,,,,1006.51471,4995.59,129396.85
2004-10-01,279.58117,1387.63,33714.9,6093.90082,30245.56,734868.0,7689.75683,38166.2,927313.46,699.67491,3472.66,84374.31,,,,,,,,,,1072.96926,5325.42,129390.16
2004-11-01,211.95798,1052.0,28855.17,5399.68303,26799.98,735092.75,8672.55901,43044.09,1180649.9,565.38315,2806.14,76969.16,,,,,,,,,,991.14382,4919.3,134930.63
2004-12-01,209.35211,1039.07,31549.5,5149.0329,25555.95,775962.63,9851.35725,48894.76,1484605.98,579.4636399999999,2876.02,87325.55,,,,,,,,,,932.2361000000001,4626.92,140488.59
2005-01-01,129.83423,644.4,23781.06,3969.89631,19703.59,727145.25,10941.29682,54304.41,2004060.41,374.68174,1859.64,68628.5,,,,,,,,,,937.79991,4654.54,171771.93
2005-02-01,221.47132,1099.22,20777.04,6975.61219,34621.72,654407.88,5212.43632,25870.63,488997.85,660.29155,3277.19,61944.38,,,,,,,,,,1647.83363,8178.61,154589.34
2005-03-01,214.30591,1063.65,22529.88,6645.03563,32980.98,698589.5,6646.31991,32987.36,698724.52,635.88733,3156.07,66850.54,,,,,,,,,,1569.74222,7791.03,165026.27
2005-04-01,194.33083,964.51,18971.82,7047.40811,34978.06,688013.13,5878.84685,29178.19,573930.69,688.04754,3414.95,67171.61,,,,,,,,,,1664.79367,8262.79,162527.82
2005-05-01,226.75045,1125.42,22557.42,6926.59872,34378.45,689066.75,5965.92225,29610.37,593497.45,741.59672,3680.73,73774.97,,,,,,,,,,1636.25486,8121.14,162776.69
2005-06-01,245.5882,1218.92,23250.24,7536.53038,37405.7,713495.75,5483.14586,27214.23,519098.45,1000.9296,4967.87,94759.65,,,,,,,,,,1780.33795,8836.27,168547.53
2005-07-01,160.58893999999998,797.04,24772.5,4820.50508,23925.38,743612.63,9817.4287,48726.37,1514439.63,786.60223,3904.1,121341.51,,,,,,,,,,1138.73705,5651.84,175661.93
2005-08-01,139.36191,691.69,24394.77,4195.29089,20822.28,734369.63,10471.91525,51974.75,1833068.71,718.37285,3565.47,125748.42,,,,,,,,,,991.0441000000001,4918.8,173478.48
2005-09-01,145.50304,722.17,22889.79,4504.62393,22357.58,708644.25,9620.30275,47747.98,1513416.51,602.87477,2992.22,94841.16,,,,,,,,,,1064.1175,5281.48,167401.49
2005-10-01,225.19935,1117.72,22544.73,7224.79157,35858.46,723274.63,6374.43269,31637.91,638145.11,735.34096,3649.68,73615.06,,,,,,,,,,1706.69642,8470.76,170857.55
2005-11-01,221.2675,1098.21,22377.06,6929.74329,34394.06,700813.63,6323.82761,31386.75,639536.61,649.47494,3223.51,65682.21,,,,,,,,,,1636.99766,8124.83,165551.63
2005-12-01,160.27434,795.48,24205.23,4725.36391,23453.17,713642.13,9551.70128,47407.5,1442533.64,496.22306,2462.88,74941.46,,,,,,,,,,1116.26241,5540.29,168582.12
2006-01-01,794.54953,3943.55,61317.0,9914.53769,49208.35,765125.0,178.36876999999998,885.29,13765.08,1238.57828,6147.38,95583.6,,,,,,,,,,2996.72174,14873.48,231263.1
2006-02-01,1707.02504,8472.4,107298.0,11528.00312,57216.39,724612.5,208.98194,1037.23,13135.92,1069.51566,5308.28,67226.25,,,,,,,,,,2418.18524,12002.06,151999.2
2006-03-01,1895.23709,9406.54,107514.0,12931.54603,64182.51,733587.5,108.62684,539.14,6162.24,1522.01214,7554.13,86341.5,,,,,,,,,,2094.1529,10393.81,118798.2
2006-04-01,638.44917,3168.78,38772.0,11756.44244,58350.18,713950.0,217.27427,1078.39,13194.72,1182.91926,5871.13,71836.8,,,,,,,,,,1771.99285,8794.85,107610.3
2006-05-01,563.35951,2796.09,35424.0,8687.78954,43119.68,546287.5,1379.85675,6848.58,86765.28,1499.84211,7444.09,94309.95,,,,,,,,,,1797.7361,8922.62,113041.5
2006-06-01,468.81458,2326.84,27432.0,12397.77188,61533.26,725437.5,64.01185,317.71,3745.56,1381.21112,6855.3,80819.55,,,,,,,,,,2585.43756,12832.18,151283.1
2006-07-01,474.82005,2356.65,30402.0,11118.10149,55181.94,711875.0,235.2791,1167.75,15064.56,1210.7513000000001,6009.26,77522.55,,,,,,,,,,2770.31306,13749.76,177378.9
2006-08-01,563.57777,2797.18,35181.0,12193.15028,60517.67,761150.0,164.36844,815.8,10260.6,1332.59206,6613.99,83186.25,,,,,,,,,,2889.47145,14341.17,180373.5
2006-09-01,402.91014,1999.74,26217.0,11257.45565,55873.59,732512.5,229.88977,1141.0,14958.72,1216.35155,6037.06,79146.9,,,,,,,,,,2400.85389,11916.04,156221.4
2006-10-01,277.50397,1377.32,26217.0,7433.36875,36893.68,702262.5,158.33634999999998,785.86,14958.72,837.76094,4158.02,79146.9,,,,,,,,,,1909.2330000000002,9476.0,180373.5
2006-11-01,407.17382,2020.91,50112.0,4218.74475,20938.69,519212.5,85.13794,422.56,10478.16,352.82182,1751.14,43422.75,,,,,,,,,,1192.94568,5920.89,146819.1
2006-12-01,476.16471,2363.33,52623.0,4944.49682,24540.78,546437.5,87.04468,432.02,9619.68,709.72729,3522.55,78435.0,,,,,,,,,,1506.48949,7477.09,166488.6
2007-01-01,415.971,2052.0,60318.0,5500.827,27300.0,797650.0,323.874,1605.0,46964.0,607.6080000000001,3016.0,88107.0,,,,,,,,,,993.01,4929.0,143992.0
2007-02-01,485.52700000000004,2403.0,44658.0,7767.861000000001,38550.0,714475.0,159.501,794.0,14671.0,856.1,4249.0,78743.0,,,,,,,,,,1543.759,7663.0,141992.0
2007-03-01,752.839,3726.0,50733.0,11828.729,58713.0,797125.0,264.993,1317.0,17858.0,1278.375,6345.0,86148.0,,,,,,,,,,2000.105,9923.0,134785.0
2007-04-01,610.12,3024.0,42525.0,11108.244,55138.0,774238.0,205.169,1017.0,14300.0,1252.223,6215.0,87279.0,,,,,,,,,,2138.886,10611.0,149079.0
2007-05-01,582.054,2889.0,37233.0,13085.197,64950.0,837038.0,564.852,2805.0,36133.0,1312.018,6512.0,83928.0,,,,,,,,,,2402.916,11923.0,153710.0
2007-06-01,741.053,3672.0,47844.0,12156.106,60338.0,784825.0,74.681,370.0,4822.0,1342.835,6664.0,86696.0,,,,,,,,,,2489.422,12360.0,160723.0
2007-07-01,1025.169,5076.0,69417.0,11843.603,58788.0,801963.0,148.579,735.0,10061.0,1158.644,5751.0,78455.0,,,,,,,,,,2307.67,11458.0,156259.0
2007-08-01,1052.736,5238.0,63234.0,12576.922,62425.0,755450.0,156.333,776.0,9390.0,1447.469,7184.0,86944.0,,,,,,,,,,2408.98,11960.0,144699.0
2007-09-01,1100.116,5454.0,68364.0,11311.899,56150.0,702950.0,25.169,123.0,1564.0,1243.0520000000001,6170.0,77246.0,,,,,,,,,,2469.0240000000003,12257.0,153431.0
2007-10-01,1651.5610000000001,8208.0,86211.0,6556.072,32538.0,342225.0,356.857,1770.0,18628.0,1361.307,6757.0,71060.0,,,,,,,,,,2341.9390000000003,11625.0,122249.0
2007-11-01,1055.069,5238.0,73251.0,10386.168,51550.0,721088.0,128.394,635.0,8914.0,1249.289,6200.0,86735.0,,,,,,,,,,2464.0530000000003,12230.0,171074.0
2007-12-01,1228.616,6102.0,83862.0,11022.08,54700.0,752338.0,126.71900000000001,629.0,8649.0,1513.992,7514.0,103341.0,,,,,,,,,,2722.667,13513.0,185842.0
