measured_on,"Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2013-01-01,-49.545,0.0,0.0
2013-02-01,-50.96,0.0,0.0
2013-03-01,-56.512,0.0,0.0
2013-04-01,-53.177,0.0,0.0
2013-05-01,-50.065,0.0,0.0
2013-06-01,-33.218,0.0,0.0
2013-07-01,-42.144,0.0,0.0
2013-08-01,-45.583,0.0,0.0
2013-09-01,-57.922,0.0,0.0
2013-10-01,-70.172,0.0,0.0
2013-11-01,-62.457,0.0,0.0
2013-12-01,-63.245,0.0,0.0
2014-01-01,102.81,978.0,978.0
2014-02-01,92.144,876.0,876.0
2014-03-01,88.735,844.0,844.0
2014-04-01,115.235,1096.0,1096.0
2014-05-01,238.995,2273.0,2273.0
2014-06-01,239.717,2280.0,2280.0
2014-07-01,223.29,2123.0,2123.0
2014-08-01,2159.302,20535.0,20535.0
2014-09-01,1657.072,15759.0,15759.0
2014-10-01,2101.75,19988.0,19988.0
2014-11-01,2153.039,20475.0,20475.0
2014-12-01,3015.911,28681.0,28681.0
2015-01-01,210.602,1963.0,1963.0
2015-02-01,225.045,2097.0,2097.0
2015-03-01,214.741,2001.0,2001.0
2015-04-01,180.065,1678.0,1678.0
2015-05-01,298.704,2784.0,2784.0
2015-06-01,290.337,2706.0,2706.0
2015-07-01,305.321,2845.0,2845.0
2015-08-01,266.767,2486.0,2486.0
2015-09-01,209.097,1949.0,1949.0
2015-10-01,331.754,3092.0,3092.0
2015-11-01,288.241,2686.0,2686.0
2015-12-01,267.326,2491.0,2491.0
2016-01-01,483.31,4462.0,4462.0
2016-02-01,402.869,3719.0,3719.0
2016-03-01,376.261,3474.0,3474.0
2016-04-01,479.815,4430.0,4430.0
2016-05-01,430.826,3977.0,3977.0
2016-06-01,528.65,4880.0,4880.0
2016-07-01,573.959,5299.0,5299.0
2016-08-01,670.948,6194.0,6194.0
2016-09-01,601.917,5557.0,5557.0
2016-10-01,511.166,4719.0,4719.0
2016-11-01,506.957,4680.0,4680.0
2016-12-01,445.322,4111.0,4111.0
2017-01-01,165.0,1520.0,1520.0
2017-02-01,646.0,5952.0,5952.0
2017-03-01,-464.0,0.0,0.0
2017-04-01,-1370.0,0.0,0.0
2017-05-01,-1132.0,0.0,0.0
2017-06-01,-1147.0,0.0,0.0
2017-07-01,-1558.0,0.0,0.0
2017-08-01,-1399.0,0.0,0.0
2017-09-01,-1129.0,0.0,0.0
2017-10-01,-807.0,0.0,0.0
2017-11-01,-862.0,0.0,0.0
2017-12-01,-1533.0,0.0,0.0
2018-01-01,-1382.0,0.0,0.0
2018-02-01,-953.0,0.0,0.0
2018-03-01,-1392.0,0.0,0.0
2018-04-01,-1371.0,0.0,0.0
2018-05-01,-1645.0,0.0,0.0
2018-06-01,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0
