measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wind - Wind Turbine, Onshore - Wind - Generation","Wind - Wind Turbine, Onshore - Wind - Quantity Consumed For Electricity","Wind - Wind Turbine, Onshore - Wind - Total Fuel Consumed"
2003-01-01,48.513000000000005,694.0,694.0,,,,272.53700000000003,3839.0,3839.0,0.0,0.0,0.0,,,
2003-02-01,45.416000000000004,650.0,650.0,,,,255.139,3594.0,3594.0,0.0,0.0,0.0,,,
2003-03-01,43.875,628.0,628.0,,,,246.48600000000002,3472.0,3472.0,0.0,0.0,0.0,,,
2003-04-01,42.011,601.0,601.0,,,,236.00900000000001,3325.0,3325.0,0.0,0.0,0.0,,,
2003-05-01,42.622,610.0,610.0,,,,239.445,3373.0,3373.0,0.0,0.0,0.0,,,
2003-06-01,44.477000000000004,636.0,636.0,,,,249.865,3520.0,3520.0,0.0,0.0,0.0,,,
2003-07-01,51.29,734.0,734.0,,,,288.141,4059.0,4059.0,0.0,0.0,0.0,,,
2003-08-01,52.002,744.0,744.0,,,,292.139,4115.0,4115.0,0.0,0.0,0.0,,,
2003-09-01,45.061,645.0,645.0,,,,253.145,3566.0,3566.0,0.0,0.0,0.0,,,
2003-10-01,46.723,668.0,668.0,,,,262.485,3698.0,3698.0,0.0,0.0,0.0,,,
2003-11-01,47.956,686.0,686.0,,,,269.409,3795.0,3795.0,0.0,0.0,0.0,,,
2003-12-01,50.055,716.0,716.0,,,,281.199,3961.0,3961.0,0.0,0.0,0.0,,,
2004-01-01,16.639,168.0,168.0,,,,93.232,706.0,706.0,134.28900000000002,2384.0,2384.0,,,
2004-02-01,4.825,49.0,49.0,,,,61.351000000000006,465.0,465.0,121.92,2164.0,2164.0,,,
2004-03-01,3.838,39.0,39.0,,,,53.955,409.0,409.0,125.995,2236.0,2236.0,,,
2004-04-01,9.062000000000001,92.0,92.0,,,,113.07300000000001,856.0,856.0,120.02,2130.0,2130.0,,,
2004-05-01,17.231,174.0,174.0,,,,64.526,489.0,489.0,132.972,2360.0,2360.0,,,
2004-06-01,8.547,86.0,86.0,,,,79.49,602.0,602.0,123.131,2186.0,2186.0,,,
2004-07-01,47.255,478.0,478.0,,,,71.38300000000001,541.0,541.0,97.997,1739.0,1739.0,,,
2004-08-01,5.682,57.0,57.0,,,,22.448,170.0,170.0,89.431,1587.0,1587.0,,,
2004-09-01,18.235,184.0,184.0,,,,62.993,477.0,477.0,106.302,1887.0,1887.0,,,
2004-10-01,3.4610000000000003,35.0,35.0,,,,111.215,842.0,842.0,99.43,1765.0,1765.0,,,
2004-11-01,4.583,46.0,46.0,,,,135.068,1023.0,1023.0,88.46300000000001,1570.0,1570.0,,,
2004-12-01,21.64,219.0,219.0,,,,79.266,600.0,600.0,126.051,2237.0,2237.0,,,
2005-01-01,55.287000000000006,554.34,554.34,,,,137.858,1402.69,1402.69,112.17200000000001,2095.25,2095.25,0.0,0.0,0.0
