measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,45457.0,609827.0,609827.0,0.0,0.0,0.0,4737.0,65515.0,65515.0,,,,,,,2050.0,11160.0,11160.0
2003-02-01,46582.0,626230.0,626230.0,0.0,0.0,0.0,5309.0,74095.0,74095.0,,,,,,,1809.0,9132.0,9132.0
2003-03-01,42719.0,574128.0,574128.0,0.0,0.0,0.0,7654.0,117738.0,117738.0,,,,,,,1470.0,8652.0,8652.0
2003-04-01,22815.0,333080.0,333080.0,0.0,0.0,0.0,2329.0,38731.0,38731.0,,,,,,,934.0,5664.0,5664.0
2003-05-01,23527.0,330556.0,330556.0,0.0,0.0,0.0,4678.0,72983.0,72983.0,,,,,,,890.0,5196.0,5196.0
2003-06-01,23527.0,397951.0,397951.0,0.0,0.0,0.0,467.0,6602.0,6602.0,,,,,,,890.0,7608.0,7608.0
2003-07-01,43654.0,600516.0,600516.0,0.0,0.0,0.0,9460.0,134929.0,134929.0,,,,,,,1389.0,8748.0,8748.0
2003-08-01,42824.0,593490.0,593490.0,0.0,0.0,0.0,13467.0,198202.0,198202.0,,,,,,,1526.0,10452.0,10452.0
2003-09-01,20348.0,288950.0,288950.0,0.0,0.0,0.0,4267.0,65291.0,65291.0,,,,,,,1225.0,7956.0,7956.0
2003-10-01,22382.0,298826.0,298826.0,0.0,0.0,0.0,5310.0,69671.0,69671.0,,,,,,,1423.0,9192.0,9192.0
2003-11-01,13510.0,206904.0,206904.0,0.0,0.0,0.0,5468.0,93569.0,93569.0,,,,,,,4202.0,88620.0,88620.0
2003-12-01,15056.0,218724.0,218724.0,0.0,0.0,0.0,6689.0,101823.0,101823.0,,,,,,,1264.0,8484.0,8484.0
2004-01-01,45888.0,593177.0,593177.0,0.0,0.0,0.0,16987.0,239271.0,239271.0,,,,,,,1327.0,16505.0,16505.0
2004-02-01,46393.0,617398.0,617398.0,0.0,0.0,0.0,4286.0,58039.0,58039.0,,,,,,,2187.0,27275.0,27275.0
2004-03-01,28813.0,405632.0,405632.0,0.0,0.0,0.0,3921.0,53565.0,53565.0,,,,,,,2043.0,24480.0,24480.0
2004-04-01,51395.0,643557.0,643557.0,16.0,232.0,232.0,7297.0,101745.0,101745.0,,,,,,,1023.0,30262.0,30262.0
2004-05-01,42681.0,568118.0,568118.0,0.0,0.0,0.0,6967.0,98822.0,98822.0,,,,,,,2404.0,30163.0,30163.0
2004-06-01,42489.0,550431.0,550431.0,14.0,209.0,209.0,7784.0,110169.0,110169.0,,,,,,,1033.0,32780.0,32780.0
2004-07-01,23842.0,618764.0,618764.0,33.0,969.0,969.0,38.0,1082.0,1082.0,,,,,,,29356.0,1760114.0,1760114.0
2004-08-01,44897.0,597142.0,597142.0,0.0,0.0,0.0,3314.0,45278.0,45278.0,,,,,,,2637.0,33789.0,33789.0
2004-09-01,30860.0,428507.0,428507.0,0.0,0.0,0.0,2961.0,43096.0,43096.0,,,,,,,1984.0,26150.0,26150.0
2004-10-01,26674.0,368266.0,368266.0,61.0,956.0,956.0,1598.0,24310.0,24310.0,,,,,,,648.0,20304.0,20304.0
2004-11-01,21359.0,305624.0,305624.0,0.0,0.0,0.0,2203.0,32779.0,32779.0,,,,,,,1399.0,18144.0,18144.0
2004-12-01,24696.0,348502.0,348502.0,0.0,0.0,0.0,5070.0,74816.0,74816.0,,,,,,,1884.0,31211.0,31211.0
2005-01-01,29105.0,380893.39,380893.39,0.0,0.0,0.0,7256.0,104103.2,104103.2,,,,1580.0,24072.11,24072.11,,,
2005-02-01,36042.0,483572.48,483572.48,371.0,5880.85,5880.85,6789.0,95235.01,95235.01,,,,2815.0,36333.96,36333.96,,,
2005-03-01,49494.0,652584.45,652584.45,0.0,0.0,0.0,3590.0,46806.48,46806.48,,,,3461.0,43524.85,43524.85,,,
2005-04-01,33175.0,456866.15,456866.15,0.0,0.0,0.0,3792.0,54635.67,54635.67,,,,2650.0,34970.94,34970.94,,,
2005-05-01,21608.0,306134.49,306134.49,0.0,0.0,0.0,2721.0,39216.11,39216.11,,,,1424.0,19322.57,19322.57,,,
2005-06-01,33412.0,462202.77,462202.77,0.0,0.0,0.0,7685.0,111017.0,111017.0,,,,2078.0,27902.64,27902.64,,,
2005-07-01,32562.0,445136.36,445136.36,0.0,0.0,0.0,11483.0,168905.59,168905.59,,,,2186.0,28823.59,28823.59,,,
2005-08-01,41042.0,573356.16,573356.16,0.0,0.0,0.0,9573.0,139018.86,139018.86,,,,2562.0,34672.19,34672.19,,,
2005-09-01,22145.0,326956.12,326956.12,0.0,0.0,0.0,3388.0,52304.44,52304.44,,,,846.0,12019.23,12019.23,,,
2005-10-01,19986.0,287676.19,287676.19,0.0,0.0,0.0,3339.0,48435.69,48435.69,,,,1316.0,18009.58,18009.58,,,
2005-11-01,28153.0,262643.41,262643.41,0.0,0.0,0.0,2658.0,36795.35,36795.35,,,,1690.0,22274.6,22274.6,,,
2005-12-01,16306.0,227393.8,227393.8,0.0,0.0,0.0,2700.0,40296.57,40296.57,,,,1160.0,15785.7,15785.7,,,
2006-01-01,10661.0,150417.0,150417.0,0.0,0.0,0.0,1189.0,22385.0,22385.0,,,,292.0,4119.0,4119.0,,,
2006-02-01,9912.0,144262.0,144262.0,0.0,0.0,0.0,1732.0,29493.0,29493.0,,,,235.0,3294.0,3294.0,,,
2006-03-01,5946.0,93351.0,93351.0,0.0,0.0,0.0,1100.0,22029.0,22029.0,,,,166.0,2445.0,2445.0,,,
2006-04-01,9019.0,125221.0,125221.0,0.0,0.0,0.0,1430.0,25556.0,25556.0,,,,347.0,4669.0,4669.0,,,
2006-05-01,15192.0,210522.0,210522.0,0.0,0.0,0.0,2716.0,46701.0,46701.0,,,,736.0,9612.0,9612.0,,,
2006-06-01,13152.0,191303.0,191303.0,0.0,0.0,0.0,1613.0,25529.0,25529.0,,,,559.0,7741.0,7741.0,,,
2006-07-01,24776.0,340045.0,340045.0,0.0,0.0,0.0,4577.0,73196.0,73196.0,,,,755.0,9945.0,9945.0,,,
2006-08-01,26857.0,379243.0,379243.0,0.0,0.0,0.0,4682.0,72899.0,72899.0,,,,1308.0,17638.0,17638.0,,,
2006-09-01,1857.0,33860.0,33860.0,0.0,0.0,0.0,528.0,15885.0,15885.0,,,,0.0,0.0,0.0,,,
2006-10-01,13931.0,182008.0,182008.0,0.0,0.0,0.0,1234.0,18334.0,18334.0,,,,385.0,4848.0,4848.0,,,
2006-11-01,17375.0,224342.0,224342.0,0.0,0.0,0.0,2016.0,29046.0,29046.0,,,,651.0,7681.0,7681.0,,,
2006-12-01,11274.0,145239.0,145239.0,0.0,0.0,0.0,1692.0,28469.0,28469.0,,,,158.0,1866.0,1866.0,,,
2007-01-01,14264.475,191998.0,191998.0,0.0,0.0,0.0,1520.787,20470.0,20470.0,,,,428.738,5771.0,5771.0,,,
2007-02-01,26999.242,349520.0,349520.0,0.0,0.0,0.0,2305.373,29844.0,29844.0,,,,728.385,9429.0,9429.0,,,
2007-03-01,14825.491,193337.0,193337.0,0.0,0.0,0.0,1701.174,22185.0,22185.0,,,,578.335,7542.0,7542.0,,,
2007-04-01,14781.427,190379.0,190379.0,0.0,0.0,0.0,1574.557,20280.0,20280.0,,,,708.015,9119.0,9119.0,,,
2007-05-01,11681.833,157379.0,157379.0,0.0,0.0,0.0,1516.0610000000001,20425.0,20425.0,,,,577.106,7775.0,7775.0,,,
2007-06-01,15041.692,207723.0,207723.0,0.0,0.0,0.0,2756.186,38062.0,38062.0,,,,443.122,6119.0,6119.0,,,
2007-07-01,14490.838,200727.0,200727.0,0.0,0.0,0.0,2106.57,29180.0,29180.0,,,,510.59200000000004,7073.0,7073.0,,,
2007-08-01,18550.953999999998,257786.0,257786.0,0.0,0.0,0.0,3355.1710000000003,46624.0,46624.0,,,,369.874,5140.0,5140.0,,,
2007-09-01,4167.876,68451.0,68451.0,0.0,0.0,0.0,1271.5610000000001,20884.0,20884.0,,,,217.56400000000002,3573.0,3573.0,,,
2007-10-01,9930.021,142707.0,142707.0,0.0,0.0,0.0,1949.755,28020.0,28020.0,,,,431.22400000000005,6197.0,6197.0,,,
2007-11-01,3978.7690000000002,67729.0,67729.0,0.0,0.0,0.0,896.686,15264.0,15264.0,,,,63.545,1082.0,1082.0,,,
