measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,175804.0,2094557.0,2094557.0,57725.0,499934.0,499934.0
2001-02-01,135957.0,1427606.0,1427606.0,38816.0,497557.0,497557.0
2001-03-01,44794.0,590979.0,590979.0,1881.0,25011.0,25011.0
2001-04-01,67557.0,822155.0,822155.0,0.0,0.0,0.0
2001-05-01,199335.0,2278056.0,2278056.0,45699.0,460145.0,460145.0
2001-06-01,147008.0,1660833.0,1660833.0,76389.0,867409.0,867409.0
2001-07-01,29995.0,482557.0,482557.0,0.0,0.0,0.0
2001-08-01,270751.0,3210060.0,3210060.0,74243.0,829880.0,829880.0
2001-09-01,231938.0,2787377.0,2787377.0,13729.0,180299.0,180299.0
2001-10-01,122047.0,1447637.0,1447637.0,0.0,0.0,0.0
2001-11-01,151949.0,1761024.0,1761024.0,31549.0,418600.0,418600.0
2001-12-01,140271.0,1731573.0,1731573.0,0.0,0.0,0.0
2002-01-01,199770.0,2364120.0,2364120.0,0.0,0.0,0.0
2002-02-01,188638.0,2168580.0,2168580.0,0.0,0.0,0.0
2002-03-01,53240.0,591152.0,591152.0,0.0,0.0,0.0
2002-04-01,90358.0,981350.0,981350.0,0.0,0.0,0.0
2002-05-01,159442.0,1972385.0,1972385.0,0.0,0.0,0.0
2002-06-01,274116.0,3164438.0,3164438.0,0.0,0.0,0.0
2002-07-01,324910.0,3749865.0,3749865.0,0.0,0.0,0.0
2002-08-01,342093.0,3913877.0,3913877.0,0.0,0.0,0.0
2002-09-01,215401.0,2481558.0,2481558.0,0.0,0.0,0.0
2002-10-01,258684.0,3054862.0,3054862.0,4261.0,43073.0,43073.0
2002-11-01,144811.0,1726878.0,1726878.0,0.0,0.0,0.0
2002-12-01,161100.0,1831042.0,1831042.0,0.0,0.0,0.0
2003-01-01,147259.0,1587060.0,1587060.0,0.0,0.0,0.0
2003-02-01,63561.0,677621.0,677621.0,0.0,0.0,0.0
2003-03-01,73386.0,764828.0,764828.0,0.0,0.0,0.0
2003-04-01,73777.0,861180.0,861180.0,0.0,0.0,0.0
2003-05-01,199750.0,2368316.0,2368316.0,0.0,0.0,0.0
2003-06-01,167712.0,2214516.0,2214516.0,0.0,0.0,0.0
2003-07-01,231692.0,2698069.0,2698069.0,0.0,0.0,0.0
2003-08-01,223364.0,2599332.0,2599332.0,0.0,0.0,0.0
2003-09-01,248834.0,2644724.0,2644724.0,0.0,0.0,0.0
2003-10-01,254364.0,2669979.0,2669979.0,0.0,0.0,0.0
2003-11-01,261020.0,2757394.0,2757394.0,0.0,0.0,0.0
2003-12-01,154920.0,1712946.0,1712946.0,0.0,0.0,0.0
2004-01-01,172508.0,1968572.0,1968572.0,0.0,0.0,0.0
2004-02-01,90889.0,1053102.0,1053102.0,0.0,0.0,0.0
2004-03-01,91211.0,1085640.0,1085640.0,0.0,0.0,0.0
2004-04-01,181119.0,2093738.0,2093738.0,0.0,0.0,0.0
2004-05-01,228798.0,2569243.0,2569243.0,0.0,0.0,0.0
2004-06-01,88177.0,1064540.0,1064540.0,0.0,0.0,0.0
2004-07-01,203056.0,2367815.0,2367815.0,0.0,0.0,0.0
2004-08-01,240542.0,2736855.0,2736855.0,0.0,0.0,0.0
2004-09-01,212276.0,2393916.0,2393916.0,563.0,6243.0,6243.0
2004-10-01,213573.0,2372260.0,2372260.0,0.0,0.0,0.0
2004-11-01,198636.0,2223072.0,2223072.0,0.0,0.0,0.0
2004-12-01,212445.0,2249238.0,2249238.0,4192.0,38328.0,38328.0
2005-01-01,201733.0,2220351.29,2220351.29,0.0,0.0,0.0
2005-02-01,179458.0,1989738.95,1989738.95,0.0,0.0,0.0
2005-03-01,214459.0,2379789.31,2379789.31,0.0,0.0,0.0
2005-04-01,212148.0,2342535.1,2342535.1,0.0,0.0,0.0
2005-05-01,144666.0,1692159.05,1692159.05,0.0,0.0,0.0
2005-06-01,246989.0,2772993.46,2772993.46,0.0,0.0,0.0
2005-07-01,218048.0,2461896.1,2461896.1,3175.0,37340.1,37340.1
2005-08-01,240956.0,2550773.47,2550773.47,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,-1902.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,-1238.0,0.0,0.0
2006-04-01,22744.0,309603.0,309603.0,0.0,0.0,0.0
2006-05-01,30707.0,393124.0,393124.0,0.0,0.0,0.0
2006-06-01,65655.0,844542.0,844542.0,0.0,0.0,0.0
2006-07-01,158799.0,1895646.0,1895646.0,0.0,0.0,0.0
2006-08-01,192639.0,2178374.0,2178374.0,0.0,0.0,0.0
2006-09-01,97443.0,1201246.0,1201246.0,0.0,0.0,0.0
2006-10-01,77946.0,996850.0,996850.0,0.0,0.0,0.0
2006-11-01,40549.0,582060.0,582060.0,0.0,0.0,0.0
2006-12-01,89940.0,1172317.0,1172317.0,0.0,0.0,0.0
2007-01-01,130975.0,1671339.0,1671339.0,0.0,0.0,0.0
