measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2002-01-01,1044.0,6932.0,6932.0
2002-02-01,3205.0,46718.0,46718.0
2002-03-01,4643.0,65417.0,65417.0
2002-04-01,2101.0,36097.0,36097.0
2002-05-01,6293.0,78401.0,78401.0
2002-06-01,8423.0,119045.0,119045.0
2002-07-01,7110.0,100670.0,100670.0
2002-08-01,8311.0,101347.0,101347.0
2002-09-01,5760.0,93574.0,93574.0
2002-10-01,3012.0,46612.0,46612.0
2002-11-01,304.0,1684.0,1684.0
2002-12-01,3133.0,49677.0,49677.0
2003-01-01,2908.0,40258.0,40258.0
2003-02-01,6493.0,93670.0,93670.0
2003-03-01,1537.0,26363.0,26363.0
2003-04-01,1760.0,28807.0,28807.0
2003-05-01,4075.0,57066.0,57066.0
2003-06-01,2175.0,37305.0,37305.0
2003-07-01,3350.0,51970.0,51970.0
2003-08-01,4297.0,65053.0,65053.0
2003-09-01,2743.0,45702.0,45702.0
2003-10-01,1657.0,28188.0,28188.0
2003-11-01,1657.0,10994.0,10994.0
2003-12-01,2526.0,41957.0,41957.0
2004-01-01,36.0,584.0,584.0
2004-02-01,2149.0,36140.0,36140.0
2004-03-01,2182.0,36056.0,36056.0
2004-04-01,3065.0,48012.0,48012.0
2004-05-01,3503.0,48550.0,48550.0
2004-06-01,1116.0,24489.0,24489.0
2004-07-01,3393.0,53809.0,53809.0
2004-08-01,2107.0,34003.0,34003.0
2004-09-01,1744.0,27985.0,27985.0
2004-10-01,1873.0,29565.0,29565.0
2004-11-01,1388.0,23534.0,23534.0
2004-12-01,499.0,13289.0,13289.0
2005-01-01,700.0,15370.69,15370.69
2005-02-01,370.0,9686.12,9686.12
2005-03-01,280.0,2949.92,2949.92
2005-04-01,581.0,17077.4,17077.4
2005-05-01,2069.0,32930.13,32930.13
2005-06-01,1510.0,25721.16,25721.16
2005-07-01,2695.0,42413.34,42413.34
2005-08-01,2302.0,37296.3,37296.3
2005-09-01,823.0,18270.14,18270.14
2005-10-01,3077.0,50035.34,50035.34
2005-11-01,2013.0,34694.52,34694.52
2005-12-01,2342.0,39252.27,39252.27
2006-01-01,1025.0,14708.0,14708.0
2006-02-01,364.0,8205.0,8205.0
2006-03-01,350.0,9932.0,9932.0
2006-04-01,1335.0,18858.0,18858.0
2006-05-01,1451.0,20157.0,20157.0
2006-06-01,3227.0,43445.0,43445.0
2006-07-01,3680.0,52011.0,52011.0
2006-08-01,842.0,12087.0,12087.0
2006-09-01,507.0,6423.0,6423.0
2006-10-01,1394.0,20291.0,20291.0
2006-11-01,1259.0,18923.0,18923.0
2006-12-01,1179.0,16959.0,16959.0
2007-01-01,459.0,11153.0,11153.0
2007-02-01,81.0,6188.0,6188.0
2007-03-01,0.0,0.0,0.0
2007-04-01,33.0,5119.0,5119.0
2007-05-01,902.0,13672.0,13672.0
2007-06-01,2337.0,32358.0,32358.0
2007-07-01,2128.0,34092.0,34092.0
2007-08-01,5135.0,62780.0,62780.0
2007-09-01,775.0,10824.0,10824.0
2007-10-01,2285.0,30637.0,30637.0
2007-11-01,2404.0,32699.0,32699.0
2007-12-01,1377.0,20196.0,20196.0
2008-01-01,872.302,12050.0,12050.0
2008-02-01,682.677,9431.0,9431.0
2008-03-01,450.68100000000004,6226.0,6226.0
2008-04-01,760.6740000000001,10508.0,10508.0
2008-05-01,683.39,9440.0,9440.0
2008-06-01,967.74,13369.0,13369.0
2008-07-01,1220.392,16859.0,16859.0
2008-08-01,1259.276,17396.0,17396.0
2008-09-01,1087.185,15019.0,15019.0
2008-10-01,884.239,12215.0,12215.0
2008-11-01,606.052,8372.0,8372.0
2008-12-01,668.392,9234.0,9234.0
2009-01-01,104.2395,1574.0,1574.0
2009-02-01,111.3395,1679.5,1679.5
2009-03-01,106.13550000000001,1601.5,1601.5
2009-04-01,120.4025,1816.5,1816.5
2009-05-01,188.3835,2842.0,2842.0
2009-06-01,161.5085,2436.5,2436.5
2009-07-01,296.675,4476.0,4476.0
2009-08-01,281.3095,4244.0,4244.0
2009-09-01,232.93550000000002,3514.0,3514.0
2009-10-01,186.6625,2816.0,2816.0
2009-11-01,124.63350000000001,1880.5,1880.5
2009-12-01,117.775,1776.5,1776.5
2010-01-01,263.848,3839.0,3839.0
2010-02-01,278.44800000000004,4053.0,4053.0
2010-03-01,401.507,5845.0,5845.0
2010-04-01,465.49100000000004,6776.0,6776.0
2010-05-01,364.207,5302.0,5302.0
2010-06-01,612.143,8911.0,8911.0
2010-07-01,934.5600000000001,13604.0,13604.0
2010-08-01,980.258,14269.0,14269.0
2010-09-01,821.788,11963.0,11963.0
2010-10-01,651.03,9477.0,9477.0
2010-11-01,437.23600000000005,6365.0,6365.0
2010-12-01,374.48400000000004,5451.0,5451.0
2011-01-01,204.037,3620.0,3620.0
2011-02-01,154.636,2743.0,2743.0
2011-03-01,89.566,1589.0,1589.0
2011-04-01,187.388,3324.0,3324.0
2011-05-01,140.361,2490.0,2490.0
2011-06-01,285.657,5067.0,5067.0
2011-07-01,434.544,7708.0,7708.0
2011-08-01,540.837,9594.0,9594.0
2011-09-01,381.77,6772.0,6772.0
2011-10-01,290.952,5161.0,5161.0
2011-11-01,202.63,3594.0,3594.0
2011-12-01,159.622,2832.0,2832.0
2012-01-01,320.023,5246.0,5246.0
2012-02-01,365.892,5997.0,5997.0
2012-03-01,389.275,6380.0,6380.0
2012-04-01,412.474,6761.0,6761.0
2012-05-01,389.168,6378.0,6378.0
2012-06-01,591.708,9698.0,9698.0
2012-07-01,718.986,11784.0,11784.0
2012-08-01,843.591,13827.0,13827.0
2012-09-01,616.837,10110.0,10110.0
2012-10-01,469.579,7697.0,7697.0
2012-11-01,205.425,3367.0,3367.0
2012-12-01,165.042,2705.0,2705.0
2013-01-01,354.79,5049.0,5049.0
2013-02-01,275.971,3928.0,3928.0
2013-03-01,291.213,4144.0,4144.0
2013-04-01,395.601,5630.0,5630.0
2013-05-01,357.675,5091.0,5091.0
2013-06-01,809.812,11525.0,11525.0
2013-07-01,1114.225,15857.0,15857.0
2013-08-01,1116.721,15893.0,15893.0
2013-09-01,868.157,12355.0,12355.0
2013-10-01,485.963,6916.0,6916.0
2013-11-01,376.12,5353.0,5353.0
2013-12-01,591.752,8422.0,8422.0
2014-01-01,284.341,4363.0,4363.0
2014-02-01,278.662,4274.0,4274.0
2014-03-01,148.094,2272.0,2272.0
2014-04-01,253.591,3889.0,3889.0
2014-05-01,382.804,5871.0,5871.0
2014-06-01,611.834,9384.0,9384.0
2014-07-01,868.191,13316.0,13316.0
2014-08-01,819.125,12563.0,12563.0
2014-09-01,742.438,11387.0,11387.0
2014-10-01,540.999,8298.0,8298.0
2014-11-01,384.653,5900.0,5900.0
2014-12-01,251.268,3854.0,3854.0
2015-01-01,206.999,3089.0,3089.0
2015-02-01,157.03,2342.0,2342.0
2015-03-01,166.612,2485.0,2485.0
2015-04-01,243.513,3631.0,3631.0
2015-05-01,243.969,3638.0,3638.0
2015-06-01,564.911,8424.0,8424.0
2015-07-01,632.232,9429.0,9429.0
2015-08-01,714.112,10650.0,10650.0
2015-09-01,576.03,8590.0,8590.0
2015-10-01,459.435,6851.0,6851.0
2015-11-01,322.785,4813.0,4813.0
2015-12-01,320.372,4778.0,4778.0
2016-01-01,316.153,5.0,5.0
2016-02-01,266.551,4.0,4.0
2016-03-01,287.807,4.0,4.0
2016-04-01,384.321,6.0,6.0
2016-05-01,424.674,6.0,6.0
2016-06-01,647.101,10.0,10.0
2016-07-01,759.339,12.0,12.0
2016-08-01,753.705,11.0,11.0
2016-09-01,611.69,9.0,9.0
2016-10-01,428.2,7.0,7.0
2016-11-01,248.509,4.0,4.0
2016-12-01,195.95,3.0,3.0
2017-01-01,390.063,6.0,6.0
2017-02-01,214.145,3.0,3.0
2017-03-01,285.832,4.0,4.0
2017-04-01,598.742,8.0,8.0
2017-05-01,802.992,11.0,11.0
2017-06-01,1153.788,16.0,16.0
2017-07-01,1432.952,20.0,20.0
2017-08-01,1309.901,18.0,18.0
2017-09-01,1055.659,14.0,14.0
2017-10-01,912.091,12.0,12.0
2017-11-01,535.616,7.0,7.0
2017-12-01,666.219,9.0,9.0
2018-01-01,219.659,3637.0,3637.0
2018-02-01,176.9,2930.0,2930.0
2018-03-01,212.52,3520.0,3520.0
2018-04-01,316.491,5243.0,5243.0
2018-05-01,359.696,5958.0,5958.0
2018-06-01,496.444,8223.0,8223.0
2018-07-01,671.747,11127.0,11127.0
2018-08-01,697.352,11550.0,11550.0
2018-09-01,646.842,10714.0,10714.0
2018-10-01,538.149,8914.0,8914.0
2018-11-01,393.846,6524.0,6524.0
2018-12-01,424.354,7029.0,7029.0
2019-01-01,1038.643,14682.0,14682.0
2019-02-01,899.941,12719.0,12719.0
2019-03-01,1036.387,14648.0,14648.0
2019-04-01,1165.219,16469.0,16469.0
2019-05-01,1073.699,15175.0,15175.0
2019-06-01,1474.083,20834.0,20834.0
2019-07-01,1863.162,26333.0,26333.0
2019-08-01,1917.775,27105.0,27105.0
2019-09-01,1700.172,24030.0,24030.0
2019-10-01,1558.089,22021.0,22021.0
2019-11-01,1101.846,15573.0,15573.0
2019-12-01,1470.984,20791.0,20791.0
2020-01-01,88.412,1536.0,1536.0
2020-02-01,83.847,1455.0,1455.0
2020-03-01,66.665,1157.0,1157.0
2020-04-01,82.234,1427.0,1427.0
2020-05-01,106.482,1848.0,1848.0
2020-06-01,113.968,1978.0,1978.0
2020-07-01,143.302,2487.0,2487.0
2020-08-01,142.888,2480.0,2480.0
2020-09-01,125.703,2181.0,2181.0
2020-10-01,116.544,2022.0,2022.0
2020-11-01,91.541,1588.0,1588.0
2020-12-01,98.414,1708.0,1708.0
2021-01-01,0.0,0.0,0.0
2021-02-01,31.097,671.0,671.0
2021-03-01,11.587,250.0,250.0
2021-04-01,0.0,0.0,0.0
2021-05-01,52.936,1142.0,1142.0
2021-06-01,131.64,2841.0,2841.0
2021-07-01,43.721,944.0,944.0
2021-08-01,0.0,0.0,0.0
2021-09-01,250.37,5403.0,5403.0
2021-10-01,187.896,4054.0,4054.0
2021-11-01,25.753,556.0,556.0
2021-12-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-02-01,3.125,51.0,51.0
2022-03-01,229.978,3685.0,3685.0
2022-04-01,88.98,1425.0,1425.0
2022-05-01,125.267,2007.0,2007.0
2022-06-01,203.587,3262.0,3262.0
