measured_on,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,3172.0,38280.0,38280.0,3077.0,75935.0,75935.0,,,
2003-02-01,2525.0,30791.0,30791.0,2678.0,63545.0,63545.0,,,
2003-03-01,3135.0,38134.0,38134.0,3245.0,75633.0,75633.0,,,
2003-04-01,2917.0,35306.0,35306.0,3139.0,73697.0,73697.0,,,
2003-05-01,3106.0,37877.0,37877.0,3138.0,75556.0,75556.0,,,
2003-06-01,2106.0,25713.0,25713.0,,,,,,
2003-07-01,2912.0,35557.0,35557.0,2880.0,73095.0,73095.0,,,
2003-08-01,3096.0,37986.0,37986.0,2880.0,73004.0,73004.0,,,
2003-09-01,2057.0,36431.0,36431.0,2728.0,68876.0,68876.0,,,
2003-10-01,2707.0,32635.0,32635.0,2680.0,65263.0,65263.0,,,
2003-11-01,2852.0,35572.0,35572.0,2536.0,65460.0,65460.0,,,
2003-12-01,2916.0,36923.0,36923.0,2807.0,69618.0,69618.0,,,
2004-01-01,2830.616,29536.0,29536.0,2841.685,56976.0,56976.0,,,
2004-02-01,3966.5060000000003,41389.0,41389.0,2657.208,53277.0,53277.0,,,
2004-03-01,4385.6320000000005,45762.0,45762.0,2566.049,51449.0,51449.0,,,
2004-04-01,2460.0840000000003,25670.0,25670.0,2711.4280000000003,54364.0,54364.0,,,
2004-05-01,2217.1130000000003,23135.0,23135.0,2901.737,58180.0,58180.0,,,
2004-06-01,2417.5640000000003,25226.0,25226.0,2806.042,56261.0,56261.0,,,
2004-07-01,2539.05,26494.0,26494.0,2756.791,55274.0,55274.0,,,
2004-08-01,2381.119,24846.0,24846.0,2752.9030000000002,55196.0,55196.0,,,
2004-09-01,2332.524,24339.0,24339.0,2705.163,54239.0,54239.0,,,
2004-10-01,2296.079,23959.0,23959.0,2793.802,56016.0,56016.0,,,
2004-11-01,2138.147,22311.0,22311.0,2560.505,51338.0,51338.0,,,
2004-12-01,2417.5640000000003,25226.0,25226.0,1762.6870000000001,35342.0,35342.0,,,
2005-01-01,2760.541,31759.08,31759.08,3341.934,76105.01,76105.01,,,
2005-02-01,2354.365,27086.17,27086.17,2850.215,64907.21,64907.21,,,
2005-03-01,2630.19,30259.44,30259.44,3184.13,72511.39,72511.39,,,
2005-04-01,2428.456,27938.55,27938.55,2939.909,66949.81,66949.81,,,
2005-05-01,2660.763,30611.17,30611.17,3221.1420000000003,73354.25,73354.25,,,
2005-06-01,2579.963,29681.59,29681.59,3123.3250000000003,71126.69,71126.69,,,
2005-07-01,2771.8030000000003,31888.64,31888.64,3355.568,76415.49,76415.49,,,
2005-08-01,2670.0060000000003,30717.51,30717.51,3232.3320000000003,73609.08,73609.08,,,
2005-09-01,2542.027,29245.15,29245.15,3077.4,70080.84,70080.84,,,
2005-10-01,2193.7470000000003,25238.3,25238.3,2655.768,60479.14,60479.14,,,
2005-11-01,2442.7290000000003,28102.76,28102.76,2957.188,67343.29,67343.29,,,
2005-12-01,2733.411,31446.96,31446.96,3309.09,75357.07,75357.07,,,
2006-01-01,3052.214,40480.0,40480.0,2688.605,69274.0,69274.0,,,
2006-02-01,2820.71,37410.0,37410.0,2484.68,64019.0,64019.0,,,
2006-03-01,3111.4320000000002,41265.0,41265.0,2740.7690000000002,70618.0,70618.0,,,
2006-04-01,2289.261,30361.0,30361.0,2016.5420000000001,51958.0,51958.0,,,
2006-05-01,2798.817,37119.0,37119.0,2465.395,63523.0,63523.0,,,
2006-06-01,2931.871,38884.0,38884.0,2582.598,66542.0,66542.0,,,
2006-07-01,3042.795,40355.0,40355.0,2680.309,69060.0,69060.0,,,
2006-08-01,3024.4970000000003,40112.0,40112.0,2664.19,68645.0,68645.0,,,
2006-09-01,2893.003,38369.0,38369.0,2548.3610000000003,65660.0,65660.0,,,
2006-10-01,3001.992,39814.0,39814.0,2644.366,68134.0,68134.0,,,
2006-11-01,3031.974,40212.0,40212.0,2670.777,68814.0,68814.0,,,
2006-12-01,2921.436,38746.0,38746.0,2573.407,66306.0,66306.0,,,
2007-01-01,2404.86,34430.0,34430.0,2636.8160000000003,67928.0,67928.0,,,
2007-02-01,2196.795,31451.0,31451.0,2408.6820000000002,62051.0,62051.0,,,
2007-03-01,2372.4210000000003,33965.0,33965.0,2601.2490000000003,67012.0,67012.0,,,
2007-04-01,2221.2110000000002,31800.0,31800.0,2435.454,62741.0,62741.0,,,
2007-05-01,2207.9480000000003,31610.0,31610.0,2420.911,62366.0,62366.0,,,
2007-06-01,2337.826,33470.0,33470.0,2563.3160000000003,66035.0,66035.0,,,
2007-07-01,2388.194,34191.0,34191.0,2618.542,67458.0,67458.0,,,
2007-08-01,2397.9,34330.0,34330.0,2629.185,67732.0,67732.0,,,
2007-09-01,2311.407,33092.0,33092.0,2534.349,65289.0,65289.0,,,
2007-10-01,2047.1170000000002,29308.0,29308.0,2244.568,57823.0,57823.0,,,
2007-11-01,2355.502,33723.0,33723.0,2582.6980000000003,66534.0,66534.0,,,
2007-12-01,2388.82,34200.0,34200.0,2619.2290000000003,67475.0,67475.0,,,
2008-01-01,2302.446,29090.0,29090.0,2245.043,55215.0,55215.0,,,
2008-02-01,2391.952,30221.0,30221.0,2332.322,57362.0,57362.0,,,
2008-03-01,2586.637,32681.0,32681.0,2522.1530000000002,62031.0,62031.0,,,
2008-04-01,2474.366,31263.0,31263.0,2412.681,59338.0,59338.0,,,
2008-05-01,2218.693,28032.0,28032.0,2163.382,53207.0,53207.0,,,
2008-06-01,2383.309,30112.0,30112.0,2323.8940000000002,57155.0,57155.0,,,
2008-07-01,2508.033,31688.0,31688.0,2445.509,60146.0,60146.0,,,
2008-08-01,2579.9790000000003,32597.0,32597.0,2515.661,61871.0,61871.0,,,
2008-09-01,2344.801,29626.0,29626.0,2286.346,56231.0,56231.0,,,
2008-10-01,2500.4500000000003,31592.0,31592.0,2438.1150000000002,59964.0,59964.0,,,
2008-11-01,2585.433,32666.0,32666.0,2520.9790000000003,62002.0,62002.0,,,
2008-12-01,2646.9010000000003,33443.0,33443.0,2580.915,63476.0,63476.0,,,
2009-01-01,1830.208,23335.0,23335.0,1680.565,52408.0,52408.0,,,
2009-02-01,2212.608,28211.0,28211.0,2031.699,63358.0,63358.0,,,
2009-03-01,2401.525,30620.0,30620.0,2205.1690000000003,68768.0,68768.0,,,
2009-04-01,2180.467,27801.0,27801.0,2002.185,62438.0,62438.0,,,
2009-05-01,2297.216,29290.0,29290.0,2109.39,65781.0,65781.0,,,
2009-06-01,2444.955,31174.0,31174.0,2245.049,70011.0,70011.0,,,
2009-07-01,2515.598,32074.0,32074.0,2309.916,72034.0,72034.0,,,
2009-08-01,2232.688,28467.0,28467.0,2050.137,63933.0,63933.0,,,
