measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,"Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,,,,,,,,,,425.0,4942.0,4942.0,47.0,669.0,669.0,,,,664.0,6515.0,6515.0,0.0,0.0,0.0,,,,24918.0,289617.0,289617.0
2003-02-01,,,,,,,,,,428.0,4885.0,4885.0,0.0,0.0,0.0,,,,220.0,2144.0,2144.0,0.0,0.0,0.0,,,,22824.0,265545.0,265545.0
2003-03-01,,,,,,,,,,314.0,3754.0,3754.0,92.0,1225.0,1225.0,,,,934.0,9934.0,9934.0,0.0,0.0,0.0,,,,13104.0,159617.0,159617.0
2003-04-01,,,,,,,,,,217.0,2962.0,2962.0,132.0,1758.0,1758.0,,,,2563.0,24834.0,24834.0,19.0,271.0,271.0,,,,3715.0,48134.0,48134.0
2003-05-01,,,,,,,,,,0.0,0.0,0.0,47.0,650.0,650.0,,,,1102.0,11748.0,11748.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-06-01,,,,,,,,,,3.0,52.0,52.0,130.0,1763.0,1763.0,,,,4882.0,51086.0,51086.0,272.0,4053.0,4053.0,,,,4168.0,61457.0,61457.0
2003-07-01,,,,,,,,,,0.0,0.0,0.0,88.0,941.0,941.0,,,,4883.0,52297.0,52297.0,1237.0,15949.0,15949.0,,,,1215.0,15662.0,15662.0
2003-08-01,,,,,,,,,,0.0,0.0,0.0,178.36,2625.0,2625.0,,,,4367.86,46123.0,46123.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-09-01,,,,,,,,,,0.0,0.0,0.0,58.8,767.0,767.0,,,,7336.28,73697.0,73697.0,932.451,12494.0,12494.0,,,,489.75300000000004,6596.0,6596.0
2003-10-01,,,,,,,,,,0.0,0.0,0.0,119.0,1658.0,1658.0,,,,1889.0,19856.0,19856.0,242.0,3132.0,3132.0,,,,2275.0,29667.0,29667.0
2003-11-01,,,,,,,,,,10.0,157.0,157.0,184.0,1904.0,1904.0,,,,2587.0,26399.0,26399.0,93.0,1400.0,1400.0,,,,430.0,6546.0,6546.0
2003-12-01,,,,,,,,,,167.0,1943.0,1943.0,32.0,426.0,426.0,,,,,,,196.0,2264.0,2264.0,,,,20514.0,240307.0,240307.0
2004-01-01,,,,,,,5884.057000000001,58367.0,58367.0,,,,,,,,,,643.994,6388.0,6388.0,232.45700000000002,2925.0,2925.0,,,,13502.881000000001,169902.0,169902.0
2004-02-01,,,,,,,193.101,1915.0,1915.0,,,,,,,,,,966.297,9585.0,9585.0,129.90200000000002,1635.0,1635.0,,,,9407.699,118373.0,118373.0
2004-03-01,,,,,,,169.556,1682.0,1682.0,,,,,,,,,,1048.653,10402.0,10402.0,25.619,322.0,322.0,,,,9330.353000000001,117400.0,117400.0
2004-04-01,,,,,,,172.684,1713.0,1713.0,,,,,,,,,,1112.535,11036.0,11036.0,117.724,1481.0,1481.0,,,,3288.414,41377.0,41377.0
2004-05-01,,,,,,,226.49200000000002,2247.0,2247.0,,,,,,,,,,1013.8280000000001,10057.0,10057.0,14.134,178.0,178.0,,,,4673.416,58804.0,58804.0
2004-06-01,,,,,,,76.95700000000001,763.0,763.0,,,,,,,,,,1013.755,10056.0,10056.0,95.40700000000001,1200.0,1200.0,,,,4731.432,59534.0,59534.0
