measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed
2024-01-01,-219.0,0.0,0.0
2024-02-01,-147.0,0.0,0.0
2024-03-01,-175.0,0.0,0.0
2024-04-01,-209.0,0.0,0.0
2024-05-01,-206.0,0.0,0.0
2024-06-01,-148.0,0.0,0.0
2024-07-01,-155.0,0.0,0.0
2024-08-01,-77.0,0.0,0.0
2024-09-01,-70.0,0.0,0.0
2024-10-01,-27.0,0.0,0.0
2024-11-01,-42.0,0.0,0.0
2024-12-01,-48.0,0.0,0.0
