measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Generation,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Total Fuel Consumed,Kerosene - Combined Cycle Steam Part - Waste Oil - Generation,Kerosene - Combined Cycle Steam Part - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combined Cycle Steam Part - Waste Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,,,,483.06,2499.0,3999.0,,,,78628.2,407155.0,651429.0,16934.26,0.0,0.0
2003-02-01,0.0,0.0,0.0,,,,18959.62,173843.0,251950.0,,,,37264.49,341687.0,495210.0,15283.32,0.0,0.0
2003-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,55227.0,455551.0,680375.0,16389.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,28858.0,281839.0,425227.0,6376.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,28234.0,219577.0,377789.0,360.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,25011.0,216557.0,338911.0,326.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,27414.0,305937.0,390789.0,870.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,17072.0,97371.0,123140.0,1418.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,,,,14.0,186.0,186.0,,,,811.0,11138.0,11138.0,250.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,560.0,7711.0,7711.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,2374.0,31701.0,35066.0,541.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1213.0,9901.0,15070.0,81.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1352.9560000000001,7756.97,23914.38,0.0,0.0,0.0,7789.267000000001,44658.61,137680.4,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,3.75819,21.55,65.83,0.0,0.0,0.0,10189.46381,58419.78,178488.09,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,8.2108,47.08,143.83,0.0,0.0,0.0,10015.3472,57421.51,175442.9,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1.25275,7.18,21.94,0.0,0.0,0.0,11832.99025,67842.7,207274.32,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,16.63224,95.36,291.36,0.0,0.0,0.0,17462.69676,100119.78,305903.63,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.5402899999999999,3.1,9.46,0.0,0.0,0.0,16313.00971,93528.22,285747.96,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.40076,2.3,7.02,0.0,0.0,0.0,18587.03424,106566.0,325580.83,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.2078,1.19,3.64,0.0,0.0,0.0,22138.7922,126929.49,387795.1,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.13953,0.8,2.44,0.0,0.0,0.0,15470.55847,88698.15,270990.69,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.9558899999999999,5.48,16.74,0.0,0.0,0.0,9341.43111,53557.71,163630.49,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,7.498469999999999,42.99,131.35,0.0,0.0,0.0,12724.79153,72955.71,222902.24,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,284.87732,1633.3,4995.64,0.0,0.0,0.0,15238.15668,87365.71,267217.99,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,411.12816,2357.14,3489.92,0.0,0.0,0.0,18252.10284,104645.73,154935.49,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,94.63239,542.56,803.3,0.0,0.0,0.0,16180.964609999999,92771.16,137354.34,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,81.20620000000001,465.58,689.33,0.0,0.0,0.0,19309.1428,110706.11,163908.32,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,81.25402,465.86,689.74,0.0,0.0,0.0,19796.60698,113500.91,168046.24,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,81.92362,469.7,695.42,0.0,0.0,0.0,16059.78638,92076.41,136325.73,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,99.2376,568.96,842.39,0.0,0.0,0.0,27322.4444,156649.18,231930.33,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,187.94605,1077.56,1595.41,0.0,0.0,0.0,35208.81295,201864.51,298874.87,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0,166.46416,954.4,1413.05,0.0,0.0,0.0,37643.48984,215823.37,319541.95,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,92.62357999999999,531.04,786.25,0.0,0.0,0.0,24901.51542,142769.14,211379.93,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,129.8616,744.54,1102.35,0.0,0.0,0.0,17220.6944,98732.3,146180.23,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,87.44440999999999,501.35,742.28,0.0,0.0,0.0,15457.51359,88623.37,131213.25,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0,239.53259,1373.32,2033.31,0.0,0.0,0.0,16700.83041,95751.73,141767.34,0.0,0.0,0.0
2006-01-01,,,,,,,153.01659,877.3,1444.71,0.0,0.0,0.0,11242.42941,64456.81,106145.51,0.0,0.0,0.0
2006-02-01,,,,,,,191.81022000000002,1099.72,1810.98,0.0,0.0,0.0,11209.66278,64268.95,105836.13,0.0,0.0,0.0
2006-03-01,,,,,,,349.24976,2002.37,3297.45,0.0,0.0,0.0,12229.13424,70113.92,115461.5,0.0,0.0,0.0
2006-04-01,,,,,,,165.59415,949.41,1563.46,0.0,0.0,0.0,10281.81685,58949.28,97075.85,0.0,0.0,0.0
2006-05-01,,,,,,,114.372,655.73,1079.84,0.0,0.0,0.0,9974.075,57184.88,94170.33,0.0,0.0,0.0
2006-06-01,,,,,,,110.11590000000001,631.33,1039.66,0.0,0.0,0.0,12758.7631,73150.48,120462.0,0.0,0.0,0.0
2006-07-01,,,,,,,136.49891,782.6,1288.76,0.0,0.0,0.0,19107.05409,109547.47,180399.43,0.0,0.0,0.0
2006-08-01,,,,,,,145.24952,832.77,1371.37,0.0,0.0,0.0,17988.77748,103135.99,169841.22,0.0,0.0,0.0
2006-09-01,,,,,,,84.91913,486.87,801.76,0.0,0.0,0.0,12759.43987,73154.36,120468.39,0.0,0.0,0.0
2006-10-01,,,,,,,84.54955,484.75,798.28,0.0,0.0,0.0,14229.91645,81585.12,134351.91,0.0,0.0,0.0
2006-11-01,,,,,,,137.39302,787.72,1297.2,0.0,0.0,0.0,12239.62898,70174.1,115560.59,0.0,0.0,0.0
2006-12-01,,,,,,,153.0643,877.57,1445.16,0.0,0.0,0.0,11959.8567,68570.06,112919.09,0.0,0.0,0.0
2007-01-01,,,,,,,0.376,0.0,6.0,0.0,0.0,912.0,10204.127,58517.0,95661.0,0.0,0.0,44932.0
2007-02-01,,,,,,,2.983,17.0,28.0,0.0,0.0,7243.0,8798.14,50455.0,82480.0,0.0,0.0,38741.0
2007-03-01,,,,,,,0.731,6.0,6.0,0.0,0.0,1778.0,12796.812,73387.0,119966.0,0.0,0.0,56348.0
2007-04-01,,,,,,,0.215,0.0,0.0,0.0,0.0,523.0,12948.89,74259.0,121392.0,0.0,0.0,57018.0
2007-05-01,,,,,,,0.048,0.0,0.0,0.0,0.0,118.0,13806.859,79179.0,129436.0,0.0,0.0,60796.0
2007-06-01,,,,,,,0.309,0.0,6.0,0.0,0.0,754.0,19005.61,108992.0,178172.0,0.0,0.0,83688.0
2007-07-01,,,,,,,0.502,6.0,6.0,0.0,0.0,1221.0,25076.344,143806.0,235083.0,0.0,0.0,110419.0
2007-08-01,,,,,,,0.7180000000000001,6.0,6.0,0.0,0.0,1745.0,27376.339,156996.0,256646.0,0.0,0.0,120547.0
2007-09-01,,,,,,,0.271,0.0,0.0,0.0,0.0,658.0,19828.424,113711.0,185886.0,0.0,0.0,87311.0
