measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,0.52,41688.0,41688.0,1336.5230000000001,13687.33,13687.33,0.0,0.0,0.0
2003-02-01,0.48700000000000004,39027.0,39027.0,1251.202,12813.56,12813.56,0.0,0.0,0.0
2003-03-01,0.47,37703.0,37703.0,1208.769,12379.0,12379.0,0.0,0.0,0.0
2003-04-01,0.45,36100.0,36100.0,1157.39,11852.83,11852.83,0.0,0.0,0.0
2003-05-01,0.457,36626.0,36626.0,1174.241,12025.4,12025.4,0.0,0.0,0.0
2003-06-01,0.47700000000000004,38220.0,38220.0,1225.34,12548.71,12548.71,0.0,0.0,0.0
2003-07-01,0.55,44075.0,44075.0,1413.047,14471.01,14471.01,0.0,0.0,0.0
2003-08-01,0.557,44686.0,44686.0,1432.65,14671.77,14671.77,0.0,0.0,0.0
2003-09-01,0.48300000000000004,38722.0,38722.0,1241.423,12713.41,12713.41,0.0,0.0,0.0
2003-10-01,0.501,40150.0,40150.0,1287.226,13182.48,13182.48,0.0,0.0,0.0
2003-11-01,0.514,41209.0,41209.0,1321.185,13530.26,13530.26,0.0,0.0,0.0
2003-12-01,0.536,43013.0,43013.0,1379.0030000000002,14122.37,14122.37,0.0,0.0,0.0
