measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,121801.0,1229477.0,1229477.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,165720.62,1727919.0,1727919.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,181649.0,1835292.0,1835292.0,,,,,,
2003-04-01,66565.0,678677.0,678677.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,83362.0,867678.0,867678.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,60971.0,665640.0,665640.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,185138.0,1949854.0,1949854.0,0.0,0.0,0.0,,,
2003-08-01,140372.0,1481078.0,1481078.0,,,,,,
2003-09-01,73419.0,822998.0,822998.0,,,,,,
2003-10-01,71246.0,813258.0,813258.0,,,,,,
2003-11-01,7115.0,81702.0,81702.0,,,,,,
2003-12-01,111326.0,1173895.0,1173895.0,,,,,,
2004-01-01,104282.0,1176746.0,1176746.0,,,,,,
2004-02-01,18803.0,227359.0,227359.0,,,,,,
2004-03-01,49621.0,566424.0,566424.0,,,,,,
2004-04-01,14434.0,183131.0,183131.0,,,,,,
2004-05-01,22259.0,264572.0,264572.0,,,,,,
2004-06-01,9100.0,106995.0,106995.0,,,,,,
2004-07-01,70734.0,827581.0,827581.0,,,,,,
2004-08-01,27028.0,317159.0,317159.0,,,,,,
2004-09-01,60757.0,762511.0,762511.0,,,,,,
2004-10-01,54512.0,611209.0,611209.0,,,,,,
2004-11-01,45594.0,571198.0,571198.0,,,,,,
2004-12-01,13821.0,174639.0,174639.0,,,,,,
2005-01-01,49015.0,515411.76,515411.76,,,,,,
2005-02-01,51997.0,548394.23,548394.23,,,,,,
2005-03-01,19607.0,218303.09,218303.09,,,,,,
2005-04-01,6007.0,72912.24,72912.24,,,,,,
2005-05-01,77396.0,808354.25,808354.25,,,,,,
2005-06-01,41479.0,442718.56,442718.56,,,,,,
2005-07-01,124181.0,1397475.58,1397475.58,,,,,,
2005-08-01,71440.0,802603.32,802603.32,,,,,,
2005-09-01,26335.0,297140.21,297140.21,,,,,,
2005-10-01,31766.0,366213.67,366213.67,,,,,,
2005-11-01,98203.0,1108546.78,1108546.78,,,,,,
2005-12-01,66811.0,764632.31,764632.31,,,,,,
2006-01-01,49957.0,581182.0,581182.0,,,,,,
2006-02-01,15641.0,186192.0,186192.0,,,,,,
2006-03-01,48669.0,559988.0,559988.0,,,,,,
2006-04-01,73186.0,838310.0,838310.0,,,,,,
2006-05-01,67163.0,771529.0,771529.0,,,,,,
2006-06-01,101635.0,1145102.0,1145102.0,,,,,,
2006-07-01,132562.0,1446994.0,1446994.0,,,,,,
2006-08-01,64032.0,741635.0,741635.0,,,,,,
2006-09-01,51809.0,566097.0,566097.0,,,,,,
2006-10-01,0.0,0.0,0.0,,,,,,
2006-11-01,12603.0,134190.0,134190.0,,,,,,
2006-12-01,0.0,0.0,0.0,,,,,,
2007-01-01,10505.0,128859.0,128859.0,,,,,,
2007-02-01,968.0,14285.0,14285.0,,,,,,
2007-03-01,7669.0,97782.0,97782.0,,,,,,
2007-04-01,3046.0,38807.0,38807.0,,,,,,
2007-05-01,13460.0,153738.0,153738.0,,,,,,
2007-06-01,57689.0,664105.0,664105.0,,,,,,
2007-07-01,112138.0,1338048.0,1338048.0,,,,,,
2007-08-01,181735.0,1938075.0,1938075.0,,,,,,
2007-09-01,84069.0,898712.0,898712.0,,,,,,
2007-10-01,49066.0,521868.0,521868.0,,,,,,
2007-11-01,26452.0,305732.0,305732.0,,,,,,
2007-12-01,344.0,4999.0,4999.0,,,,,,
2008-01-01,18569.0,230008.0,230008.0,,,,,,
2008-02-01,14811.0,180128.0,180128.0,,,,,,
2008-03-01,4899.0,60724.0,60724.0,,,,,,
2008-04-01,13453.0,156794.0,156794.0,,,,,,
2008-05-01,36992.0,422680.0,422680.0,,,,,,
2008-06-01,48916.0,522924.0,522924.0,,,,,,
2008-07-01,83056.0,924610.0,924610.0,,,,,,
2008-08-01,58442.0,685498.0,685498.0,,,,,,
2008-09-01,59019.0,667810.0,667810.0,,,,,,
