measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Other-Combined Cycle Combustion Turbine Part Generation,Other-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Other-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Other-Combined Cycle Steam Part Generation,Other-Combined Cycle Steam Part Quantity Consumed For Electricity,Other-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,102164.0,1126995.0,1126995.0,51082.0,0.0,0.0,,,,,,
2003-02-01,93545.0,1044964.0,1044964.0,46772.0,0.0,0.0,,,,,,
2003-03-01,92711.0,1021954.0,1021954.0,46356.0,0.0,0.0,,,,,,
2003-04-01,92711.0,969953.0,969953.0,46356.0,0.0,0.0,,,,,,
2003-05-01,55547.0,651580.0,651580.0,32674.0,0.0,0.0,,,,,,
2003-06-01,86982.0,983953.0,983953.0,49127.0,0.0,0.0,,,,,,
2003-07-01,65619.0,741628.0,741628.0,37480.0,0.0,0.0,,,,,,
2003-08-01,65619.0,735742.0,735742.0,37480.0,0.0,0.0,,,,,,
2003-09-01,65507.0,736976.0,736976.0,35591.0,0.0,0.0,,,,,,
2003-10-01,68165.0,761406.0,761406.0,36980.0,0.0,0.0,,,,,,
2003-11-01,91551.0,1011763.0,1011763.0,49908.0,0.0,0.0,,,,,,
2003-12-01,97316.0,1096943.0,1096943.0,52179.0,0.0,0.0,,,,,,
2004-01-01,95897.0,1090188.0,1090188.0,50427.0,0.0,0.0,,,,,,
2004-02-01,90993.0,1039023.0,1039023.0,49337.0,0.0,0.0,,,,,,
2004-03-01,102352.0,1145635.0,1145635.0,54452.0,0.0,0.0,,,,,,
2004-04-01,96110.0,1090392.0,1090392.0,52088.0,0.0,0.0,,,,,,
2004-05-01,72886.0,823035.0,823035.0,39650.0,0.0,0.0,,,,,,
2004-06-01,95415.0,1069466.0,1069466.0,51735.0,0.0,0.0,,,,,,
