measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed"
2016-12-01,0.0,0.0,0.0
2017-01-01,-11.057,0.0,0.0
2017-02-01,-11.056,0.0,0.0
2017-03-01,-14.155,0.0,0.0
2017-04-01,-13.915,0.0,0.0
2017-05-01,-13.685,0.0,0.0
2017-06-01,-14.131,0.0,0.0
2017-07-01,-13.749,0.0,0.0
2017-08-01,-13.757,0.0,0.0
2017-09-01,-12.774,0.0,0.0
2017-10-01,-10.293,0.0,0.0
2017-11-01,-13.177,0.0,0.0
2017-12-01,-14.251,0.0,0.0
2018-01-01,-25.564,0.0,0.0
2018-02-01,-19.85,0.0,0.0
2018-03-01,-28.884,0.0,0.0
2018-04-01,-33.079,0.0,0.0
2018-05-01,-31.453,0.0,0.0
2018-06-01,-30.912,0.0,0.0
2018-07-01,-31.113,0.0,0.0
2018-08-01,-31.921,0.0,0.0
2018-09-01,-28.991,0.0,0.0
2018-10-01,-29.915,0.0,0.0
2018-11-01,-29.475,0.0,0.0
2018-12-01,-28.843,0.0,0.0
2019-01-01,-46.156,0.0,0.0
2019-02-01,-37.163,0.0,0.0
2019-03-01,-42.154,0.0,0.0
2019-04-01,-39.282,0.0,0.0
2019-05-01,-36.079,0.0,0.0
2019-06-01,-42.563,0.0,0.0
2019-07-01,-43.889,0.0,0.0
2019-08-01,-47.904,0.0,0.0
2019-09-01,-43.071,0.0,0.0
2019-10-01,-46.76,0.0,0.0
2019-11-01,-39.805,0.0,0.0
2019-12-01,-42.174,0.0,0.0
2020-01-01,-22.974,0.0,0.0
2020-02-01,-17.75,0.0,0.0
2020-03-01,-27.238,0.0,0.0
2020-04-01,-24.153,0.0,0.0
2020-05-01,-23.4,0.0,0.0
2020-06-01,-20.782,0.0,0.0
2020-07-01,-24.57,0.0,0.0
2020-08-01,-24.487,0.0,0.0
2020-09-01,-26.473,0.0,0.0
2020-10-01,-28.272,0.0,0.0
2020-11-01,-27.868,0.0,0.0
2020-12-01,-26.033,0.0,0.0
2021-01-01,-22.122,0.0,0.0
2021-02-01,-23.619,0.0,0.0
2021-03-01,-26.572,0.0,0.0
2021-04-01,-25.806,0.0,0.0
2021-05-01,-21.836,0.0,0.0
2021-06-01,-25.198,0.0,0.0
2021-07-01,-25.23,0.0,0.0
2021-08-01,-25.305,0.0,0.0
2021-09-01,-28.112,0.0,0.0
2021-10-01,-24.287,0.0,0.0
2021-11-01,-26.051,0.0,0.0
2021-12-01,-25.862,0.0,0.0
2022-01-01,-16.925,0.0,0.0
2022-02-01,-17.78,0.0,0.0
2022-03-01,-16.457,0.0,0.0
2022-04-01,-17.236,0.0,0.0
2022-05-01,-18.265,0.0,0.0
2022-06-01,-18.45,0.0,0.0
2022-07-01,-19.169,0.0,0.0
2022-08-01,-19.694,0.0,0.0
2022-09-01,-17.658,0.0,0.0
2022-10-01,-19.705,0.0,0.0
2022-11-01,-18.242,0.0,0.0
2022-12-01,-18.419,0.0,0.0
2023-01-01,-1.0,0.0,0.0
2023-02-01,-24.0,0.0,0.0
2023-03-01,-24.0,0.0,0.0
2023-04-01,-16.0,0.0,0.0
2023-05-01,-13.0,0.0,0.0
2023-06-01,-8.0,0.0,0.0
2023-07-01,-15.0,0.0,0.0
2023-08-01,-17.0,0.0,0.0
2023-09-01,-16.0,0.0,0.0
2023-10-01,-16.0,0.0,0.0
2023-11-01,-15.0,0.0,0.0
2023-12-01,-16.0,0.0,0.0
2024-01-01,-16.0,0.0,0.0
2024-02-01,-7.0,0.0,0.0
2024-03-01,-7.0,0.0,0.0
2024-04-01,-7.0,0.0,0.0
2024-05-01,-19.0,0.0,0.0
2024-06-01,-14.0,0.0,0.0
2024-07-01,-12.0,0.0,0.0
2024-08-01,-14.0,0.0,0.0
2024-09-01,-6.0,0.0,0.0
2024-10-01,-7.0,0.0,0.0
2024-11-01,-6.0,0.0,0.0
2024-12-01,-7.0,0.0,0.0
