measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed
2001-01-01,1804.403,36160.0,79403.0
2001-02-01,1551.1760000000002,31085.0,68260.0
2001-03-01,1768.115,35432.0,77807.0
2001-04-01,1703.5330000000001,34138.0,74965.0
2001-05-01,1451.587,29089.0,63878.0
2001-06-01,1738.4080000000001,34837.0,76499.0
2001-07-01,2169.58,43478.0,95473.0
2001-08-01,2698.289,54073.0,118739.0
2001-09-01,2143.827,42962.0,94340.0
2001-10-01,2026.575,40612.0,89180.0
2001-11-01,2113.916,42362.0,93024.0
2001-12-01,2301.683,46125.0,101286.0
