measured_on,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2012-06-01,240.522,1715.0,1715.0,130.724,932.0,932.0
2012-07-01,259.11,1848.0,1848.0,154.606,1103.0,1103.0
2012-08-01,299.626,2137.0,2137.0,203.582,1452.0,1452.0
2012-09-01,294.805,2102.0,2102.0,184.942,1319.0,1319.0
2012-10-01,295.907,2111.0,2111.0,171.135,1221.0,1221.0
2012-11-01,323.601,2308.0,2308.0,147.761,1054.0,1054.0
2012-12-01,324.286,2313.0,2313.0,139.393,994.0,994.0
2013-01-01,310.748,833.0,833.0,343.919,920.0,920.0
2013-02-01,279.951,750.0,750.0,316.804,849.0,849.0
2013-03-01,300.756,806.0,806.0,305.538,819.0,819.0
2013-04-01,272.962,731.0,731.0,262.917,705.0,705.0
2013-05-01,302.774,811.0,811.0,277.661,744.0,744.0
2013-06-01,294.847,790.0,790.0,328.492,880.0,880.0
2013-07-01,303.218,812.0,812.0,416.819,1117.0,1117.0
2013-08-01,335.034,897.0,897.0,425.098,1139.0,1139.0
2013-09-01,305.619,819.0,819.0,424.036,1136.0,1136.0
2013-10-01,333.653,894.0,894.0,367.927,986.0,986.0
2013-11-01,331.776,889.0,889.0,362.912,972.0,972.0
2013-12-01,346.394,928.0,928.0,422.615,1132.0,1132.0
2014-01-01,130.799,1058.0,1058.0,356.758,2887.0,2887.0
2014-02-01,114.158,924.0,924.0,333.148,2696.0,2696.0
2014-03-01,119.303,965.0,965.0,289.1,2340.0,2340.0
2014-04-01,104.771,848.0,848.0,274.894,2225.0,2225.0
2014-05-01,107.952,874.0,874.0,277.186,2243.0,2243.0
2014-06-01,114.5,927.0,927.0,273.257,2211.0,2211.0
2014-07-01,114.531,927.0,927.0,386.627,3129.0,3129.0
2014-08-01,112.254,909.0,909.0,399.095,3230.0,3230.0
2014-09-01,113.146,916.0,916.0,417.462,3378.0,3378.0
2014-10-01,113.714,920.0,920.0,411.821,3333.0,3333.0
2014-11-01,97.64,790.0,790.0,297.623,2409.0,2409.0
2014-12-01,104.095,843.0,843.0,323.746,2620.0,2620.0
2015-01-01,183.286,1074.0,1074.0,97.218,570.0,570.0
2015-02-01,170.496,1000.0,1000.0,71.988,422.0,422.0
2015-03-01,177.695,1042.0,1042.0,84.335,494.0,494.0
2015-04-01,156.909,920.0,920.0,80.93,475.0,475.0
2015-05-01,171.378,1005.0,1005.0,79.009,464.0,464.0
2015-06-01,192.612,1130.0,1130.0,111.1,652.0,652.0
2015-07-01,196.306,1151.0,1151.0,125.307,734.0,734.0
2015-08-01,189.096,1109.0,1109.0,132.176,776.0,776.0
2015-09-01,185.077,1085.0,1085.0,131.262,769.0,769.0
2015-10-01,178.19,1045.0,1045.0,126.445,742.0,742.0
2015-11-01,165.123,968.0,968.0,93.231,547.0,547.0
2015-12-01,188.108,1103.0,1103.0,99.723,585.0,585.0
2016-01-01,0.242,784.0,784.0,0.114,369.0,369.0
2016-02-01,0.229,741.0,741.0,0.091,294.0,294.0
2016-03-01,0.21,682.0,682.0,0.07,228.0,228.0
2016-04-01,0.208,674.0,674.0,0.067,218.0,218.0
2016-05-01,0.244,790.0,790.0,0.073,235.0,235.0
2016-06-01,0.241,779.0,779.0,0.111,358.0,358.0
2016-07-01,0.232,752.0,752.0,0.13,422.0,422.0
2016-08-01,0.225,728.0,728.0,0.144,467.0,467.0
2016-09-01,0.237,769.0,769.0,0.119,387.0,387.0
2016-10-01,0.231,749.0,749.0,0.118,382.0,382.0
2016-11-01,0.236,764.0,764.0,0.091,294.0,294.0
2016-12-01,0.234,758.0,758.0,0.103,332.0,332.0
2017-01-01,0.0,0.0,0.0,723.013,4744.0,4744.0
2017-02-01,0.0,0.0,0.0,551.861,3621.0,3621.0
2017-03-01,0.0,0.0,0.0,457.015,2999.0,2999.0
2017-04-01,0.0,0.0,0.0,408.253,2679.0,2679.0
2017-05-01,0.0,0.0,0.0,506.477,3324.0,3324.0
2017-06-01,0.0,0.0,0.0,666.346,4372.0,4372.0
2017-07-01,0.0,0.0,0.0,908.677,5963.0,5963.0
2017-08-01,0.0,0.0,0.0,1025.77,6731.0,6731.0
2017-09-01,0.0,0.0,0.0,844.017,5538.0,5538.0
2017-10-01,0.0,0.0,0.0,799.341,5246.0,5246.0
2017-11-01,0.0,0.0,0.0,694.689,4559.0,4559.0
2017-12-01,0.0,0.0,0.0,736.481,4833.0,4833.0
2018-01-01,0.0,0.0,0.0,638.829,4504.0,4504.0
2018-02-01,0.0,0.0,0.0,560.907,3955.0,3955.0
2018-03-01,0.0,0.0,0.0,583.363,4114.0,4114.0
2018-04-01,0.0,0.0,0.0,439.03,3096.0,3096.0
2018-05-01,0.0,0.0,0.0,400.772,2826.0,2826.0
2018-06-01,0.0,0.0,0.0,548.239,3866.0,3866.0
2018-07-01,0.0,0.0,0.0,956.675,6745.0,6745.0
2018-08-01,0.0,0.0,0.0,885.01,6241.0,6241.0
2018-09-01,0.0,0.0,0.0,712.257,5022.0,5022.0
2018-10-01,0.0,0.0,0.0,796.141,5614.0,5614.0
2018-11-01,0.0,0.0,0.0,711.719,5018.0,5018.0
2018-12-01,0.0,0.0,0.0,717.058,5056.0,5056.0
2019-01-01,0.0,0.0,0.0,496.237,3827.0,3827.0
2019-02-01,0.0,0.0,0.0,460.116,3548.0,3548.0
2019-03-01,0.0,0.0,0.0,401.244,3094.0,3094.0
2019-04-01,0.0,0.0,0.0,281.552,2171.0,2171.0
2019-05-01,0.0,0.0,0.0,242.617,1872.0,1872.0
2019-06-01,0.0,0.0,0.0,324.422,2502.0,2502.0
2019-07-01,0.0,0.0,0.0,511.421,3944.0,3944.0
2019-08-01,0.0,0.0,0.0,600.725,4633.0,4633.0
2019-09-01,0.0,0.0,0.0,528.594,4077.0,4077.0
2019-10-01,0.0,0.0,0.0,541.394,4176.0,4176.0
2019-11-01,0.0,0.0,0.0,530.966,4095.0,4095.0
2019-12-01,0.0,0.0,0.0,550.712,4247.0,4247.0
2020-01-01,0.0,0.0,0.0,512.479,4117.0,4117.0
2020-02-01,0.0,0.0,0.0,452.568,3635.0,3635.0
2020-03-01,0.0,0.0,0.0,502.38,4035.0,4035.0
2020-04-01,0.0,0.0,0.0,355.283,2853.0,2853.0
2020-05-01,0.0,0.0,0.0,334.063,2683.0,2683.0
2020-06-01,0.0,0.0,0.0,469.93,3774.0,3774.0
2020-07-01,0.0,0.0,0.0,657.382,5280.0,5280.0
2020-08-01,0.0,0.0,0.0,817.5,6566.0,6566.0
2020-09-01,0.0,0.0,0.0,711.915,5718.0,5718.0
2020-10-01,0.0,0.0,0.0,739.342,5938.0,5938.0
2020-11-01,0.0,0.0,0.0,590.56,4743.0,4743.0
2020-12-01,0.0,0.0,0.0,654.598,5257.0,5257.0
2021-01-01,0.0,0.0,0.0,522.194,4066.0,4066.0
2021-02-01,0.0,0.0,0.0,442.837,3447.0,3447.0
2021-03-01,0.0,0.0,0.0,476.136,3706.0,3706.0
2021-04-01,0.0,0.0,0.0,422.492,3289.0,3289.0
2021-05-01,0.0,0.0,0.0,441.558,3437.0,3437.0
2021-06-01,0.0,0.0,0.0,603.805,4700.0,4700.0
2021-07-01,0.0,0.0,0.0,833.24,6486.0,6486.0
2021-08-01,0.0,0.0,0.0,760.776,5923.0,5923.0
2021-09-01,0.0,0.0,0.0,647.331,5039.0,5039.0
2021-10-01,0.0,0.0,0.0,617.105,4804.0,4804.0
2021-11-01,0.0,0.0,0.0,567.15,4415.0,4415.0
2021-12-01,0.0,0.0,0.0,585.376,4557.0,4557.0
2022-01-01,0.0,0.0,0.0,472.855,3733.0,3733.0
2022-02-01,0.0,0.0,0.0,392.597,3099.0,3099.0
2022-03-01,0.0,0.0,0.0,363.256,2868.0,2868.0
2022-04-01,0.0,0.0,0.0,372.096,2938.0,2938.0
2022-05-01,0.0,0.0,0.0,341.461,2696.0,2696.0
2022-06-01,0.0,0.0,0.0,464.41,3666.0,3666.0
2022-07-01,0.0,0.0,0.0,620.405,4898.0,4898.0
2022-08-01,0.0,0.0,0.0,748.601,5909.0,5909.0
2022-09-01,0.0,0.0,0.0,686.091,5416.0,5416.0
2022-10-01,0.0,0.0,0.0,630.069,4974.0,4974.0
2022-11-01,0.0,0.0,0.0,578.61,4568.0,4568.0
2022-12-01,0.0,0.0,0.0,639.549,5049.0,5049.0
