measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2021-05-01,-1.124,0.0,0.0,130.009,1150.0,1150.0
2021-06-01,-1.09,0.0,0.0,134.775,1192.0,1192.0
2021-07-01,-1.15,0.0,0.0,106.059,938.0,938.0
2021-08-01,-1.101,0.0,0.0,106.907,945.0,945.0
2021-09-01,-1.088,0.0,0.0,99.354,879.0,879.0
2021-10-01,-1.16,0.0,0.0,73.425,649.0,649.0
2021-11-01,-1.073,0.0,0.0,72.618,642.0,642.0
2021-12-01,-1.214,0.0,0.0,38.853,344.0,344.0
2022-01-01,-4.914,0.0,0.0,731.451,2496.0,2496.0
2022-02-01,-4.078,0.0,0.0,481.361,1642.0,1642.0
2022-03-01,-4.217,0.0,0.0,718.399,2451.0,2451.0
2022-04-01,-5.048,0.0,0.0,877.74,2995.0,2995.0
2022-05-01,-5.049,0.0,0.0,987.913,3371.0,3371.0
2022-06-01,-5.13,0.0,0.0,993.68,3390.0,3390.0
2022-07-01,-4.913,0.0,0.0,1096.872,3743.0,3743.0
2022-08-01,-4.814,0.0,0.0,967.578,3301.0,3301.0
2022-09-01,-4.907,0.0,0.0,802.167,2737.0,2737.0
2022-10-01,-5.061,0.0,0.0,635.846,2170.0,2170.0
2022-11-01,-4.881,0.0,0.0,524.459,1789.0,1789.0
2022-12-01,-4.988,0.0,0.0,340.534,1162.0,1162.0
2023-01-01,-4.0,0.0,0.0,243.0,829.0,829.0
2023-02-01,-4.0,0.0,0.0,406.0,1385.0,1385.0
2023-03-01,-8.0,0.0,0.0,824.0,2811.0,2811.0
2023-04-01,-6.0,0.0,0.0,842.0,2873.0,2873.0
2023-05-01,-8.0,0.0,0.0,1044.0,3562.0,3562.0
2023-06-01,-3.0,0.0,0.0,941.0,3211.0,3211.0
2023-07-01,-8.0,0.0,0.0,947.0,3231.0,3231.0
2023-08-01,-8.0,0.0,0.0,966.0,3296.0,3296.0
2023-09-01,-1.0,0.0,0.0,791.0,2699.0,2699.0
2023-10-01,-2.0,0.0,0.0,599.0,2044.0,2044.0
2023-11-01,-11.0,0.0,0.0,434.0,1481.0,1481.0
2023-12-01,0.0,0.0,0.0,321.0,1095.0,1095.0
2024-01-01,-3.0,0.0,0.0,165.0,563.0,563.0
2024-02-01,0.0,0.0,0.0,669.0,2283.0,2283.0
2024-03-01,-3.0,0.0,0.0,388.0,1324.0,1324.0
2024-04-01,-1.0,0.0,0.0,807.0,2753.0,2753.0
2024-05-01,-3.0,0.0,0.0,937.0,3197.0,3197.0
2024-06-01,-1.0,0.0,0.0,970.0,3310.0,3310.0
2024-07-01,-3.0,0.0,0.0,804.0,2743.0,2743.0
2024-08-01,-5.0,0.0,0.0,594.0,2027.0,2027.0
2024-09-01,-1.0,0.0,0.0,833.0,2842.0,2842.0
2024-10-01,-2.0,0.0,0.0,792.0,2702.0,2702.0
2024-11-01,0.0,0.0,0.0,582.0,1986.0,1986.0
2024-12-01,-2.0,0.0,0.0,345.0,1177.0,1177.0
