measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Jet Fuel Generation,Jet Fuel Quantity Consumed For Electricity,Jet Fuel Total Fuel Consumed
2001-01-01,164.02100000000002,1810.0,1810.0,,,
2001-02-01,140.517,1551.0,1551.0,,,
2001-03-01,152.615,1684.0,1684.0,,,
2001-04-01,133.799,1477.0,1477.0,,,
2001-05-01,131.216,1448.0,1448.0,,,
2001-06-01,132.62900000000002,1464.0,1464.0,,,
2001-07-01,139.437,1539.0,1539.0,,,
2001-08-01,138.61,1530.0,1530.0,,,
2001-09-01,163.727,1807.0,1807.0,,,
2001-10-01,157.20600000000002,1735.0,1735.0,,,
2001-11-01,162.817,1797.0,1797.0,,,
2001-12-01,184.406,2035.0,2035.0,,,
2009-01-01,,,,270.161,2581.0,2581.0
2009-02-01,,,,198.27800000000002,1885.0,1885.0
2009-03-01,,,,205.945,1958.0,1958.0
2009-04-01,,,,211.604,2014.0,2014.0
2009-05-01,,,,126.861,1206.0,1206.0
2009-06-01,,,,124.578,1184.0,1184.0
2009-07-01,,,,140.45,1335.0,1335.0
2009-08-01,,,,139.722,1330.0,1330.0
2009-09-01,,,,93.07300000000001,887.0,887.0
2009-10-01,,,,92.22,875.0,875.0
2009-11-01,,,,175.295,1666.0,1666.0
2009-12-01,,,,177.81300000000002,1695.0,1695.0
2010-01-01,,,,232.461,2250.0,2250.0
2010-02-01,,,,184.69400000000002,1778.0,1778.0
2010-03-01,,,,163.475,1576.0,1576.0
2010-04-01,,,,144.731,1397.0,1397.0
2010-05-01,,,,120.351,1161.0,1161.0
2010-06-01,,,,94.473,909.0,909.0
2010-07-01,,,,108.39,1043.0,1043.0
2010-08-01,,,,110.507,1066.0,1066.0
2010-09-01,,,,101.185,976.0,976.0
2010-10-01,,,,121.29100000000001,1167.0,1167.0
2010-11-01,,,,138.15,1330.0,1330.0
2010-12-01,,,,251.292,2424.0,2424.0
2011-01-01,,,,253.554,1935.0,1935.0
2011-02-01,,,,226.434,1722.0,1722.0
2011-03-01,,,,198.241,1509.0,1509.0
2011-04-01,,,,128.442,976.0,976.0
2011-05-01,,,,134.619,1027.0,1027.0
2011-06-01,,,,125.071,954.0,954.0
2011-07-01,,,,132.169,1004.0,1004.0
2011-08-01,,,,119.293,909.0,909.0
2011-09-01,,,,132.203,1004.0,1004.0
2011-10-01,,,,233.721,1778.0,1778.0
2011-11-01,,,,216.391,1649.0,1649.0
2011-12-01,,,,213.862,1627.0,1627.0
2012-01-01,,,,237.508,2076.0,2076.0
2012-02-01,,,,140.081,1229.0,1229.0
2012-03-01,,,,212.459,1863.0,1863.0
2012-04-01,,,,134.526,1178.0,1178.0
2012-05-01,,,,168.34,1475.0,1475.0
2012-06-01,,,,137.371,1201.0,1201.0
2012-07-01,,,,214.79,1879.0,1879.0
2012-08-01,,,,200.143,1750.0,1750.0
2012-09-01,,,,186.326,1633.0,1633.0
2012-10-01,,,,138.4,1212.0,1212.0
2012-11-01,,,,148.433,1302.0,1302.0
2012-12-01,,,,228.623,2003.0,2003.0
2013-01-01,,,,210.664,2093.0,2093.0
2013-02-01,,,,145.351,1436.0,1436.0
2013-03-01,,,,147.022,1453.0,1453.0
2013-04-01,,,,169.584,1677.0,1677.0
2013-05-01,,,,170.91,1694.0,1694.0
2013-06-01,,,,122.737,1217.0,1217.0
2013-07-01,,,,116.214,1150.0,1150.0
2013-08-01,,,,114.663,1133.0,1133.0
2013-09-01,,,,134.569,1330.0,1330.0
2013-10-01,,,,129.492,1279.0,1279.0
2013-11-01,,,,168.783,1672.0,1672.0
2013-12-01,,,,191.011,1891.0,1891.0
2014-01-01,,,,197.069,1913.0,1913.0
2014-02-01,,,,186.981,1806.0,1806.0
2014-03-01,,,,182.528,1762.0,1762.0
2014-04-01,,,,171.497,1655.0,1655.0
2014-05-01,,,,144.802,1397.0,1397.0
2014-06-01,,,,86.309,836.0,836.0
2014-07-01,,,,152.585,1475.0,1475.0
2014-08-01,,,,122.765,1184.0,1184.0
2014-09-01,,,,144.438,1397.0,1397.0
2014-10-01,,,,190.934,1846.0,1846.0
2014-11-01,,,,139.559,1346.0,1346.0
2014-12-01,,,,181.533,1756.0,1756.0
2015-01-01,,,,195.73,1885.0,1885.0
2015-02-01,,,,172.618,1655.0,1655.0
2015-03-01,,,,173.649,1666.0,1666.0
2015-04-01,,,,179.838,1722.0,1722.0
2015-05-01,,,,144.529,1386.0,1386.0
2015-06-01,,,,143.991,1380.0,1380.0
2015-07-01,,,,149.633,1436.0,1436.0
2015-08-01,,,,169.881,1627.0,1627.0
2015-09-01,,,,152.998,1464.0,1464.0
2015-10-01,,,,175.04,1677.0,1677.0
2015-11-01,,,,122.391,1172.0,1172.0
2015-12-01,0.0,0.0,0.0,117.702,1128.0,1128.0
2016-01-01,0.0,0.0,0.0,186.651,1666.0,1666.0
2016-02-01,0.0,0.0,0.0,207.135,1846.0,1846.0
2016-03-01,0.0,0.0,0.0,196.022,1750.0,1750.0
2016-04-01,0.0,0.0,0.0,160.53,1431.0,1431.0
2016-05-01,0.0,0.0,0.0,146.433,1307.0,1307.0
2016-06-01,0.0,0.0,0.0,147.295,1313.0,1313.0
2016-07-01,0.0,0.0,0.0,123.219,1100.0,1100.0
2016-08-01,0.0,0.0,0.0,161.489,1442.0,1442.0
2016-09-01,0.0,0.0,0.0,164.547,1470.0,1470.0
2016-10-01,0.0,0.0,0.0,188.955,1689.0,1689.0
2016-11-01,0.0,0.0,0.0,263.673,2351.0,2351.0
2016-12-01,0.0,0.0,0.0,356.051,3175.0,3175.0
2017-01-01,0.0,0.0,0.0,210.775,1902.0,1902.0
2017-02-01,0.0,0.0,0.0,170.188,1537.0,1537.0
2017-03-01,0.0,0.0,0.0,195.957,1773.0,1773.0
2017-04-01,0.0,0.0,0.0,180.67,1633.0,1633.0
2017-05-01,0.0,0.0,0.0,180.475,1633.0,1633.0
2017-06-01,0.0,0.0,0.0,190.355,1722.0,1722.0
2017-07-01,0.0,0.0,0.0,193.981,1756.0,1756.0
2017-08-01,0.0,0.0,0.0,200.371,1812.0,1812.0
2017-09-01,0.0,0.0,0.0,199.301,1801.0,1801.0
2017-10-01,0.0,0.0,0.0,203.415,1840.0,1840.0
2017-11-01,0.0,0.0,0.0,180.167,1627.0,1627.0
2017-12-01,0.0,0.0,0.0,183.345,1655.0,1655.0
2018-01-01,0.0,0.0,0.0,167.858,1565.0,1565.0
2018-02-01,0.0,0.0,0.0,156.551,1459.0,1459.0
2018-03-01,0.0,0.0,0.0,156.574,1459.0,1459.0
2018-04-01,0.0,0.0,0.0,158.157,1475.0,1475.0
2018-05-01,0.0,0.0,0.0,180.965,1689.0,1689.0
2018-06-01,0.0,0.0,0.0,168.951,1576.0,1576.0
2018-07-01,0.0,0.0,0.0,182.052,1694.0,1694.0
2018-08-01,0.0,0.0,0.0,185.907,1733.0,1733.0
2018-09-01,0.0,0.0,0.0,189.24,1762.0,1762.0
2018-10-01,0.0,0.0,0.0,198.699,1851.0,1851.0
2018-11-01,0.0,0.0,0.0,178.781,1666.0,1666.0
2018-12-01,0.0,0.0,0.0,171.265,1599.0,1599.0
2019-01-01,0.0,0.0,0.0,161.339,1553.0,1571.0
2019-02-01,0.0,0.0,0.0,179.329,1726.0,1756.0
2019-03-01,0.0,0.0,0.0,177.718,1710.0,1739.0
2019-04-01,0.0,0.0,0.0,163.321,1572.0,1599.0
2019-05-01,0.0,0.0,0.0,177.746,1711.0,1739.0
2019-06-01,0.0,0.0,0.0,152.729,1470.0,1492.0
2019-07-01,0.0,0.0,0.0,173.962,1674.0,1700.0
2019-08-01,0.0,0.0,0.0,192.611,1854.0,1885.0
2019-09-01,0.0,0.0,0.0,228.711,2201.0,2238.0
2019-10-01,0.0,0.0,0.0,240.372,2313.0,2351.0
