measured_on,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed
2021-12-01,380.0,21255.0,21255.0
2022-01-01,3959.67,25955.0,25955.0
2022-02-01,3639.357,23855.0,23855.0
2022-03-01,3985.912,26127.0,26127.0
2022-04-01,4364.181,28606.0,28606.0
2022-05-01,5117.471,33544.0,33544.0
2022-06-01,5361.905,35146.0,35146.0
2022-07-01,7237.392,47440.0,47440.0
2022-08-01,7209.195,47255.0,47255.0
2022-09-01,4890.896,32059.0,32059.0
2022-10-01,4598.226,30141.0,30141.0
2022-11-01,4251.539,27869.0,27869.0
2022-12-01,4538.256,29747.0,29747.0
2023-01-01,5134.0,38690.0,38690.0
2023-02-01,4039.0,31182.0,31182.0
2023-03-01,5404.0,40675.0,40675.0
2023-04-01,5015.0,38485.0,38485.0
2023-05-01,5369.0,40837.0,40837.0
2023-06-01,5119.0,39187.0,39187.0
2023-07-01,4634.0,36620.0,36620.0
2023-08-01,5026.0,38795.0,38795.0
2023-09-01,4942.0,38425.0,38425.0
2023-10-01,4839.0,37827.0,37827.0
2023-11-01,4884.0,37572.0,37572.0
2023-12-01,3043.0,25451.0,25451.0
2024-01-01,5298.0,43113.0,43113.0
2024-02-01,4978.0,40332.0,40332.0
2024-03-01,4502.0,43113.0,43113.0
2024-04-01,4908.0,41722.0,41722.0
2024-05-01,5272.0,43113.0,43113.0
2024-06-01,4603.0,41722.0,41722.0
2024-07-01,3813.0,40302.0,40302.0
2024-08-01,5041.0,40302.0,40302.0
2024-09-01,5067.0,40397.0,40397.0
2024-10-01,5167.0,37970.0,37970.0
2024-11-01,2333.0,27444.0,27444.0
2024-12-01,4637.0,38770.0,38770.0
