measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Residual Fuel Oil-Combined Cycle Steam Part Generation,Residual Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Residual Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,9042.0,91646.0,91646.0,,,,77415.0,849660.0,849660.0,0.0,0.0,0.0,,,,,,
2003-02-01,0.0,0.0,0.0,,,,80113.0,810562.0,810562.0,0.0,0.0,0.0,,,,,,
2003-03-01,0.0,0.0,0.0,,,,30196.0,293944.0,293944.0,0.0,0.0,0.0,,,,,,
2003-04-01,0.0,0.0,0.0,,,,73358.0,835225.0,835225.0,0.0,0.0,0.0,,,,,,
2003-05-01,0.0,0.0,0.0,,,,138461.0,1447258.0,1447258.0,0.0,0.0,0.0,,,,,,
2003-06-01,0.0,0.0,0.0,,,,145853.0,1421704.0,1421704.0,0.0,0.0,0.0,,,,,,
2003-07-01,0.0,0.0,0.0,,,,175752.0,1761954.0,1761954.0,0.0,0.0,0.0,,,,,,
2003-08-01,0.0,0.0,0.0,,,,162331.0,1578261.0,1578261.0,0.0,0.0,0.0,,,,,,
2003-09-01,0.0,0.0,0.0,,,,119951.0,1138755.0,1138755.0,0.0,0.0,0.0,,,,,,
2003-10-01,0.0,0.0,0.0,,,,124491.0,1250424.0,1250424.0,0.0,0.0,0.0,,,,,,
2003-11-01,0.0,0.0,0.0,,,,77452.0,685507.0,685507.0,0.0,0.0,0.0,,,,,,
2003-12-01,0.0,0.0,0.0,,,,23646.0,332880.0,332880.0,0.0,0.0,0.0,,,,,,
2004-01-01,379.0,4386.0,4386.0,,,,25811.0,318880.0,318880.0,0.0,0.0,0.0,,,,,,
2004-02-01,87.0,1057.0,1057.0,,,,10514.0,147685.0,147685.0,0.0,0.0,0.0,,,,,,
2004-03-01,0.0,0.0,0.0,,,,18453.0,252877.0,252877.0,0.0,0.0,0.0,,,,,,
2004-04-01,25.0,349.0,349.0,,,,63862.0,701404.0,701404.0,0.0,0.0,0.0,,,,,,
2004-05-01,73.0,749.0,749.0,,,,93942.0,990981.0,990981.0,0.0,0.0,0.0,,,,,,
2004-06-01,0.0,0.0,0.0,,,,126989.0,1253680.0,1253680.0,0.0,0.0,0.0,,,,,,
2004-07-01,1.0,12.0,12.0,,,,123330.0,1274839.0,1274839.0,0.0,0.0,0.0,,,,,,
2004-08-01,0.0,0.0,0.0,,,,117102.0,1182422.0,1182422.0,0.0,0.0,0.0,,,,,,
2004-09-01,383.0,4002.0,4002.0,,,,124457.0,1254797.0,1254797.0,0.0,0.0,0.0,,,,,,
2004-10-01,0.0,0.0,0.0,,,,96864.0,994187.0,994187.0,0.0,0.0,0.0,,,,,,
2004-11-01,0.0,0.0,0.0,,,,47480.0,468338.0,468338.0,0.0,0.0,0.0,,,,,,
2004-12-01,432.0,4891.0,4891.0,,,,43670.0,514085.0,514085.0,0.0,0.0,0.0,,,,,,
2005-01-01,0.0,0.0,0.0,,,,26922.0,303202.22,303202.22,0.0,0.0,0.0,,,,,,
2005-02-01,0.0,0.0,0.0,,,,18148.0,247080.39,247080.39,0.0,0.0,0.0,,,,,,
2005-03-01,0.0,0.0,0.0,,,,39901.0,494263.46,494263.46,0.0,0.0,0.0,,,,,,
2005-04-01,0.0,0.0,0.0,,,,35659.0,391943.96,391943.96,0.0,0.0,0.0,,,,,,
2005-05-01,0.0,0.0,0.0,,,,68769.0,718789.49,718789.49,0.0,0.0,0.0,,,,,,
2005-06-01,0.0,0.0,0.0,,,,56383.0,595455.06,595455.06,0.0,0.0,0.0,,,,,,
2005-07-01,113.0,1068.86,1068.86,,,,145289.0,1494662.0,1494662.0,0.0,0.0,0.0,,,,,,
2005-08-01,176.0,1800.79,1800.79,,,,129772.0,1271176.67,1271176.67,0.0,0.0,0.0,,,,,,
2005-09-01,5432.0,55202.93,55202.93,,,,62006.0,692257.97,692257.97,0.0,0.0,0.0,,,,,,
2005-10-01,0.0,0.0,0.0,,,,74083.0,706946.59,706946.59,0.0,0.0,0.0,,,,,,
2005-11-01,0.0,0.0,0.0,,,,33333.0,321163.84,321163.84,0.0,0.0,0.0,,,,,,
2005-12-01,0.0,0.0,0.0,,,,19208.0,298924.34,298924.34,0.0,0.0,0.0,,,,,,
2006-01-01,27.0,325.0,325.0,,,,16693.0,202458.0,202458.0,0.0,0.0,0.0,,,,,,
2006-02-01,0.0,0.0,0.0,,,,24629.0,336165.0,336165.0,0.0,0.0,0.0,,,,,,
2006-03-01,0.0,0.0,0.0,,,,62965.0,675436.0,675436.0,0.0,0.0,0.0,,,,,,
2006-04-01,0.0,0.0,0.0,,,,99218.0,977126.0,977126.0,0.0,0.0,0.0,,,,,,
2006-05-01,0.0,0.0,0.0,,,,67065.0,762532.0,762532.0,0.0,0.0,0.0,,,,,,
2006-06-01,112.0,1051.0,1051.0,,,,124462.0,1194788.0,1194788.0,0.0,0.0,0.0,,,,,,
2006-07-01,0.0,0.0,0.0,,,,120728.0,1278524.0,1278524.0,0.0,0.0,0.0,,,,,,
2006-08-01,0.0,0.0,0.0,,,,132787.0,1275695.0,1275695.0,0.0,0.0,0.0,,,,,,
2006-09-01,0.0,0.0,0.0,,,,146345.0,1411820.0,1411820.0,0.0,0.0,0.0,,,,,,
2006-10-01,0.0,0.0,0.0,,,,88561.0,838687.0,838687.0,0.0,0.0,0.0,,,,,,
2006-11-01,0.0,0.0,0.0,,,,34347.0,398387.0,398387.0,0.0,0.0,0.0,,,,,,
2006-12-01,0.0,0.0,0.0,,,,51981.0,630338.0,630338.0,0.0,0.0,0.0,,,,,,
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,58625.0,563111.0,563111.0,0.0,0.0,0.0,,,,,,
2007-02-01,1.9740000000000002,29.0,29.0,0.0,0.0,0.0,23822.026,350516.0,350516.0,0.0,0.0,0.0,,,,,,
2007-03-01,195.911,1801.0,1801.0,0.0,0.0,0.0,42267.089,388513.0,388513.0,0.0,0.0,0.0,,,,,,
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,59755.0,700700.0,700700.0,0.0,0.0,0.0,,,,,,
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,52466.0,504193.0,504193.0,0.0,0.0,0.0,,,,,,
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,65793.0,719262.0,719262.0,0.0,0.0,0.0,,,,,,
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,124916.0,1300302.0,1300302.0,0.0,0.0,0.0,,,,,,
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,139284.0,1383948.0,1383948.0,0.0,0.0,0.0,,,,,,
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,100411.0,884526.0,884526.0,0.0,0.0,0.0,,,,,,
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,101052.0,1066902.0,1066902.0,0.0,0.0,0.0,,,,,,
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,66436.0,688286.0,688286.0,0.0,0.0,0.0,,,,,,
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,72615.0,773572.0,773572.0,0.0,0.0,0.0,,,,,,
2008-01-01,154.6,1685.0,1685.0,0.0,0.0,0.0,55434.4,604044.0,604044.0,0.0,0.0,0.0,,,,,,
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,56255.0,590738.0,590738.0,0.0,0.0,0.0,,,,,,
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,13796.0,271175.0,271175.0,0.0,0.0,0.0,,,,,,
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,141090.0,1383472.0,1383472.0,0.0,0.0,0.0,,,,,,
2008-05-01,0.5860000000000001,6.0,6.0,0.0,0.0,0.0,157322.414,1560634.0,1560634.0,0.0,0.0,0.0,,,,,,
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,176741.0,1681929.0,1681929.0,0.0,0.0,0.0,,,,,,
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,174198.0,1682906.0,1682906.0,0.0,0.0,0.0,,,,,,
