measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,,,
2003-02-01,0.0,0.0,0.0,,,
2003-03-01,0.0,0.0,0.0,,,
2003-04-01,88.0,1316.0,1316.0,,,
2003-05-01,0.0,0.0,0.0,,,
2003-06-01,611.0,10504.0,10504.0,,,
2003-07-01,0.0,0.0,0.0,,,
2003-08-01,610.0,9845.0,9845.0,,,
2003-09-01,46.0,476.0,476.0,,,
2003-10-01,0.0,0.0,0.0,,,
2003-11-01,29.0,391.0,391.0,,,
2003-12-01,0.0,0.0,0.0,,,
2004-01-01,674.644,11505.0,11505.0,,,
2004-02-01,187.859,3204.0,3204.0,,,
2004-03-01,309.183,5273.0,5273.0,,,
2004-04-01,69.137,1179.0,1179.0,,,
2004-05-01,202.235,3449.0,3449.0,,,
2004-06-01,104.39200000000001,1780.0,1780.0,,,
2004-07-01,120.037,2047.0,2047.0,,,
2004-08-01,138.417,2360.0,2360.0,,,
2004-09-01,89.785,1531.0,1531.0,,,
2004-10-01,143.606,2449.0,2449.0,,,
2004-11-01,61.422000000000004,1047.0,1047.0,,,
2004-12-01,175.28300000000002,2989.0,2989.0,,,
2005-01-01,,,,391.454,7246.49,7246.49
2005-02-01,,,,134.491,2489.66,2489.66
2005-03-01,,,,149.066,2759.48,2759.48
2005-04-01,,,,180.562,3342.52,3342.52
2005-05-01,,,,167.696,3104.35,3104.35
2005-06-01,,,,217.65300000000002,4029.14,4029.14
2005-07-01,,,,221.544,4101.17,4101.17
2005-08-01,,,,260.261,4817.88,4817.88
2005-09-01,,,,170.369,3153.83,3153.83
2005-10-01,,,,189.198,3502.37,3502.37
2005-11-01,,,,152.098,2815.6,2815.6
2005-12-01,,,,321.608,5953.52,5953.52
2006-01-01,216.95,3754.0,3754.0,,,
2006-02-01,113.52300000000001,1964.0,1964.0,,,
2006-03-01,95.36,1650.0,1650.0,,,
2006-04-01,182.667,3161.0,3161.0,,,
2006-05-01,170.747,2955.0,2955.0,,,
2006-06-01,155.198,2686.0,2686.0,,,
2006-07-01,224.80700000000002,3890.0,3890.0,,,
2006-08-01,218.062,3774.0,3774.0,,,
2006-09-01,100.18100000000001,1734.0,1734.0,,,
2006-10-01,105.824,1831.0,1831.0,,,
2006-11-01,124.611,2156.0,2156.0,,,
2006-12-01,138.07,2389.0,2389.0,,,
2007-01-01,0.0,0.0,0.0,246.339,4230.0,4230.0
2007-02-01,0.0,0.0,0.0,419.617,7205.0,7205.0
2007-03-01,0.0,0.0,0.0,202.526,3475.0,3475.0
2007-04-01,0.0,0.0,0.0,146.24,2510.0,2510.0
2007-05-01,0.0,0.0,0.0,73.14200000000001,1255.0,1255.0
2007-06-01,0.0,0.0,0.0,97.477,1675.0,1675.0
2007-07-01,0.0,0.0,0.0,99.307,1703.0,1703.0
2007-08-01,0.0,0.0,0.0,100.134,1720.0,1720.0
2007-09-01,0.0,0.0,0.0,67.096,1153.0,1153.0
2007-10-01,0.0,0.0,0.0,38.201,659.0,659.0
2007-11-01,0.0,0.0,0.0,23.326,403.0,403.0
2007-12-01,0.0,0.0,0.0,88.595,1522.0,1522.0
2008-01-01,0.0,0.0,0.0,199.821,3478.0,3478.0
2008-02-01,0.0,0.0,0.0,127.72800000000001,2225.0,2225.0
2008-03-01,0.0,0.0,0.0,39.734,694.0,694.0
2008-04-01,0.0,0.0,0.0,16.863,294.0,294.0
2008-05-01,0.0,0.0,0.0,23.855,418.0,418.0
