measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed
2001-01-01,63697.0,697492.0,742492.0,,,,,,
2001-02-01,59875.0,681133.0,737383.0,,,,,,
2001-03-01,0.0,0.0,0.0,,,,,,
2001-04-01,71982.0,790153.0,852653.0,,,,,,
2001-05-01,59467.0,610891.0,692141.0,,,,,,
2001-06-01,72053.0,772203.0,834703.0,,,,,,
2001-07-01,74479.0,818628.0,881128.0,,,,,,
2001-08-01,71738.0,806193.0,887443.0,,,,,,
2001-09-01,64825.0,663760.0,757510.0,,,,,,
2001-10-01,37101.0,514116.0,732866.0,,,,,,
2001-11-01,27293.0,308433.0,364683.0,,,,,,
2001-12-01,74025.0,711894.0,868144.0,,,,,,
2002-01-01,72993.0,799265.0,799670.0,4.0,43.0,45.0,,,
2002-02-01,56512.0,686912.0,687436.0,152.0,1853.0,1855.0,,,
2002-03-01,69939.0,868091.0,868913.0,121.0,1506.0,1507.0,,,
2002-04-01,40470.0,745672.0,746272.0,87.0,1609.0,1610.0,,,
2002-05-01,40072.0,502981.0,503374.0,543.0,6822.0,6827.0,,,
2002-06-01,67193.0,845214.0,846101.0,68.0,855.0,856.0,,,
2002-07-01,63295.0,831920.0,832727.0,170.0,2237.0,2240.0,,,
2002-08-01,66869.0,948954.0,949988.0,102.0,1452.0,1453.0,3554.0,50440.0,50495.0
2002-09-01,63379.0,830483.0,830968.0,2.0,21.0,25.0,8304.0,108811.0,108875.0
2002-10-01,70227.0,886888.0,887378.0,114.0,1433.0,1435.0,2838.0,35840.0,35860.0
2002-11-01,44404.0,558456.0,558706.0,400.0,4294.0,5210.0,2286.0,24541.0,30965.0
2002-12-01,70268.0,907127.0,907739.0,25.0,268.0,323.0,3017.0,38942.0,38968.0
2003-01-01,69863.0,760076.0,760656.0,0.0,0.0,0.0,14989.0,163068.0,163192.0
2003-02-01,63784.0,681840.0,682539.0,8.0,83.0,83.0,13473.0,144022.0,144169.0
2003-03-01,44260.0,432201.0,616139.0,182.0,1781.0,2540.0,13698.0,133763.0,190691.0
2003-04-01,40274.0,398380.0,420305.0,2.0,20.0,21.0,9362.0,92601.0,97698.0
2003-05-01,22236.0,260012.0,271566.0,559.0,6536.0,6826.0,8016.0,93733.0,97898.0
2003-06-01,59281.0,605949.0,642608.0,0.0,0.0,0.0,21933.0,224185.0,237747.0
2003-07-01,62218.0,675664.0,708883.0,72.0,779.0,818.0,21023.0,228299.0,239523.0
2003-08-01,52281.0,544875.0,579085.0,450.0,4694.0,4989.0,22515.0,234655.0,249387.0
2003-09-01,54553.0,574994.0,611039.0,39.0,409.0,434.0,25436.0,268099.0,284905.0
2003-10-01,57099.0,586295.0,621872.0,0.0,0.0,0.0,20166.0,207062.0,219627.0
2003-11-01,54503.0,590702.0,618510.0,232.0,2510.0,2629.0,10292.0,111546.0,116797.0
2003-12-01,57082.0,629138.0,672383.0,231.0,2548.0,2723.0,15215.0,167692.0,179219.0
2004-01-01,72257.774,700327.98,939691.52,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,69559.11219,674172.34,894157.95,21.34481,206.88,274.38,0.0,0.0,0.0
2004-03-01,61943.50597,600361.29,807816.0,199.28882,1931.52,2598.96,1806.46322,17508.38,23558.4
2004-04-01,22046.1514,213673.02,332688.0,297.13479,2879.85,4483.92,6522.370800000001,63215.33,98426.0
2004-05-01,63485.83473,615309.67,769330.9,196.59683,1905.43,2382.39,10065.72744,97557.82,121978.0
2004-06-01,53555.73842,519066.4,676757.1,231.0165,2239.03,2919.24,13240.26409,128325.67,167310.6
2004-07-01,68974.75899,668508.75,876500.0,0.0,0.0,0.0,6843.80701,66330.71,86968.0
2004-08-01,61326.83072,594384.43,759884.8,61.763059999999996,598.61,765.29,14204.30122,137669.2,176001.8
2004-09-01,44485.76693,431159.52,575741.8,457.89893,4437.99,5926.2,16832.43314,163141.26,217848.0
2004-10-01,34540.14165,334765.75,645479.4,267.28341,2590.53,4994.94,11453.10594,111004.4,214033.4
2004-11-01,17501.86341,169629.42,221744.6,54.100429999999996,524.35,685.44,6500.51217,63003.47,82360.0
