measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,12.875,137.0,137.0,48.394000000000005,495.6,495.6,69.943,727.0,727.0
2003-02-01,10.94,116.0,116.0,41.124,421.15,421.15,59.435,618.0,618.0
2003-03-01,12.089,128.0,128.0,45.442,465.37,465.37,65.676,683.0,683.0
2003-04-01,10.485,111.0,111.0,39.413000000000004,403.63,403.63,56.963,592.0,592.0
2003-05-01,9.435,100.0,100.0,35.466,363.21,363.21,51.259,533.0,533.0
2003-06-01,11.283000000000001,120.0,120.0,42.412,434.34,434.34,61.298,637.0,637.0
2003-07-01,13.642000000000001,145.0,145.0,51.28,525.16,525.16,74.114,771.0,771.0
2003-08-01,12.865,137.0,137.0,48.358000000000004,495.23,495.23,69.891,727.0,727.0
2003-09-01,11.956000000000001,127.0,127.0,44.941,460.24,460.24,64.952,675.0,675.0
2003-10-01,11.692,124.0,124.0,43.948,450.07,450.07,63.517,660.0,660.0
2003-11-01,11.144,118.0,118.0,41.888000000000005,428.98,428.98,60.541000000000004,630.0,630.0
2003-12-01,12.593,134.0,134.0,47.334,484.75,484.75,68.411,711.0,711.0
2004-01-01,4.529,114.0,114.0,32.337,324.08,324.08,17.0,440.0,440.0
2004-02-01,4.126,104.0,104.0,21.495,215.42,215.42,17.0,440.0,440.0
2004-03-01,3.8240000000000003,96.0,96.0,78.94800000000001,791.22,791.22,17.0,440.0,440.0
2004-04-01,0.0,0.0,0.0,50.754000000000005,508.66,508.66,17.0,440.0,440.0
2004-05-01,0.0,0.0,0.0,87.21,874.02,874.02,17.0,440.0,440.0
2004-06-01,0.0,0.0,0.0,38.444,385.29,385.29,17.0,440.0,440.0
2004-07-01,8.632,217.0,217.0,15.624,156.58,156.58,17.0,440.0,440.0
2004-08-01,4.1080000000000005,103.0,103.0,11.694,117.2,117.2,17.0,440.0,440.0
2004-09-01,9.781,246.0,246.0,13.588000000000001,136.18,136.18,17.0,440.0,440.0
2004-10-01,0.0,0.0,0.0,14.937000000000001,149.7,149.7,17.0,440.0,440.0
2004-11-01,0.0,0.0,0.0,22.56,226.1,226.1,17.0,440.0,440.0
2004-12-01,0.0,0.0,0.0,40.409,404.98,404.98,17.0,440.0,440.0
2005-01-01,37.981,752.37,752.37,53.837,538.31,538.31,20.126,430.26,430.26
2005-02-01,13.049000000000001,258.49,258.49,46.547000000000004,465.42,465.42,16.101,344.21,344.21
2005-03-01,14.463000000000001,286.5,286.5,50.99,509.85,509.85,22.343,477.65,477.65
2005-04-01,17.519000000000002,347.04,347.04,48.706,487.01,487.01,21.209,453.41,453.41
2005-05-01,16.271,322.31,322.31,44.059000000000005,440.55,440.55,20.281000000000002,433.57,433.57
2005-06-01,21.118000000000002,418.33,418.33,49.628,496.24,496.24,38.284,818.46,818.46
2005-07-01,21.496000000000002,425.81,425.81,53.27,532.65,532.65,50.399,1077.46,1077.46
2005-08-01,25.252000000000002,500.22,500.22,45.073,450.69,450.69,50.067,1070.35,1070.35
2005-09-01,16.53,327.45,327.45,37.295,372.92,372.92,30.312,648.03,648.03
2005-10-01,18.357,363.64,363.64,31.831000000000003,318.28,318.28,21.493000000000002,459.49,459.49
2005-11-01,14.758000000000001,292.33,292.33,34.066,340.62,340.62,18.837,402.71,402.71
2005-12-01,31.205,618.13,618.13,41.697,416.93,416.93,23.548000000000002,503.42,503.42
2006-01-01,5.876,200.0,200.0,66.491,660.0,660.0,9.476,174.0,174.0
2006-02-01,3.075,105.0,105.0,59.955,595.0,595.0,10.712,197.0,197.0
2006-03-01,2.583,88.0,88.0,52.822,524.0,524.0,14.116000000000001,259.0,259.0
2006-04-01,4.948,168.0,168.0,57.495,570.0,570.0,11.681000000000001,214.0,214.0
2006-05-01,4.625,157.0,157.0,67.97800000000001,674.0,674.0,15.387,282.0,282.0
2006-06-01,4.204000000000001,143.0,143.0,66.793,663.0,663.0,19.82,364.0,364.0
2006-07-01,6.089,207.0,207.0,70.041,695.0,695.0,35.468,651.0,651.0
2006-08-01,5.906000000000001,201.0,201.0,69.535,690.0,690.0,31.516000000000002,578.0,578.0
2006-09-01,2.713,92.0,92.0,45.136,448.0,448.0,18.538,340.0,340.0
2006-10-01,2.866,97.0,97.0,39.791000000000004,395.0,395.0,20.081,368.0,368.0
2006-11-01,3.375,115.0,115.0,46.608000000000004,462.0,462.0,13.5,248.0,248.0
2006-12-01,3.74,127.0,127.0,49.355,490.0,490.0,13.704,251.0,251.0
2007-01-01,0.8440000000000001,35.0,35.0,33.642,333.0,333.0,3.611,144.0,144.0
2007-02-01,4.5680000000000005,180.0,180.0,16.085,159.0,159.0,5.798,231.0,231.0
2007-03-01,1.495,58.0,58.0,49.81,492.0,492.0,3.8890000000000002,155.0,155.0
2007-04-01,0.888,35.0,35.0,52.209,516.0,516.0,3.817,152.0,152.0
2007-05-01,2.4090000000000003,99.0,99.0,29.936,296.0,296.0,4.881,195.0,195.0
