measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2012-11-01,,,,,,,,,,5292.0,50359.0,50359.0,,,
2012-12-01,,,,,,,,,,9280.0,88308.0,88308.0,,,
2013-01-01,,,,,,,,,,1397.0,13329.0,13329.0,,,
2013-02-01,,,,,,,,,,7736.0,73809.0,73809.0,,,
2013-03-01,,,,,,,,,,6649.0,63438.0,63438.0,,,
2013-04-01,,,,,,,,,,4752.0,45339.0,45339.0,,,
2013-05-01,,,,,,,,,,4384.0,41828.0,41828.0,,,
2013-06-01,,,,,,,,,,4812.0,45911.0,45911.0,,,
2013-07-01,,,,,,,,,,3967.0,37849.0,37849.0,,,
2013-08-01,,,,,,,,,,7314.0,69783.0,69783.0,,,
2013-09-01,,,,,,,,,,3865.0,36876.0,36876.0,,,
2013-10-01,,,,,,,,,,5815.0,55481.0,55481.0,,,
2013-11-01,,,,,,,,,,6918.0,66005.0,66005.0,,,
2013-12-01,,,,,,,,,,4416.0,42133.0,42133.0,,,
2014-01-01,,,,,,,,,,8868.0,84335.0,84335.0,,,
2014-02-01,,,,,,,,,,6211.0,59067.0,59067.0,,,
2014-03-01,,,,,,,,,,6884.0,65467.0,65467.0,,,
2014-04-01,,,,,,,,,,5100.0,48501.0,48501.0,,,
2014-05-01,,,,,,,,,,4765.0,45315.0,45315.0,,,
2014-06-01,,,,,,,,,,2257.0,21464.0,21464.0,,,
2014-07-01,,,,,,,,,,3729.0,35463.0,35463.0,,,
2014-08-01,,,,,,,,,,5064.0,48159.0,48159.0,,,
2014-09-01,,,,,,,,,,3696.0,35149.0,35149.0,,,
2014-10-01,,,,,,,,,,5652.0,53751.0,53751.0,,,
2014-11-01,,,,,,,,,,5917.0,56271.0,56271.0,,,
2014-12-01,,,,,,,,,,8091.0,76945.0,76945.0,,,
2015-01-01,,,,,,,,,,6072.0,56585.0,56585.0,,,
2015-02-01,,,,,,,,,,5493.0,51189.0,51189.0,,,
2015-03-01,,,,,,,,,,5802.0,54069.0,54069.0,,,
2015-04-01,,,,,,,,,,5949.0,55439.0,55439.0,,,
2015-05-01,,,,,,,,,,5588.0,52075.0,52075.0,,,
2015-06-01,,,,,,,,,,3752.0,34965.0,34965.0,,,
2015-07-01,,,,,,,,,,4407.0,41069.0,41069.0,,,
2015-08-01,,,,,,,,,,1934.0,18023.0,18023.0,,,
2015-09-01,,,,,,,,,,0.0,0.0,0.0,,,
2015-10-01,,,,,,,,,,0.0,0.0,0.0,,,
2015-11-01,,,,,,,,,,0.0,0.0,0.0,,,
2015-12-01,,,,,,,,,,6777.0,63155.0,63155.0,,,
2016-01-01,3356.398,13971.0,367412.0,1761.313,7331.0,192804.0,0.0,0.0,0.0,,,,639.835,2663.0,70040.0
2016-02-01,3524.844,14672.0,380853.0,1155.543,4810.0,124854.0,22.508,94.0,2432.0,,,,805.943,3355.0,87081.0
2016-03-01,3915.14,16297.0,395059.0,1438.575,5988.0,145160.0,29.043,121.0,2931.0,,,,907.601,3778.0,91582.0
2016-04-01,4696.869,19550.0,390590.0,1040.276,4330.0,86509.0,0.0,0.0,0.0,,,,1229.476,5118.0,102243.0
2016-05-01,3520.295,14653.0,339931.0,1419.466,5908.0,137068.0,34.882,145.0,3368.0,,,,1209.526,5035.0,116796.0
2016-06-01,2728.581,11358.0,342448.0,798.533,3324.0,100219.0,30.714,128.0,3855.0,,,,768.948,3201.0,96506.0
2016-07-01,569.217,2369.0,108360.0,685.908,2855.0,130575.0,21.91,91.0,4171.0,,,,374.499,1559.0,71292.0
2016-08-01,3448.034,14352.0,327588.0,1404.618,5847.0,133449.0,37.245,155.0,3539.0,,,,963.592,4011.0,91548.0
2016-09-01,3774.002,15709.0,392120.0,1372.769,5714.0,142631.0,0.0,0.0,0.0,,,,242.836,1011.0,25231.0
2016-10-01,1707.26,7106.0,354736.0,861.477,3586.0,178998.0,0.0,0.0,0.0,,,,58.068,242.0,12065.0
2016-11-01,2764.936,11509.0,347993.0,1799.37,7490.0,226468.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-12-01,4203.8,17498.0,362210.0,2256.09,9391.0,194391.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-01-01,3107.61,12935.0,251599.0,3593.536,14958.0,290941.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-02-01,870.212,3622.0,112231.0,1696.046,7060.0,218738.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-03-01,2144.922,8928.0,247218.0,2116.669,8811.0,243962.0,27.958,116.0,3222.0,,,,603.573,2512.0,69566.0
2017-04-01,2031.579,8456.0,352163.0,723.774,3013.0,125462.0,34.513,144.0,5983.0,,,,611.008,2543.0,105915.0
2017-05-01,0.0,0.0,374709.0,0.0,0.0,134327.0,0.0,0.0,4061.0,,,,0.0,0.0,63034.0
2017-06-01,1959.602,8157.0,317396.0,876.709,3649.0,142000.0,5.33,22.0,863.0,,,,334.743,1393.0,54218.0
2017-07-01,1548.944,6447.0,171030.0,1824.007,7592.0,201402.0,0.0,0.0,0.0,,,,634.323,2640.0,70040.0
2017-08-01,7697.459,32040.0,377792.0,2160.679,8994.0,106046.0,50.047,208.0,2456.0,,,,2486.234,10349.0,122025.0
2017-09-01,3482.114,14494.0,192057.0,2535.261,10553.0,139833.0,17.858,74.0,985.0,,,,1222.013,5087.0,67400.0
2017-10-01,4921.342,20485.0,266781.0,3050.837,12699.0,165383.0,70.211,292.0,3806.0,,,,1474.654,6138.0,79940.0
2017-11-01,4285.925,17840.0,334253.0,1701.715,7083.0,132714.0,46.776,195.0,3648.0,,,,1468.744,6114.0,114545.0
2017-12-01,6707.055,27918.0,316453.0,4428.806,18435.0,208960.0,44.329,185.0,2092.0,,,,2186.706,9102.0,103173.0
2018-01-01,5922.048,24650.0,280588.0,5175.312,21542.0,245208.0,18.992,79.0,900.0,,,,1428.969,5948.0,67705.0
2018-02-01,7190.713,29931.0,331214.0,3756.881,15638.0,173047.0,24.816,103.0,1143.0,,,,2217.503,9230.0,102141.0
2018-03-01,7181.902,29894.0,328153.0,4668.845,19434.0,213327.0,44.976,187.0,2055.0,,,,1387.339,5775.0,63390.0
2018-04-01,4497.116,18719.0,212728.0,5351.804,22277.0,253158.0,120.563,502.0,5703.0,,,,1316.462,5480.0,62273.0
2018-05-01,0.0,0.0,0.0,3.933,16.0,61508.0,0.017,0.0,268.0,,,,3.81,15.0,59599.0
2018-06-01,0.0,0.0,0.0,0.0,0.0,72228.0,0.0,0.0,0.0,,,,0.0,0.0,54353.0
2018-07-01,0.0,0.0,0.0,0.0,0.0,99312.0,0.0,0.0,0.0,,,,0.0,0.0,10965.0
