measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,1598.499,26063.0,26063.0,0.0,0.0,0.0,74.08,754.0,754.0,,,,43.48,681.0,681.0,20.838,264.0,264.0,5.497,88.0,88.0
2003-02-01,1250.409,20387.0,20387.0,0.0,0.0,0.0,57.948,590.0,590.0,,,,34.012,533.0,533.0,16.3,207.0,207.0,4.3,69.0,69.0
2003-03-01,1427.367,23272.0,23272.0,0.0,0.0,0.0,66.149,674.0,674.0,,,,38.825,608.0,608.0,18.607,236.0,236.0,4.908,79.0,79.0
2003-04-01,1447.332,23598.0,23598.0,0.0,0.0,0.0,67.074,683.0,683.0,,,,39.368,616.0,616.0,18.867,239.0,239.0,4.977,80.0,80.0
2003-05-01,1730.142,28209.0,28209.0,0.0,0.0,0.0,80.181,817.0,817.0,,,,47.061,737.0,737.0,22.554000000000002,286.0,286.0,5.949,95.0,95.0
2003-06-01,1684.267,27461.0,27461.0,0.0,0.0,0.0,78.055,795.0,795.0,,,,45.813,717.0,717.0,21.956,278.0,278.0,5.791,93.0,93.0
2003-07-01,1913.0420000000001,31191.0,31191.0,0.0,0.0,0.0,88.65700000000001,903.0,903.0,,,,52.036,815.0,815.0,24.938000000000002,316.0,316.0,6.578,105.0,105.0
2003-08-01,2108.543,34379.0,34379.0,0.0,0.0,0.0,97.717,995.0,995.0,,,,57.353,898.0,898.0,27.486,349.0,349.0,7.25,116.0,116.0
2003-09-01,1678.5,27367.0,27367.0,0.0,0.0,0.0,77.787,792.0,792.0,,,,45.656,715.0,715.0,21.88,278.0,278.0,5.772,92.0,92.0
2003-10-01,1610.915,26265.0,26265.0,0.0,0.0,0.0,74.655,760.0,760.0,,,,43.818000000000005,686.0,686.0,20.999000000000002,266.0,266.0,5.539000000000001,89.0,89.0
2003-11-01,1468.9070000000002,23950.0,23950.0,0.0,0.0,0.0,68.074,693.0,693.0,,,,39.955,626.0,626.0,19.148,243.0,243.0,5.051,81.0,81.0
2003-12-01,1567.077,25550.0,25550.0,0.0,0.0,0.0,72.62400000000001,740.0,740.0,,,,42.625,667.0,667.0,20.428,259.0,259.0,5.388,86.0,86.0
2004-01-01,2501.6110000000003,39961.0,39961.0,0.0,0.0,0.0,38.333,392.0,392.0,,,,4.063000000000001,92.0,92.0,4.417,49.0,49.0,9.355,142.0,142.0
2004-02-01,2218.094,35432.0,35432.0,0.0,0.0,0.0,38.333,392.0,392.0,,,,1.45,33.0,33.0,4.417,49.0,49.0,10.129000000000001,154.0,154.0
2004-03-01,1788.334,28567.0,28567.0,0.0,0.0,0.0,38.333,392.0,392.0,,,,1.163,26.0,26.0,4.417,49.0,49.0,5.7940000000000005,88.0,88.0
2004-04-01,1804.568,28826.0,28826.0,0.0,0.0,0.0,38.333,392.0,392.0,,,,2.0740000000000003,47.0,47.0,4.417,49.0,49.0,18.246000000000002,277.0,277.0
2004-05-01,2211.005,35319.0,35319.0,0.0,0.0,0.0,38.333,392.0,392.0,,,,7.67,173.0,173.0,4.417,49.0,49.0,14.358,218.0,218.0
2004-06-01,2354.764,37615.0,37615.0,0.0,0.0,0.0,38.333,392.0,392.0,,,,4.687,106.0,106.0,4.417,49.0,49.0,18.125,275.0,275.0
2004-07-01,2662.741,42535.0,42535.0,0.0,0.0,0.0,38.333,392.0,392.0,,,,3.3890000000000002,76.0,76.0,4.417,49.0,49.0,21.466,325.0,325.0
2004-08-01,2601.011,41548.0,41548.0,0.0,0.0,0.0,38.333,392.0,392.0,,,,5.301,120.0,120.0,4.417,49.0,49.0,12.094000000000001,183.0,183.0
2004-09-01,2347.494,37499.0,37499.0,0.0,0.0,0.0,38.333,392.0,392.0,,,,4.888,110.0,110.0,4.417,49.0,49.0,12.31,187.0,187.0
2004-10-01,1823.412,29127.0,29127.0,0.0,0.0,0.0,38.333,392.0,392.0,,,,4.195,95.0,95.0,4.417,49.0,49.0,21.193,321.0,321.0
2004-11-01,1917.731,30634.0,30634.0,0.0,0.0,0.0,38.333,392.0,392.0,,,,1.202,27.0,27.0,4.417,49.0,49.0,6.985,106.0,106.0
2004-12-01,2525.2360000000003,40338.0,40338.0,0.0,0.0,0.0,38.333,392.0,392.0,,,,2.918,66.0,66.0,4.417,49.0,49.0,8.945,136.0,136.0
2005-01-01,4715.039000000001,68607.46,68607.46,,,,223.787,2186.69,2186.69,,,,,,,3.311,35.53,35.53,8.013,107.14,107.14
2005-02-01,4105.224,59734.2,59734.2,,,,113.578,1109.8,1109.8,,,,,,,2.749,29.5,29.5,6.652,88.94,88.94
2005-03-01,4259.159000000001,61974.05,61974.05,,,,137.461,1343.18,1343.18,,,,,,,3.4040000000000004,36.53,36.53,8.238,110.15,110.15
2005-04-01,3795.7490000000003,55231.09,55231.09,,,,143.237,1399.62,1399.62,,,,,,,3.354,35.99,35.99,8.117,108.53,108.53
2005-05-01,4166.969,60632.61,60632.61,,,,168.781,1649.21,1649.21,,,,,,,3.954,42.43,42.43,9.568,127.94,127.94
2005-06-01,4641.139,67532.16,67532.16,,,,152.812,1493.18,1493.18,,,,,,,4.99,53.55,53.55,12.075,161.46,161.46
2005-07-01,4906.175,71388.63,71388.63,,,,244.693,2390.97,2390.97,,,,,,,6.2540000000000004,67.11,67.11,15.134,202.36,202.36
2005-08-01,4960.761,72182.9,72182.9,,,,270.788,2645.96,2645.96,,,,,,,6.478000000000001,69.52,69.52,15.677000000000001,209.63,209.63
2005-09-01,4546.124,66149.63,66149.63,,,,268.909,2627.6,2627.6,,,,,,,4.93,52.9,52.9,11.93,159.51,159.51
2005-10-01,4292.963000000001,62465.92,62465.92,,,,160.457,1567.88,1567.88,,,,,,,3.938,42.26,42.26,9.53,127.43,127.43
2005-11-01,4185.44,60901.39,60901.39,,,,127.896,1249.71,1249.71,,,,,,,3.36,36.06,36.06,8.131,108.72,108.72
2005-12-01,4674.259,68014.1,68014.1,,,,278.601,2722.3,2722.3,,,,,,,3.2790000000000004,35.19,35.19,7.935,106.1,106.1
2006-01-01,1544.636,25657.0,25657.0,,,,13.342,131.0,131.0,,,,,,,5.039000000000001,57.0,57.0,8.223,126.0,126.0
2006-02-01,1408.961,23403.0,23403.0,,,,13.203000000000001,130.0,130.0,,,,,,,5.978000000000001,67.0,67.0,9.756,149.0,149.0
2006-03-01,1435.546,23845.0,23845.0,,,,11.577,114.0,114.0,,,,,,,6.8180000000000005,77.0,77.0,11.128,170.0,170.0
2006-04-01,1307.37,21716.0,21716.0,,,,15.272,150.0,150.0,,,,,,,7.626,86.0,86.0,12.447000000000001,191.0,191.0
2006-05-01,1530.4260000000002,25421.0,25421.0,,,,13.802000000000001,136.0,136.0,,,,,,,8.833,99.0,99.0,14.417,221.0,221.0
2006-06-01,1653.5310000000002,27465.0,27465.0,,,,16.506,162.0,162.0,,,,,,,11.256,127.0,127.0,18.371000000000002,281.0,281.0
2006-07-01,1765.942,29332.0,29332.0,,,,16.012,157.0,157.0,,,,,,,14.151,159.0,159.0,23.096,354.0,354.0
2006-08-01,1786.83,29679.0,29679.0,,,,17.232,169.0,169.0,,,,,,,14.33,161.0,161.0,23.387,358.0,358.0
2006-09-01,1577.568,26204.0,26204.0,,,,12.242,120.0,120.0,,,,,,,9.75,110.0,110.0,15.913,244.0,244.0
2006-10-01,1504.361,24988.0,24988.0,,,,15.757000000000001,155.0,155.0,,,,,,,8.828000000000001,99.0,99.0,14.408000000000001,221.0,221.0
2006-11-01,1481.515,24608.0,24608.0,,,,13.753,135.0,135.0,,,,,,,6.556,74.0,74.0,10.7,164.0,164.0
2006-12-01,1622.313,26947.0,26947.0,,,,15.301,150.0,150.0,,,,,,,6.8340000000000005,77.0,77.0,11.154,171.0,171.0
2007-01-01,0.0,0.0,0.0,,,,19.85,87.0,87.0,0.219,6.0,6.0,,,,11.599,52.0,52.0,131.781,3727.0,3727.0
2007-02-01,-60.667,0.0,0.0,,,,12.54,56.0,56.0,-60.667,0.0,0.0,,,,20.053,89.0,89.0,-60.667,0.0,0.0
2007-03-01,-52.0,0.0,0.0,,,,4.422000000000001,19.0,19.0,-52.0,0.0,0.0,,,,13.983,63.0,63.0,-52.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,,,,11.388,50.0,50.0,-0.318,62.0,62.0,,,,16.152,72.0,72.0,-1.6820000000000002,328.0,328.0
2007-05-01,-50.0,0.0,0.0,,,,1.915,6.0,6.0,-50.0,0.0,0.0,,,,20.775,93.0,93.0,-50.0,0.0,0.0
2007-06-01,319.965,27770.0,27770.0,,,,7.047000000000001,31.0,31.0,0.0,0.0,0.0,,,,22.465,100.0,100.0,0.035,3.0,3.0
2007-07-01,-52.667,0.0,0.0,,,,0.221,0.0,0.0,-52.667,0.0,0.0,,,,24.17,108.0,108.0,-52.667,0.0,0.0
2007-08-01,693.043,116331.0,116331.0,,,,0.397,0.0,0.0,0.295,50.0,50.0,,,,42.348,189.0,189.0,31.661,5315.0,5315.0
2007-09-01,-48.0,0.0,0.0,,,,0.133,0.0,0.0,-48.0,0.0,0.0,,,,29.618000000000002,132.0,132.0,-48.0,0.0,0.0
2007-10-01,-72.0,0.0,0.0,,,,0.135,0.0,0.0,,,,,,,20.586000000000002,92.0,92.0,-72.0,0.0,0.0
2007-11-01,-52.667,0.0,0.0,,,,0.273,0.0,0.0,-52.667,0.0,0.0,,,,9.213000000000001,41.0,41.0,-52.667,0.0,0.0
2007-12-01,128.0,4641.0,4641.0,,,,0.162,0.0,0.0,0.0,0.0,0.0,,,,13.554,61.0,61.0,0.0,0.0,0.0
2008-01-01,3971.414,66420.0,66420.0,12.329,148.0,148.0,-5.837000000000001,5499.0,5499.0,,,,58.267,697.0,697.0,-0.917,865.0,865.0,22.586000000000002,378.0,378.0
2008-02-01,2084.35,35937.0,35937.0,0.932,12.0,12.0,-0.441,413.0,413.0,,,,33.608000000000004,401.0,401.0,-0.53,499.0,499.0,27.650000000000002,477.0,477.0
2008-03-01,0.0,0.0,0.0,6.962000000000001,83.0,83.0,-3.2960000000000003,3103.0,3103.0,,,,31.751,379.0,379.0,-0.501,471.0,471.0,0.0,238.0,238.0
2008-04-01,84.25800000000001,1512.0,1512.0,3.0020000000000002,35.0,35.0,-1.4220000000000002,1339.0,1339.0,,,,27.071,323.0,323.0,-0.42700000000000005,402.0,402.0,177.74200000000002,3190.0,3190.0
2008-05-01,892.1510000000001,128520.0,128520.0,4.319,53.0,53.0,-2.045,1923.0,1923.0,,,,30.560000000000002,365.0,365.0,-0.48200000000000004,453.0,453.0,3.849,554.0,554.0
2008-06-01,1038.575,164943.0,164943.0,36.18,431.0,431.0,-17.13,16119.0,16119.0,,,,57.937000000000005,692.0,692.0,-0.913,860.0,860.0,1.425,226.0,226.0
2008-07-01,1308.0,220023.0,220023.0,2.2840000000000003,30.0,30.0,-1.081,1015.0,1015.0,,,,61.198,731.0,731.0,-0.9650000000000001,908.0,908.0,0.0,0.0,0.0
