measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2001-01-01,215515.0,2083408.0,2083408.0,5.0,65.0,65.0,,,
2001-02-01,197054.0,1994242.0,1994242.0,37.0,341.0,341.0,,,
2001-03-01,206665.0,2046045.0,2046045.0,12.0,112.0,112.0,,,
2001-04-01,112899.0,1168143.0,1168143.0,686.0,6509.0,6509.0,,,
2001-05-01,92542.0,979580.0,979580.0,862.0,8361.0,8361.0,,,
2001-06-01,193479.0,1978695.0,1978695.0,294.0,2758.0,2758.0,,,
2001-07-01,203866.0,2098291.0,2098291.0,64.0,600.0,600.0,,,
2001-08-01,202478.0,2081348.0,2081348.0,130.0,1541.0,1541.0,,,
2001-09-01,39739.0,438475.0,438475.0,669.0,6768.0,6768.0,,,
2001-10-01,162105.0,1692395.0,1692395.0,975.0,9332.0,9332.0,,,
2001-11-01,168985.0,1772901.0,1772901.0,483.0,4645.0,4645.0,,,
2001-12-01,197609.0,1999646.0,1999646.0,65.0,606.0,606.0,,,
2002-01-01,190638.0,1860818.0,1860818.0,409.0,3781.0,3781.0,,,
2002-02-01,109050.0,1076565.0,1076565.0,999.0,9564.0,9564.0,,,
2002-03-01,206535.0,1978200.0,1978200.0,71.0,644.0,644.0,,,
2002-04-01,201576.0,1933647.0,1933647.0,16.0,151.0,151.0,,,
2002-05-01,193944.0,1919693.0,1919693.0,101.0,969.0,969.0,,,
2002-06-01,189969.0,1914337.0,1914337.0,4.0,41.0,41.0,,,
2002-07-01,198838.0,2031807.0,2031807.0,224.0,2152.0,2152.0,,,
2002-08-01,185204.0,1884218.0,1884218.0,443.0,5377.0,5377.0,,,
2002-09-01,128279.0,1288368.0,1288368.0,620.0,7430.0,7430.0,,,
2002-10-01,193045.0,1879180.0,1879180.0,532.0,6309.0,6309.0,,,
2002-11-01,199589.0,1912866.0,1912866.0,68.0,777.0,777.0,,,
2002-12-01,202962.0,1939423.0,1939423.0,52.0,597.0,597.0,,,
2003-01-01,128525.0,1055258.0,1055258.0,4.0,35.0,35.0,86024.0,841280.0,841280.0
2003-02-01,118135.0,970991.0,970991.0,89.0,899.0,899.0,78791.0,768840.0,768840.0
2003-03-01,125432.0,1042623.0,1042623.0,62.0,606.0,606.0,83893.0,786040.0,786040.0
2003-04-01,120797.0,1008259.0,1008259.0,26.0,259.0,259.0,80649.0,776770.0,776770.0
2003-05-01,62877.0,532565.0,532565.0,108.0,1129.0,1129.0,42041.0,420390.0,420390.0
2003-06-01,93805.0,828867.0,828867.0,907.0,9637.0,9637.0,62530.0,647680.0,647680.0
2003-07-01,116783.0,1027167.0,1027167.0,335.0,3616.0,3616.0,78148.0,803240.0,803240.0
2003-08-01,124501.0,1096833.0,1096833.0,282.0,2969.0,2969.0,83283.0,843900.0,843900.0
2003-09-01,124195.0,1061561.0,1061561.0,82.0,823.0,823.0,82819.0,799260.0,799260.0
2003-10-01,94346.0,794900.0,794900.0,769.0,7703.0,7703.0,62956.0,600280.0,600280.0
2003-11-01,108121.0,891483.0,891483.0,1191.0,12042.0,12042.0,71975.0,701220.0,701220.0
2003-12-01,137900.0,1121905.0,1121905.0,5.0,53.0,53.0,92184.0,884030.0,884030.0
2004-01-01,209119.0,1981610.0,1981610.0,591.0,6821.0,6821.0,0.0,0.0,0.0
2004-02-01,219437.0,2058684.0,2058684.0,26.0,300.0,300.0,0.0,0.0,0.0
2004-03-01,194679.0,1889072.0,1889072.0,404.0,5263.0,5263.0,0.0,0.0,0.0
2004-04-01,62926.0,629316.0,629316.0,696.0,8885.0,8885.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,-320.0,6720.0,6720.0,-453.0,11148.0,11148.0,0.0,0.0,0.0
2004-07-01,182530.0,1809130.0,1809130.0,988.0,12242.0,12242.0,0.0,0.0,0.0
2004-08-01,199787.0,1951430.0,1951430.0,515.0,6350.0,6350.0,0.0,0.0,0.0
2004-09-01,187887.0,1858052.0,1858052.0,439.0,5510.0,5510.0,0.0,0.0,0.0
2004-10-01,217046.0,2075712.0,2075712.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,206211.0,1954053.0,1954053.0,116.0,1441.0,1441.0,0.0,0.0,0.0
2004-12-01,220231.0,2097619.0,2097619.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,90587.0,723004.8,723004.8,1511.0,15499.68,15499.68,100669.0,1006720.0,1006720.0
2005-02-01,94513.0,742170.41,742170.41,0.0,0.0,0.0,105076.0,1020800.0,1020800.0
2005-03-01,104511.0,811951.14,811951.14,0.0,0.0,0.0,116403.0,1057760.0,1057760.0
2005-04-01,95931.0,763371.73,763371.73,368.0,3663.24,3663.24,106948.0,1036640.0,1036640.0
2005-05-01,65445.0,529928.21,529928.21,1181.0,11895.24,11895.24,72801.0,714560.0,714560.0
2005-06-01,98115.0,805561.71,805561.71,0.0,0.0,0.0,109228.0,1108800.0,1108800.0
2005-07-01,103446.0,857911.67,857911.67,0.0,0.0,0.0,115701.0,1182720.0,1182720.0
2005-08-01,106903.0,871355.66,871355.66,0.0,0.0,0.0,118806.0,1189760.0,1189760.0
2005-09-01,99521.0,808157.86,808157.86,0.0,0.0,0.0,110559.0,1115840.0,1115840.0
2005-10-01,77007.0,607913.23,607913.23,818.0,8049.72,8049.72,85476.0,820160.0,820160.0
2005-11-01,98783.0,764947.04,764947.04,269.0,2728.32,2728.32,109871.0,1084160.0,1084160.0
2005-12-01,105915.0,818952.2,818952.2,0.0,0.0,0.0,117640.0,1173920.0,1173920.0
2006-01-01,94935.0,725176.0,725176.0,0.0,0.0,0.0,133394.0,1413657.0,1413657.0
2006-02-01,107056.0,829306.0,829306.0,0.0,0.0,0.0,108914.0,1170518.0,1170518.0
2006-03-01,120591.0,944382.0,944382.0,0.0,0.0,0.0,113046.0,1228220.0,1228220.0
2006-04-01,44931.0,362556.0,362556.0,1460.0,14912.0,14912.0,46762.0,523499.0,523499.0
2006-05-01,107544.0,854308.0,854308.0,0.0,0.0,0.0,111717.0,1231238.0,1231238.0
2006-06-01,105145.0,862114.0,862114.0,423.0,4322.0,4322.0,105217.0,1018393.0,1018393.0
2006-07-01,156595.0,2200858.0,2200858.0,0.0,0.0,0.0,65229.0,1123020.0,1123020.0
2006-08-01,95342.0,800285.0,800285.0,1178.0,12301.0,12301.0,95068.0,982401.0,982401.0
2006-09-01,101764.0,834823.0,834823.0,167.0,1693.0,1693.0,100676.0,1002815.0,1002815.0
2006-10-01,81185.0,637660.0,637660.0,658.0,6468.0,6468.0,87215.0,950381.0,950381.0
2006-11-01,111069.0,876282.0,876282.0,518.0,5080.0,5080.0,101682.0,1112974.0,1112974.0
2006-12-01,110556.0,901878.0,901878.0,0.0,0.0,0.0,116559.0,1095269.0,1095269.0
2007-01-01,107765.781,1037908.0,1037908.0,10.989,106.0,106.0,117157.23,1128358.0,1128358.0
2007-02-01,91271.599,868659.0,868659.0,993.4580000000001,9455.0,9455.0,97666.943,929526.0,929526.0
2007-03-01,108944.507,1041370.0,1041370.0,0.0,0.0,0.0,123337.493,1178948.0,1178948.0
2007-04-01,80168.446,611227.0,611227.0,0.0,0.0,0.0,64896.554000000004,494790.0,494790.0
2007-05-01,64666.114,685942.0,685942.0,2348.1330000000003,24908.0,24908.0,61716.753,654657.0,654657.0
2007-06-01,101281.294,1017943.0,1017943.0,521.268,5239.0,5239.0,100605.438,1011150.0,1011150.0
2007-07-01,102518.623,1041498.0,1041498.0,562.585,5715.0,5715.0,105230.792,1069052.0,1069052.0
2007-08-01,103076.639,1055694.0,1055694.0,632.675,6480.0,6480.0,105406.685,1079558.0,1079558.0
2007-09-01,109520.397,1084982.0,1084982.0,53.419000000000004,529.0,529.0,102389.185,1014336.0,1014336.0
2007-10-01,140686.677,1378681.0,1378681.0,0.0,0.0,0.0,90980.323,891576.0,891576.0
2007-11-01,48787.285,489979.0,489979.0,2344.233,23544.0,23544.0,49288.482,495012.0,495012.0
2007-12-01,86309.097,831532.0,831532.0,2050.052,19751.0,19751.0,76890.85,740793.0,740793.0
2008-01-01,135906.815,1318478.0,1318478.0,288.504,2799.0,2799.0,100421.681,974225.0,974225.0
2008-02-01,101957.349,980182.0,980182.0,1000.0160000000001,9614.0,9614.0,83506.635,802803.0,802803.0
2008-03-01,133875.236,1239358.0,1239358.0,386.175,3575.0,3575.0,95780.589,886694.0,886694.0
2008-04-01,106250.201,999084.0,999084.0,422.719,3975.0,3975.0,76308.08,717534.0,717534.0
2008-05-01,111423.554,1081933.0,1081933.0,785.4050000000001,7626.0,7626.0,84557.04000000001,821057.0,821057.0
2008-06-01,94861.089,967528.0,967528.0,3498.799,35686.0,35686.0,76420.113,779441.0,779441.0
2008-07-01,121431.333,1258083.0,1258083.0,234.96300000000002,2434.0,2434.0,85058.704,881246.0,881246.0
2008-08-01,126175.50200000001,1305684.0,1305684.0,0.0,0.0,0.0,87486.498,905324.0,905324.0
2008-09-01,70709.053,716106.0,716106.0,1532.1970000000001,15517.0,15517.0,63566.75,643772.0,643772.0
2008-10-01,91365.115,896592.0,896592.0,391.869,3846.0,3846.0,117135.016,1149479.0,1149479.0
2008-11-01,76642.09,743870.0,743870.0,6.058000000000001,59.0,59.0,134822.852,1308558.0,1308558.0
2008-12-01,86125.581,837043.0,837043.0,0.0,0.0,0.0,138467.419,1345747.0,1345747.0
2009-01-01,83669.477,825400.0,825400.0,0.0,0.0,0.0,135814.523,1339810.0,1339810.0
2009-02-01,64760.743,632209.0,632209.0,602.924,5886.0,5886.0,102317.333,998844.0,998844.0
2009-03-01,456.88100000000003,4523.0,4523.0,0.0,0.0,0.0,173142.119,1714155.0,1714155.0
2009-04-01,0.0,0.0,0.0,265.488,2652.0,2652.0,162286.512,1621033.0,1621033.0
2009-05-01,0.0,0.0,0.0,920.1270000000001,9637.0,9637.0,114260.873,1196758.0,1196758.0
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,156790.0,1654650.0,1654650.0
2009-07-01,25235.722999999998,262527.0,262527.0,0.0,0.0,0.0,139202.277,1448120.0,1448120.0
2009-08-01,33721.973,356464.0,356464.0,570.719,6033.0,6033.0,121800.308,1287510.0,1287510.0
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,162546.0,1695784.0,1695784.0
2009-10-01,0.0,0.0,0.0,401.572,4316.0,4316.0,45749.428,491694.0,491694.0
2009-11-01,16783.207000000002,194004.0,194004.0,2260.556,26131.0,26131.0,24769.237,286318.0,286318.0
2009-12-01,85562.811,857058.0,857058.0,1100.661,11025.0,11025.0,98694.528,988594.0,988594.0
2010-01-01,72245.438,717001.0,717001.0,1508.434,14970.0,14970.0,89451.128,887759.0,887759.0
2010-02-01,92996.553,935009.0,935009.0,900.6360000000001,9055.0,9055.0,62664.811,630046.0,630046.0
2010-03-01,36685.356,367384.0,367384.0,115.08200000000001,1152.0,1152.0,132370.562,1325618.0,1325618.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,162784.0,1714073.0,1714073.0
2010-05-01,0.0,0.0,0.0,879.0930000000001,9296.0,9296.0,152997.907,1617931.0,1617931.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,156888.0,1701071.0,1701071.0
2010-07-01,88734.784,957804.0,957804.0,0.0,0.0,0.0,96759.216,1044419.0,1044419.0
2010-08-01,99028.357,1092525.0,1092525.0,1345.2250000000001,14841.0,14841.0,43219.418,476816.0,476816.0
2010-09-01,11638.088,132138.0,132138.0,1926.5220000000002,21874.0,21874.0,43747.39,496705.0,496705.0
2010-10-01,7779.809,84421.0,84421.0,716.897,7779.0,7779.0,38007.294,412427.0,412427.0
2010-11-01,486.564,5075.0,5075.0,0.0,0.0,0.0,130382.436,1359877.0,1359877.0
2010-12-01,59574.764,620425.0,620425.0,0.0,0.0,0.0,89412.236,931159.0,931159.0
2011-01-01,64315.762,670288.0,670288.0,0.0,0.0,0.0,91379.238,952339.0,952339.0
2011-02-01,9725.341,102419.0,102419.0,790.053,8320.0,8320.0,96945.606,1020952.0,1020952.0
2011-03-01,62613.05,671175.0,671175.0,457.48,4904.0,4904.0,17233.47,184733.0,184733.0
2011-04-01,0.0,0.0,0.0,1067.068,11137.0,11137.0,100042.93,1044123.0,1044123.0
2011-05-01,0.0,0.0,0.0,521.455,5551.0,5551.0,101202.55,1077268.0,1077268.0
2011-06-01,0.0,0.0,0.0,1078.49,13548.0,13548.0,16945.51,212862.0,212862.0
2011-07-01,0.0,0.0,0.0,2236.578,25413.0,25413.0,90887.422,1032718.0,1032718.0
2011-08-01,0.0,0.0,0.0,568.753,6309.0,6309.0,100623.25,1116225.0,1116225.0
