measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Jet Fuel - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Generation","Jet Fuel - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Quantity Consumed For Electricity","Jet Fuel - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Total Fuel Consumed"
2009-01-01,,,,239.49800000000002,2570.0,2570.0
2009-02-01,,,,175.774,1880.0,1880.0
2009-03-01,,,,182.571,1953.0,1953.0
2009-04-01,,,,187.58700000000002,2009.0,2009.0
2009-05-01,,,,112.46300000000001,1201.0,1201.0
2009-06-01,,,,110.43900000000001,1184.0,1184.0
2009-07-01,,,,124.51,1330.0,1330.0
2009-08-01,,,,123.864,1324.0,1324.0
2009-09-01,,,,82.51,881.0,881.0
2009-10-01,,,,81.753,875.0,875.0
2009-11-01,,,,155.4,1661.0,1661.0
2009-12-01,,,,157.631,1689.0,1689.0
2010-01-01,,,,223.536,2216.0,2216.0
2010-02-01,,,,177.602,1767.0,1767.0
2010-03-01,,,,157.198,1565.0,1565.0
2010-04-01,,,,139.174,1386.0,1386.0
2010-05-01,,,,115.73,1150.0,1150.0
2010-06-01,,,,90.846,903.0,903.0
2010-07-01,,,,104.22800000000001,1038.0,1038.0
2010-08-01,,,,106.26400000000001,1060.0,1060.0
2010-09-01,,,,97.3,971.0,971.0
2010-10-01,,,,116.634,1161.0,1161.0
2010-11-01,,,,132.845,1324.0,1324.0
2010-12-01,,,,241.643,2407.0,2407.0
2011-01-01,,,,210.016,2188.0,2188.0
2011-02-01,,,,187.553,1952.0,1952.0
2011-03-01,,,,164.2,1711.0,1711.0
2011-04-01,,,,106.387,1105.0,1105.0
2011-05-01,,,,111.503,1161.0,1161.0
2011-06-01,,,,103.595,1077.0,1077.0
2011-07-01,,,,109.474,1139.0,1139.0
2011-08-01,,,,98.809,1027.0,1027.0
2011-09-01,,,,109.502,1139.0,1139.0
2011-10-01,,,,193.588,2014.0,2014.0
2011-11-01,,,,179.234,1868.0,1868.0
2011-12-01,,,,177.139,1846.0,1846.0
2012-01-01,,,,200.67,2014.0,2014.0
2012-02-01,,,,118.354,1189.0,1189.0
2012-03-01,,,,179.507,1801.0,1801.0
2012-04-01,,,,113.661,1139.0,1139.0
2012-05-01,,,,142.231,1425.0,1425.0
2012-06-01,,,,116.065,1167.0,1167.0
2012-07-01,,,,181.476,1823.0,1823.0
2012-08-01,,,,169.101,1694.0,1694.0
2012-09-01,,,,157.427,1582.0,1582.0
2012-10-01,,,,116.934,1172.0,1172.0
2012-11-01,,,,125.411,1257.0,1257.0
2012-12-01,,,,193.163,1941.0,1941.0
2013-01-01,,,,208.929,2087.0,2087.0
2013-02-01,,,,144.154,1436.0,1436.0
2013-03-01,,,,145.811,1453.0,1453.0
2013-04-01,,,,168.187,1677.0,1677.0
2013-05-01,,,,169.502,1689.0,1689.0
2013-06-01,,,,121.726,1212.0,1212.0
2013-07-01,,,,115.257,1150.0,1150.0
2013-08-01,,,,113.718,1133.0,1133.0
2013-09-01,,,,133.46,1330.0,1330.0
2013-10-01,,,,128.425,1279.0,1279.0
2013-11-01,,,,167.393,1666.0,1666.0
2013-12-01,,,,189.438,1885.0,1885.0
2014-01-01,,,,176.025,1778.0,1778.0
2014-02-01,,,,167.014,1689.0,1689.0
2014-03-01,,,,163.036,1649.0,1649.0
2014-04-01,,,,153.184,1548.0,1548.0
2014-05-01,,,,129.339,1307.0,1307.0
2014-06-01,,,,77.092,780.0,780.0
2014-07-01,,,,136.291,1374.0,1374.0
