measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2008-01-01,0.0,0.0,0.0,,,,,,,,,
2008-02-01,0.0,0.0,0.0,,,,,,,,,
2008-03-01,0.0,1596.0,1596.0,,,,,,,0.0,63092.0,63092.0
2008-04-01,55.404,8570.0,8570.0,,,,,,,156.596,24221.0,24221.0
2008-05-01,592.9340000000001,13870.0,13870.0,,,,,,,3883.0660000000003,90835.0,90835.0
2008-06-01,331.959,4678.0,4678.0,,,,,,,6446.041,90833.0,90833.0
2008-07-01,393.096,8909.0,8909.0,,,,,,,9696.904,219756.0,219756.0
2008-08-01,255.84400000000002,4342.0,4342.0,,,,,,,11345.156,192548.0,192548.0
2008-09-01,96.819,2179.0,2179.0,,,,,,,12044.181,271118.0,271118.0
2008-10-01,200.435,3771.0,3771.0,,,,,,,9881.565,185891.0,185891.0
2008-11-01,295.177,4228.0,4228.0,,,,,,,10799.823,154686.0,154686.0
2008-12-01,302.853,4391.0,4391.0,,,,,,,11694.147,169557.0,169557.0
2009-01-01,873.1990000000001,9213.0,9213.0,,,,,,,9107.801000000001,96096.0,96096.0
2009-02-01,379.954,4297.0,4297.0,,,,,,,9057.046,102420.0,102420.0
2009-03-01,586.143,6970.0,6970.0,,,,,,,10289.857,122355.0,122355.0
2009-04-01,811.62,9661.0,9661.0,,,,,,,7622.38,90736.0,90736.0
2009-05-01,353.387,4247.0,4247.0,,,,,,,11946.613,143584.0,143584.0
2009-06-01,306.683,3536.0,3536.0,,,,,,,11988.317,138212.0,138212.0
2009-07-01,218.324,2435.0,2435.0,,,,,,,13290.676,148238.0,148238.0
2009-08-01,229.619,2371.0,2371.0,,,,,,,14391.381000000001,148597.0,148597.0
2009-09-01,488.53700000000003,5290.0,5290.0,,,,1033.506,11191.0,11191.0,11627.957,125915.0,125915.0
2009-10-01,595.4390000000001,6525.0,6525.0,,,,,,,13033.561,142827.0,142827.0
2009-11-01,569.4340000000001,6560.0,6560.0,,,,370.223,4265.0,4265.0,9276.343,106872.0,106872.0
2009-12-01,201.263,2114.0,2114.0,,,,163.698,1719.0,1719.0,15009.039,157645.0,157645.0
2010-01-01,768.669,8487.0,8487.0,,,,238.59,2634.0,2634.0,13457.741,148590.0,148590.0
2010-02-01,522.902,6261.0,6261.0,,,,635.302,7607.0,7607.0,9386.796,112393.0,112393.0
2010-03-01,175.29,2209.0,2209.0,,,,2984.5620000000004,37609.0,37609.0,11128.148000000001,140229.0,140229.0
2010-04-01,266.337,3269.0,3269.0,,,,1154.2350000000001,14166.0,14166.0,8738.428,107246.0,107246.0
2010-05-01,297.494,3263.0,3263.0,,,,813.385,8921.0,8921.0,15299.121,167789.0,167789.0
2010-06-01,93.932,1245.0,1245.0,,,,1442.459,19113.0,19113.0,13385.609,177367.0,177367.0
2010-07-01,124.244,1426.0,1426.0,,,,1402.208,16093.0,16093.0,13270.548,152302.0,152302.0
2010-08-01,133.321,1587.0,1587.0,,,,636.259,7574.0,7574.0,9469.42,112722.0,112722.0
2010-09-01,163.585,1905.0,1905.0,,,,1305.713,15207.0,15207.0,11590.702,134994.0,134994.0
2010-10-01,52.921,627.0,627.0,,,,2186.542,25921.0,25921.0,14185.537,168166.0,168166.0
2010-11-01,231.246,3291.0,3291.0,,,,698.46,9940.0,9940.0,6857.294000000001,97587.0,97587.0
2010-12-01,160.94400000000002,1916.0,1916.0,,,,1244.711,14820.0,14820.0,13056.345000000001,155459.0,155459.0
2011-01-01,200.196,2626.0,2626.0,,,,307.958,4040.0,4040.0,9650.846,126604.0,126604.0
2011-02-01,188.416,2468.0,2468.0,,,,666.785,8735.0,8735.0,11980.799,156943.0,156943.0
2011-03-01,340.891,4375.0,4375.0,,,,533.366,6845.0,6845.0,11763.743,150967.0,150967.0
2011-04-01,311.137,4004.0,4004.0,,,,516.305,6644.0,6644.0,10035.558,129140.0,129140.0
2011-05-01,99.415,1289.0,1289.0,,,,1171.515,15192.0,15192.0,8120.07,105303.0,105303.0
2011-06-01,115.037,1394.0,1394.0,,,,3016.903,36560.0,36560.0,13367.06,161988.0,161988.0
2011-07-01,24.721,280.0,280.0,,,,2360.19,26754.0,26754.0,14872.089,168585.0,168585.0
2011-08-01,93.441,1120.0,1120.0,,,,2103.816,25214.0,25214.0,14858.743,178081.0,178081.0
2011-09-01,108.3,1371.0,1371.0,,,,1708.042,21621.0,21621.0,13405.658,169691.0,169691.0
2011-10-01,127.979,1559.0,1559.0,,,,1626.037,19813.0,19813.0,12514.984,152491.0,152491.0
2011-11-01,262.71,3488.0,3488.0,,,,665.218,8831.0,8831.0,12850.072,170595.0,170595.0
2011-12-01,399.763,5542.0,5542.0,,,,78.356,1086.0,1086.0,10205.881,141483.0,141483.0
2012-01-01,66.451,791.0,791.0,,,,1299.714,15468.0,15468.0,15363.835,182843.0,182843.0
2012-02-01,72.669,956.0,956.0,,,,2388.814,31441.0,31441.0,12974.517,170770.0,170770.0
2012-03-01,43.611,556.0,556.0,,,,2373.764,30236.0,30236.0,14839.625,189022.0,189022.0
2012-04-01,59.363,847.0,847.0,,,,2467.346,35221.0,35221.0,11614.291,165792.0,165792.0
2012-05-01,20.497,272.0,272.0,,,,3694.29,49052.0,49052.0,13552.213,179943.0,179943.0
2012-06-01,72.24,997.0,997.0,,,,2498.857,34484.0,34484.0,12359.903,170568.0,170568.0
2012-07-01,67.03,927.0,927.0,,,,2565.164,35489.0,35489.0,14361.806,198694.0,198694.0
2012-08-01,60.676,863.0,863.0,,,,2754.06,39164.0,39164.0,13623.264,193730.0,193730.0
2012-09-01,25.827,332.0,332.0,,,,2296.208,29485.0,29485.0,12961.965,166440.0,166440.0
2012-10-01,68.978,948.0,948.0,,,,850.34,11681.0,11681.0,10628.682,146002.0,146002.0
2012-11-01,171.818,2642.0,2642.0,,,,932.384,14337.0,14337.0,11327.798,174183.0,174183.0
2012-12-01,134.548,2040.0,2040.0,,,,338.064,5126.0,5126.0,13089.388,198478.0,198478.0
2013-01-01,566.011,9138.0,9138.0,,,,178.814,2887.0,2887.0,9566.175,154434.0,154434.0
2013-02-01,194.22,3114.0,3114.0,,,,1276.672,20467.0,20467.0,11866.108,190236.0,190236.0
2013-03-01,73.746,1083.0,1083.0,,,,1351.161,19835.0,19835.0,13897.093,204009.0,204009.0
2013-04-01,40.751,586.0,586.0,,,,554.831,7976.0,7976.0,3865.418,55565.0,55565.0
2013-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,29.862,563.0,563.0,,,,0.0,0.0,0.0,9808.138,185069.0,185069.0
2013-09-01,124.963,2111.0,2111.0,,,,0.0,0.0,0.0,11784.037,199045.0,199045.0
2013-10-01,6.219,93.0,93.0,,,,0.0,0.0,0.0,15591.781,232514.0,232514.0
2013-11-01,27.185,397.0,397.0,,,,0.0,0.0,0.0,11125.815,162541.0,162541.0
2013-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,14803.0,213722.0,213722.0
2014-01-01,6.138,89.0,89.0,,,,0.0,0.0,0.0,14920.862,215638.0,215638.0
2014-02-01,16.25,267.0,267.0,,,,0.0,0.0,0.0,13466.75,221371.0,221371.0
2014-03-01,120.889,2063.0,2063.0,,,,0.0,0.0,0.0,12528.111,213842.0,213842.0
2014-04-01,109.483,2166.0,2166.0,,,,0.0,0.0,0.0,9377.517,185565.0,185565.0
2014-05-01,28.793,506.0,506.0,0.0,0.0,0.0,,,,15315.207,269098.0,269098.0
2014-06-01,27.203,515.0,515.0,0.0,0.0,0.0,,,,14750.797,279310.0,279310.0
2014-07-01,46.512,730.0,730.0,0.0,0.0,0.0,,,,15273.488,239821.0,239821.0
2014-08-01,53.532,848.0,848.0,0.0,0.0,0.0,,,,14824.468,234729.0,234729.0
2014-09-01,6.854,114.0,114.0,0.0,0.0,0.0,,,,15890.146,264858.0,264858.0
2014-10-01,0.07,1.0,1.0,0.0,0.0,0.0,,,,11721.93,170366.0,170366.0
2014-11-01,0.063,1.0,1.0,0.0,0.0,0.0,,,,14681.937,236969.0,236969.0
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,16939.0,290941.0,290941.0
2015-01-01,74.697,1502.0,1502.0,0.0,0.0,0.0,,,,15116.303,304049.0,304049.0
2015-02-01,48.519,933.0,933.0,0.0,0.0,0.0,,,,13531.481,260290.0,260290.0
2015-03-01,24.274,405.0,405.0,0.0,0.0,0.0,,,,16045.726,267680.0,267680.0
2015-04-01,36.715,638.0,638.0,0.0,0.0,0.0,,,,9838.285,170829.0,170829.0
2015-05-01,63.486,1159.0,1159.0,0.0,0.0,0.0,,,,14000.514,255533.0,255533.0
2015-06-01,26.494,474.0,474.0,0.0,0.0,0.0,,,,15594.506,279170.0,279170.0
2015-07-01,9.08,164.0,164.0,0.0,0.0,0.0,,,,16361.92,295920.0,295920.0
2015-08-01,75.862,1382.0,1382.0,0.0,0.0,0.0,,,,15740.138,286765.0,286765.0
2015-09-01,40.883,878.0,878.0,0.0,0.0,0.0,,,,15062.117,323557.0,323557.0
2015-10-01,33.092,636.0,636.0,0.0,0.0,0.0,,,,13231.908,254498.0,254498.0
2015-11-01,8.267,136.0,136.0,0.0,0.0,0.0,,,,16361.733,268495.0,268495.0
2015-12-01,14.218,272.0,272.0,0.0,0.0,0.0,,,,16099.782,308379.0,308379.0
2016-01-01,1.019,19.0,19.0,0.0,0.0,0.0,,,,17122.981,325807.0,325807.0
2016-02-01,89.808,1750.0,1750.0,0.0,0.0,0.0,,,,12723.192,247971.0,247971.0
