measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2021-01-01,578.262,4186.0,4186.0
2021-02-01,490.385,3551.0,3551.0
2021-03-01,527.258,3818.0,3818.0
2021-04-01,467.854,3388.0,3388.0
2021-05-01,488.968,3541.0,3541.0
2021-06-01,668.636,4842.0,4842.0
2021-07-01,922.705,6682.0,6682.0
2021-08-01,842.461,6101.0,6101.0
2021-09-01,716.835,5191.0,5191.0
2021-10-01,683.364,4948.0,4948.0
2021-11-01,628.045,4547.0,4547.0
2021-12-01,648.227,4694.0,4694.0
2022-01-01,523.964,3820.0,3820.0
2022-02-01,435.029,3171.0,3171.0
2022-03-01,402.518,2934.0,2934.0
2022-04-01,412.313,3006.0,3006.0
2022-05-01,378.367,2758.0,2758.0
2022-06-01,514.604,3751.0,3751.0
2022-07-01,687.46,5012.0,5012.0
2022-08-01,829.512,6047.0,6047.0
2022-09-01,760.245,5542.0,5542.0
2022-10-01,698.168,5090.0,5090.0
2022-11-01,641.147,4674.0,4674.0
2022-12-01,708.673,5166.0,5166.0
2023-01-01,562.72,3857.0,3857.0
2023-02-01,479.326,3285.0,3285.0
2023-03-01,460.694,3157.0,3157.0
2023-04-01,359.898,2466.0,2466.0
2023-05-01,233.104,1597.0,1597.0
2023-06-01,306.657,2101.0,2101.0
2023-07-01,709.852,4864.0,4864.0
2023-08-01,716.254,4908.0,4908.0
2023-09-01,506.985,3474.0,3474.0
2023-10-01,619.122,4242.0,4242.0
2023-11-01,581.596,3985.0,3985.0
2023-12-01,654.792,4487.0,4487.0
2024-01-01,698.0,4694.0,4694.0
2024-02-01,648.0,4372.0,4372.0
2024-03-01,727.0,4916.0,4916.0
2024-04-01,707.0,4790.0,4790.0
2024-05-01,716.0,4881.0,4881.0
2024-06-01,666.0,4551.0,4551.0
2024-07-01,714.0,4853.0,4853.0
2024-08-01,680.0,4679.0,4679.0
2024-09-01,671.0,4610.0,4610.0
2024-10-01,687.0,4744.0,4744.0
2024-11-01,653.0,4542.0,4542.0
2024-12-01,658.0,4587.0,4587.0
