measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed,"Solar - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Solar - Generation","Solar - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Solar - Quantity Consumed For Electricity","Solar - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Solar - Total Fuel Consumed"
2003-01-01,80.0,1457.0,1457.0,,,,14.0,143.37,143.37
2003-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,,,,917.0,9391.0,9391.0
2003-04-01,0.0,0.0,0.0,,,,2024.0,20727.78,20727.78
2003-05-01,0.0,0.0,0.0,,,,2024.0,20727.78,20727.78
2003-06-01,3843.0,39938.0,39938.0,,,,2553.0,26145.27,26145.27
2003-07-01,4772.0,49488.0,49488.0,,,,1006.0,10302.45,10302.45
2003-08-01,4642.0,47815.0,47815.0,,,,1083.0,11091.0,11091.0
2003-09-01,3684.0,38207.0,38207.0,,,,180.0,1843.38,1843.38
2003-10-01,0.0,0.0,0.0,,,,1113.0,11398.23,11398.23
2003-11-01,1.0,13.0,13.0,,,,169.0,1730.73,1730.73
2003-12-01,7.0,79.0,79.0,,,,59.0,604.22,604.22
2004-01-01,8.0,91.0,91.0,,,,128.0,1282.82,1282.82
2004-02-01,22.0,223.0,223.0,,,,496.0,4970.91,4970.91
2004-03-01,0.0,0.0,0.0,,,,1768.0,17718.9,17718.9
2004-04-01,0.0,0.0,0.0,,,,2218.0,22228.8,22228.8
2004-05-01,28.0,285.0,285.0,,,,2781.0,27871.18,27871.18
2004-06-01,4230.0,43902.0,43902.0,,,,2271.0,22759.96,22759.96
2004-07-01,4250.0,44074.0,44074.0,,,,1913.0,19172.09,19172.09
2004-08-01,4557.0,46883.0,46883.0,,,,1237.0,12397.21,12397.21
2004-09-01,4509.0,46402.0,46402.0,,,,904.0,9059.89,9059.89
2004-10-01,4.0,40.0,40.0,,,,731.0,7326.08,7326.08
2004-11-01,9.0,94.0,94.0,,,,125.0,1252.75,1252.75
2004-12-01,15.0,160.0,160.0,,,,10.0,100.22,100.22
2005-01-01,120.0,1938.73,1938.73,,,,0.0,0.0,0.0
2005-02-01,21.0,210.33,210.33,,,,150.0,1499.85,1499.85
2005-03-01,0.0,0.0,0.0,,,,1077.0,10768.92,10768.92
2005-04-01,0.0,0.0,0.0,,,,1887.0,18868.11,18868.11
2005-05-01,52.0,535.57,535.57,,,,2866.0,28657.13,28657.13
2005-06-01,4317.0,44555.57,44555.57,,,,2335.0,23347.67,23347.67
2005-07-01,4305.0,44253.34,44253.34,,,,1403.0,14028.6,14028.6
2005-08-01,4915.0,50620.38,50620.38,,,,1897.0,18968.1,18968.1
2005-09-01,4423.0,45204.08,45204.08,,,,790.0,7899.21,7899.21
2005-10-01,0.0,0.0,0.0,,,,858.0,8579.14,8579.14
2005-11-01,0.0,0.0,0.0,,,,112.0,1119.89,1119.89
2005-12-01,9.0,1.03,1.03,,,,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,,,,49.0,486.0,486.0
2006-02-01,0.0,0.0,0.0,,,,109.0,1081.0,1081.0
2006-03-01,0.0,0.0,0.0,,,,143.0,1418.0,1418.0
2006-04-01,0.0,0.0,0.0,,,,1372.0,13609.0,13609.0
2006-05-01,19.0,192.0,192.0,,,,1778.0,17636.0,17636.0
2006-06-01,4698.0,48342.0,48342.0,,,,876.0,8689.0,8689.0
2006-07-01,4232.0,43162.0,43162.0,,,,313.0,3105.0,3105.0
2006-08-01,3669.0,37382.0,37382.0,,,,1498.0,14859.0,14859.0
2006-09-01,2196.0,22423.0,22423.0,,,,793.0,7866.0,7866.0
2006-10-01,0.0,0.0,0.0,,,,524.0,5198.0,5198.0
2006-11-01,110.0,1021.0,1021.0,,,,29.0,288.0,288.0
2006-12-01,0.0,0.0,0.0,,,,63.0,625.0,625.0
2007-01-01,0.0,0.0,0.0,,,,37.0,366.0,366.0
2007-02-01,0.0,0.0,0.0,,,,294.0,2906.0,2906.0
2007-03-01,1136.0,0.0,0.0,,,,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,,,,1378.0,13620.0,13620.0
2007-05-01,1.0,240.0,240.0,,,,2760.0,27280.0,27280.0
2007-06-01,6403.0,43343.0,43343.0,,,,0.0,0.0,0.0
2007-07-01,5471.0,43416.0,43416.0,,,,0.0,0.0,0.0
2007-08-01,5783.0,52358.0,52358.0,,,,0.0,0.0,0.0
2007-09-01,4909.0,46069.0,46069.0,,,,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0,,,,760.0,7512.0,7512.0
2007-11-01,0.0,0.0,0.0,,,,200.0,1977.0,1977.0
2007-12-01,0.0,0.0,0.0,,,,16.0,158.0,158.0
2008-01-01,85.0,1451.0,1451.0,,,,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,,,,337.0,3321.0,3321.0
2008-03-01,0.0,0.0,0.0,,,,1228.0,12101.0,12101.0
2008-04-01,0.0,0.0,0.0,,,,1971.0,19422.0,19422.0
2008-05-01,2193.0,347.0,347.0,,,,0.0,0.0,0.0
2008-06-01,3340.0,42846.0,42846.0,,,,6010.0,59223.0,59223.0
2008-07-01,3793.0,48007.0,48007.0,,,,6090.0,60011.0,60011.0
2008-08-01,3311.0,44139.0,44139.0,,,,5398.0,53192.0,53192.0
2008-09-01,3398.0,47890.0,47890.0,,,,5555.0,54739.0,54739.0
2008-10-01,0.0,0.0,0.0,,,,1114.0,10977.0,10977.0
2008-11-01,0.0,0.0,0.0,,,,271.0,2670.0,2670.0
2008-12-01,0.0,329.0,329.0,,,,66.0,650.0,650.0
2009-01-01,85.0,1443.0,1443.0,,,,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,,,,388.0,3787.0,3787.0
2009-03-01,0.0,0.0,0.0,,,,1594.0,15557.0,15557.0
2009-04-01,0.0,0.0,0.0,,,,2204.0,21511.0,21511.0
2009-05-01,0.0,362.0,362.0,,,,2133.0,20818.0,20818.0
2009-06-01,3038.0,48839.0,48839.0,,,,2756.0,26899.0,26899.0
2009-07-01,3368.0,51424.0,51424.0,,,,2912.0,28421.0,28421.0
2009-08-01,2787.0,43353.0,43353.0,,,,2986.0,29143.0,29143.0
2009-09-01,3027.0,46876.0,46876.0,,,,2437.0,23785.0,23785.0
2009-10-01,0.0,0.0,0.0,,,,961.0,9379.0,9379.0
2009-11-01,0.0,2.0,2.0,,,,234.0,2284.0,2284.0
2009-12-01,0.0,0.0,0.0,,,,30.0,293.0,293.0
2010-01-01,67.0,1726.0,1726.0,,,,32.0,312.0,312.0
2010-02-01,0.0,0.0,0.0,,,,433.0,4224.0,4224.0
2010-03-01,0.0,0.0,0.0,,,,1334.0,13015.0,13015.0
