measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2014-01-01,86.52,823.0,823.0
2014-02-01,112.605,1071.0,1071.0
2014-03-01,149.184,1419.0,1419.0
2014-04-01,146.928,1397.0,1397.0
2014-05-01,187.73,1785.0,1785.0
2014-06-01,159.425,1516.0,1516.0
2014-07-01,163.88,1558.0,1558.0
2014-08-01,173.178,1647.0,1647.0
2014-09-01,146.016,1389.0,1389.0
2014-10-01,186.422,1773.0,1773.0
2014-11-01,100.482,956.0,956.0
2014-12-01,103.63,986.0,986.0
2015-01-01,56.325,525.0,525.0
2015-02-01,46.191,430.0,430.0
2015-03-01,84.09,784.0,784.0
2015-04-01,95.581,891.0,891.0
2015-05-01,132.065,1231.0,1231.0
2015-06-01,123.099,1147.0,1147.0
2015-07-01,131.891,1229.0,1229.0
2015-08-01,117.588,1096.0,1096.0
2015-09-01,80.358,749.0,749.0
2015-10-01,72.194,673.0,673.0
2015-11-01,53.138,495.0,495.0
2015-12-01,79.65,742.0,742.0
2016-01-01,52.625,486.0,486.0
2016-02-01,64.283,593.0,593.0
2016-03-01,96.278,889.0,889.0
2016-04-01,100.871,931.0,931.0
2016-05-01,108.629,1003.0,1003.0
2016-06-01,107.424,992.0,992.0
2016-07-01,111.822,1032.0,1032.0
2016-08-01,137.581,1270.0,1270.0
2016-09-01,131.428,1213.0,1213.0
2016-10-01,133.435,1232.0,1232.0
2016-11-01,137.637,1271.0,1271.0
2016-12-01,149.537,1381.0,1381.0
2017-01-01,86.594,798.0,798.0
2017-02-01,105.712,974.0,974.0
2017-03-01,130.142,1199.0,1199.0
2017-04-01,141.755,1306.0,1306.0
2017-05-01,154.967,1428.0,1428.0
2017-06-01,132.543,1221.0,1221.0
2017-07-01,147.913,1363.0,1363.0
2017-08-01,133.535,1230.0,1230.0
2017-09-01,128.236,1181.0,1181.0
2017-10-01,111.665,1029.0,1029.0
2017-11-01,98.63,909.0,909.0
2017-12-01,80.638,743.0,743.0
2018-01-01,120.642,1098.0,1098.0
2018-02-01,116.385,1060.0,1060.0
2018-03-01,172.195,1568.0,1568.0
2018-04-01,186.758,1700.0,1700.0
2019-01-01,27.815,248.0,248.0
2019-02-01,27.386,244.0,244.0
2019-03-01,42.528,379.0,379.0
2019-04-01,44.68,398.0,398.0
2019-05-01,48.189,429.0,429.0
2019-06-01,42.79,381.0,381.0
2019-07-01,45.565,406.0,406.0
2019-08-01,41.484,369.0,369.0
2019-09-01,42.481,378.0,378.0
2019-10-01,34.736,309.0,309.0
2019-11-01,31.082,277.0,277.0
2019-12-01,26.264,234.0,234.0
2020-01-01,30.839,270.0,270.0
2020-02-01,32.723,287.0,287.0
2020-03-01,43.324,380.0,380.0
2020-04-01,47.713,418.0,418.0
2020-05-01,53.065,465.0,465.0
2020-06-01,48.258,423.0,423.0
2020-07-01,51.711,453.0,453.0
2020-08-01,45.186,396.0,396.0
2020-09-01,38.207,335.0,335.0
2020-10-01,37.791,331.0,331.0
2020-11-01,32.045,281.0,281.0
2020-12-01,31.138,273.0,273.0
2021-07-01,321.092,2840.0,2840.0
2021-08-01,297.634,2632.0,2632.0
2021-09-01,288.092,2548.0,2548.0
2021-10-01,257.036,2273.0,2273.0
2021-11-01,231.219,2045.0,2045.0
2021-12-01,182.927,1618.0,1618.0
2022-01-01,165.282,564.0,564.0
2022-02-01,186.127,635.0,635.0
2022-03-01,239.387,817.0,817.0
2022-04-01,276.733,944.0,944.0
2022-05-01,282.994,966.0,966.0
2022-06-01,284.013,969.0,969.0
2022-07-01,263.257,898.0,898.0
2022-08-01,246.102,840.0,840.0
2022-09-01,222.618,760.0,760.0
2022-10-01,217.971,744.0,744.0
2022-11-01,148.695,507.0,507.0
2022-12-01,139.821,477.0,477.0
2023-01-01,107.0,365.0,365.0
2023-02-01,178.0,607.0,607.0
2023-03-01,254.0,867.0,867.0
2023-04-01,269.0,918.0,918.0
2023-05-01,336.0,1146.0,1146.0
2023-06-01,270.0,921.0,921.0
2023-07-01,287.0,979.0,979.0
2023-08-01,265.0,904.0,904.0
2023-09-01,219.0,747.0,747.0
2023-10-01,211.0,720.0,720.0
2023-11-01,151.0,515.0,515.0
2023-12-01,97.0,331.0,331.0
2024-01-01,55.0,188.0,188.0
2024-02-01,190.0,648.0,648.0
2024-03-01,246.0,839.0,839.0
2024-04-01,251.0,856.0,856.0
2024-05-01,253.0,863.0,863.0
2024-06-01,329.0,1123.0,1123.0
2024-07-01,296.0,1010.0,1010.0
2024-08-01,271.0,925.0,925.0
2024-09-01,210.0,717.0,717.0
2024-10-01,204.0,696.0,696.0
2024-11-01,116.0,396.0,396.0
2024-12-01,107.0,365.0,365.0
