measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,1156.798,14671.0,72947.0,1.217,14.0,77.0,165.698,2101.0,10448.0,0.562,7.0,36.0
2003-02-01,998.3520000000001,12662.0,62955.0,1.05,12.0,67.0,143.00300000000001,1814.0,9017.0,0.485,6.0,31.0
2003-03-01,942.9140000000001,11959.0,59459.0,0.992,12.0,63.0,135.062,1713.0,8517.0,0.458,6.0,29.0
2003-04-01,921.778,11691.0,58126.0,0.97,12.0,62.0,132.03400000000002,1675.0,8326.0,0.448,6.0,29.0
2003-05-01,969.0830000000001,12291.0,61109.0,1.02,12.0,65.0,138.81,1760.0,8753.0,0.47100000000000003,6.0,30.0
2003-06-01,1018.8530000000001,12922.0,64248.0,1.072,13.0,68.0,145.939,1851.0,9202.0,0.495,6.0,32.0
2003-07-01,1135.306,14399.0,71591.0,1.194,14.0,76.0,162.62,2062.0,10254.0,0.551,7.0,35.0
2003-08-01,1181.989,14991.0,74535.0,1.243,15.0,79.0,169.30700000000002,2147.0,10676.0,0.5740000000000001,7.0,37.0
2003-09-01,966.822,12262.0,60967.0,1.0170000000000001,12.0,65.0,138.48600000000002,1756.0,8732.0,0.46900000000000003,6.0,30.0
2003-10-01,971.845,12326.0,61284.0,1.022,12.0,65.0,139.20600000000002,1765.0,8778.0,0.47200000000000003,6.0,30.0
2003-11-01,971.4960000000001,12321.0,61262.0,1.022,12.0,65.0,139.156,1765.0,8775.0,0.47200000000000003,6.0,30.0
