measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,266329.0,2908303.0,2908303.0,481.0,5249.0,5249.0,,,,3.0,32.0,32.0,16381.0,178883.0,178883.0,,,
2003-02-01,237914.0,2626548.0,2626548.0,409.0,4512.0,4512.0,,,,13.0,143.0,143.0,11245.0,124147.0,124147.0,,,
2003-03-01,257494.0,2792899.0,2792899.0,408.0,4425.0,4425.0,,,,9.0,100.0,100.0,9671.0,104896.0,104896.0,,,
2003-04-01,204182.0,2202598.0,2202598.0,310.0,3347.0,3347.0,,,,170.0,1832.0,1832.0,0.0,0.0,0.0,,,
2003-05-01,184107.0,2059130.0,2059130.0,580.0,6486.0,6486.0,,,,127.0,1418.0,1418.0,0.0,0.0,0.0,,,
2003-06-01,184793.0,2068590.0,2068590.0,518.0,5795.0,5795.0,,,,149.0,1666.0,1666.0,1826.0,20443.0,20443.0,,,
2003-07-01,237483.0,2641409.0,2641409.0,406.0,4516.0,4516.0,,,,0.0,0.0,0.0,3944.0,43866.0,43866.0,,,
2003-08-01,256225.0,2807799.0,2807799.0,217.0,2379.0,2379.0,,,,16.0,180.0,180.0,2065.0,22625.0,22625.0,,,
2003-09-01,157550.0,1829203.0,1829203.0,412.0,4787.0,4787.0,,,,45.0,527.0,527.0,0.0,0.0,0.0,,,
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-11-01,148297.0,1676601.0,1676601.0,668.0,7551.0,7551.0,,,,411.0,4644.0,4644.0,0.0,0.0,0.0,,,
2003-12-01,216431.0,2379343.0,2379343.0,369.0,4055.0,4055.0,,,,89.0,977.0,977.0,335.0,3686.0,3686.0,,,
2004-01-01,233411.0,2555206.0,2555206.0,404.0,4418.0,4418.0,,,,139.0,1523.0,1523.0,1108.0,12133.0,12133.0,0.0,0.0,0.0
2004-02-01,265638.0,2887622.0,2887622.0,258.0,2874.0,2874.0,,,,0.0,5.0,5.0,331.0,3730.0,3730.0,0.0,0.0,0.0
2004-03-01,234237.0,2556659.0,2556659.0,382.0,4170.0,4170.0,,,,113.0,1234.0,1234.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,191141.0,2131357.0,2131357.0,557.0,6215.0,6215.0,,,,82.0,909.0,909.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,183263.0,2023154.0,2023154.0,454.0,5242.0,5242.0,,,,106.0,1215.0,1215.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,188353.0,2115455.0,2115455.0,575.0,6463.0,6463.0,,,,61.0,689.0,689.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,161264.0,1877789.0,1877789.0,624.0,7263.0,7263.0,,,,250.0,2911.0,2911.0,197.0,2290.0,2290.0,0.0,0.0,0.0
2004-08-01,81042.0,914221.0,914221.0,1002.0,11307.0,11307.0,,,,517.0,5831.0,5831.0,88.0,994.0,994.0,0.0,0.0,0.0
2004-09-01,87038.0,1002474.0,1002474.0,954.0,10944.0,10944.0,,,,553.0,6342.0,6342.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,124562.0,1448538.0,1448538.0,824.0,9579.0,9579.0,,,,400.0,4649.0,4649.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,139970.0,1628610.0,1628610.0,970.0,11290.0,11290.0,,,,634.0,7374.0,7374.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,143789.0,1628496.0,1628496.0,604.0,6846.0,6846.0,,,,506.0,5734.0,5734.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,35255.0,414920.0,414920.0,811.0,9544.32,9544.32,,,,395.0,4649.0,4649.0,2387.0,28091.14,28091.14,189898.0,2234908.39,2234908.39
2005-02-01,0.0,0.0,0.0,209.0,2378.88,2378.88,,,,151.0,1722.0,1722.0,0.0,0.0,0.0,244786.0,2791058.98,2791058.98
2005-03-01,0.0,0.0,0.0,334.0,3749.76,3749.76,,,,211.0,2363.0,2363.0,0.0,0.0,0.0,242293.0,2719682.24,2719682.24
2005-04-01,0.0,0.0,0.0,431.0,4769.28,4769.28,,,,4.0,46.0,46.0,13238.0,146475.23,146475.23,297286.0,3289385.7,3289385.7
2005-05-01,0.0,0.0,0.0,441.0,4798.08,4798.08,,,,86.0,926.0,926.0,232.0,2553.74,2553.74,232410.0,2561605.31,2561605.31
2005-06-01,0.0,0.0,0.0,629.0,6750.72,6750.72,,,,80.0,850.0,850.0,7436.0,80694.41,80694.41,253737.0,2810638.53,2810638.53
2005-07-01,0.0,0.0,0.0,731.0,7937.28,7937.28,,,,114.0,1233.0,1233.0,6631.0,72882.23,72882.23,259998.0,2899480.08,2899480.08
2005-08-01,0.0,0.0,0.0,615.0,6693.12,6693.12,,,,67.0,734.0,734.0,10151.0,110534.17,110534.17,260588.0,2837586.24,2837586.24
2005-09-01,0.0,0.0,0.0,315.0,3456.0,3456.0,,,,6.0,61.0,61.0,140.0,1534.76,1534.76,262576.0,2883737.1,2883737.1
2005-10-01,0.0,0.0,0.0,788.0,9031.68,9031.68,,,,99.0,1133.0,1133.0,4065.0,46608.9,46608.9,208209.0,2387322.9,2387322.9
2005-11-01,0.0,0.0,0.0,590.0,6848.64,6848.64,,,,65.0,758.0,758.0,287.0,3333.7,3333.7,166177.0,1929100.8,1929100.8
2005-12-01,0.0,0.0,0.0,623.0,7234.56,7234.56,,,,13.0,150.0,150.0,621.0,7214.63,7214.63,228378.0,2653046.55,2653046.55
2006-01-01,,,,413.0,4879.0,4879.0,,,,179.0,2119.0,2119.0,0.0,0.0,0.0,252057.0,2980147.0,2980147.0
2006-02-01,,,,268.0,3030.0,3030.0,,,,8.0,88.0,88.0,608.0,6869.0,6869.0,223326.0,2523934.0,2523934.0
2006-03-01,,,,650.0,7563.0,7563.0,,,,335.0,3902.0,3902.0,0.0,0.0,0.0,190847.0,2220262.0,2220262.0
2006-04-01,,,,51.0,582.0,582.0,,,,33.0,369.0,369.0,0.0,0.0,0.0,52407.0,592431.0,592431.0
2006-05-01,,,,714.0,8110.0,8110.0,,,,270.0,3068.0,3068.0,0.0,0.0,0.0,117661.0,1337078.0,1337078.0
2006-06-01,,,,688.0,7753.0,7753.0,,,,148.0,1668.0,1668.0,0.0,0.0,0.0,192067.0,2163599.0,2163599.0
2006-07-01,,,,508.0,5864.0,5864.0,,,,24.0,273.0,273.0,6058.0,69989.0,69989.0,206770.0,2388834.0,2388834.0
2006-08-01,,,,666.0,7511.0,7511.0,,,,98.0,1107.0,1107.0,2395.0,27016.0,27016.0,194050.0,2188473.0,2188473.0
2006-09-01,,,,455.0,5017.0,5017.0,,,,87.0,961.0,961.0,0.0,0.0,0.0,214227.0,2362451.0,2362451.0
2006-10-01,,,,79.0,881.0,881.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,303999.0,3400626.0,3400626.0
