measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2003-01-01,,,,12409.0,127080.57,127080.57
2003-02-01,217.0,4295.0,4295.0,14406.0,147531.85,147531.85
2003-03-01,-36.0,0.0,0.0,16064.0,164511.42,164511.42
2003-04-01,,,,15054.0,154168.01,154168.01
2003-05-01,0.0,0.0,0.0,14349.0,146948.11,146948.11
2003-06-01,136.0,3469.0,3469.0,14573.0,149242.09,149242.09
2003-07-01,135.0,3039.0,3039.0,17770.0,181982.57,181982.57
2003-08-01,,,,17035.0,174455.44,174455.44
2003-09-01,,,,13211.0,135293.85,135293.85
2003-10-01,-33.0,0.0,0.0,9152.0,93725.63,93725.63
2003-11-01,-15.0,0.0,0.0,9349.0,95743.11,95743.11
2003-12-01,,,,15162.0,155274.04,155274.04
2004-01-01,52.0,1971.0,1971.0,12321.0,123481.06,123481.06
2004-02-01,5.0,1050.0,1050.0,15161.0,151943.54,151943.54
2004-03-01,62.0,2224.0,2224.0,12594.0,126217.07,126217.07
2004-04-01,7.0,726.0,726.0,10934.0,109580.55,109580.55
2004-05-01,362.0,7422.0,7422.0,8552.0,85708.14,85708.14
2004-06-01,-17.0,277.0,277.0,7611.0,76277.44,76277.44
2004-07-01,-6.0,360.0,360.0,7101.0,71166.22,71166.22
2004-08-01,23.0,1050.0,1050.0,8078.0,80957.72,80957.72
2004-09-01,59.0,1746.0,1746.0,12026.0,120524.57,120524.57
2004-10-01,12.0,891.0,891.0,10553.0,105762.17,105762.17
2004-11-01,-32.0,18.0,18.0,11731.0,117568.08,117568.08
2004-12-01,-23.0,456.0,456.0,14119.0,141500.62,141500.62
2005-01-01,-10.0,637.2,637.2,14332.0,143305.67,143305.67
2005-02-01,-21.0,377.6,377.6,11795.0,117938.21,117938.21
2005-03-01,-21.0,371.7,371.7,17107.0,171052.89,171052.89
2005-04-01,2.0,23.6,23.6,14429.0,144275.57,144275.57
2005-05-01,56.0,1752.3,1752.3,8043.0,80421.96,80421.96
2005-06-01,-22.0,82.6,82.6,9884.0,98830.12,98830.12
2005-07-01,16.0,1038.4,1038.4,11376.0,113748.62,113748.62
2005-08-01,27.0,973.5,973.5,10858.0,108569.14,108569.14
2005-09-01,-22.0,0.0,0.0,3027.0,30266.97,30266.97
2005-10-01,67.0,1705.1,1705.1,8829.0,88281.17,88281.17
2005-11-01,-28.0,11.8,11.8,5233.0,52324.77,52324.77
2005-12-01,-25.0,501.5,501.5,14552.0,145505.45,145505.45
2006-01-01,-36.0,0.0,0.0,16871.0,167343.0,167343.0
2006-02-01,-33.0,0.0,0.0,9930.0,98496.0,98496.0
2006-03-01,22.0,1056.0,1056.0,7003.0,69463.0,69463.0
2006-04-01,-25.0,0.0,0.0,6597.0,65436.0,65436.0
2006-05-01,25.0,507.0,507.0,5951.0,59028.0,59028.0
2006-06-01,-20.0,183.0,183.0,7556.0,74948.0,74948.0
2006-07-01,59.0,1894.0,1894.0,6825.0,67697.0,67697.0
2006-08-01,527.0,12030.0,12030.0,5488.0,54435.0,54435.0
2006-09-01,-27.0,77.0,77.0,5497.0,54525.0,54525.0
2006-10-01,-31.0,100.0,100.0,5419.0,53751.0,53751.0
2006-11-01,-25.0,12.0,12.0,11674.0,115794.0,115794.0
2006-12-01,-33.0,1103.0,1103.0,10775.0,106877.0,106877.0
2007-01-01,9.0,1015.0,1015.0,15496.0,153162.0,153162.0
2007-02-01,-44.0,348.0,348.0,12835.0,126861.0,126861.0
2007-03-01,-37.0,183.0,183.0,13405.0,132495.0,132495.0
2007-04-01,-16.0,519.0,519.0,11196.0,110661.0,110661.0
2007-05-01,-28.0,201.0,201.0,6002.0,59324.0,59324.0
2007-06-01,23.0,1298.0,1298.0,4291.0,42412.0,42412.0
2007-07-01,-16.0,342.0,342.0,3835.0,37905.0,37905.0
2007-08-01,99.0,3640.0,3640.0,0.0,0.0,0.0
2007-09-01,-19.0,148.0,148.0,1632.0,16131.0,16131.0
2007-10-01,-6.0,861.0,861.0,1810.0,17890.0,17890.0
2007-11-01,-33.0,201.0,201.0,1745.0,17248.0,17248.0
2007-12-01,-36.0,224.0,224.0,4296.0,42462.0,42462.0
2008-01-01,-28.338,1180.0,1180.0,6967.712,68660.0,68660.0
2008-02-01,-15.154,631.0,631.0,7909.834000000001,77944.0,77944.0
2008-03-01,-13.21,549.0,549.0,8749.764000000001,86220.0,86220.0
2008-04-01,-10.289,431.0,431.0,8528.171,84037.0,84037.0
2008-05-01,-13.574,566.0,566.0,6508.169,64131.0,64131.0
