measured_on,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2014-04-01,517.051,4917.0,4917.0
2014-05-01,660.636,6283.0,6283.0
2014-06-01,561.028,5335.0,5335.0
2014-07-01,576.705,5484.0,5484.0
2014-08-01,609.425,5796.0,5796.0
2014-09-01,513.839,4887.0,4887.0
2014-10-01,656.031,6239.0,6239.0
2014-11-01,353.604,3363.0,3363.0
2014-12-01,364.681,3468.0,3468.0
2015-01-01,316.462,2949.0,2949.0
2015-02-01,259.526,2419.0,2419.0
2015-03-01,472.463,4403.0,4403.0
2015-04-01,537.024,5005.0,5005.0
2015-05-01,742.007,6915.0,6915.0
2015-06-01,691.636,6445.0,6445.0
2015-07-01,741.029,6906.0,6906.0
2015-08-01,660.67,6157.0,6157.0
2015-09-01,451.493,4207.0,4207.0
2015-10-01,405.62,3780.0,3780.0
2015-11-01,298.554,2782.0,2782.0
2015-12-01,447.516,4170.0,4170.0
2016-01-01,338.578,3126.0,3126.0
2016-02-01,348.461,3217.0,3217.0
2016-03-01,687.143,6344.0,6344.0
2016-04-01,577.673,5333.0,5333.0
2016-05-01,507.045,4681.0,4681.0
2016-06-01,599.475,5534.0,5534.0
2016-07-01,621.345,5736.0,5736.0
2016-08-01,817.463,7547.0,7547.0
2016-09-01,586.567,5415.0,5415.0
2016-10-01,451.349,4167.0,4167.0
2016-11-01,321.676,2970.0,2970.0
2016-12-01,520.225,4803.0,4803.0
2017-01-01,372.232,3429.0,3429.0
2017-02-01,454.415,4187.0,4187.0
2017-03-01,559.431,5154.0,5154.0
2017-04-01,609.349,5614.0,5614.0
2017-05-01,666.144,6137.0,6137.0
2017-06-01,569.752,5249.0,5249.0
2017-07-01,635.82,5858.0,5858.0
2017-08-01,574.015,5288.0,5288.0
2017-09-01,551.235,5079.0,5079.0
2017-10-01,480.003,4422.0,4422.0
2017-11-01,423.973,3906.0,3906.0
2017-12-01,346.631,3194.0,3194.0
2018-01-01,398.212,3625.0,3625.0
2018-02-01,349.04,3178.0,3178.0
2018-03-01,504.214,4590.0,4590.0
2018-04-01,619.126,5637.0,5637.0
2018-05-01,615.001,5599.0,5599.0
2018-06-01,661.614,6023.0,6023.0
2018-07-01,624.697,5687.0,5687.0
2018-08-01,637.873,5807.0,5807.0
2018-09-01,422.313,3845.0,3845.0
2018-10-01,454.692,4140.0,4140.0
2018-11-01,329.741,3002.0,3002.0
2018-12-01,272.477,2481.0,2481.0
2019-01-01,336.4,2996.0,2996.0
2019-02-01,324.215,2887.0,2887.0
2019-03-01,537.192,4784.0,4784.0
2019-04-01,552.039,4916.0,4916.0
2019-05-01,627.155,5585.0,5585.0
2019-06-01,607.781,5412.0,5412.0
2019-07-01,675.677,6017.0,6017.0
2019-08-01,601.699,5358.0,5358.0
2019-09-01,548.705,4886.0,4886.0
2019-10-01,435.083,3874.0,3874.0
2019-11-01,374.692,3337.0,3337.0
2019-12-01,332.362,2960.0,2960.0
2020-01-01,329.998,2893.0,2893.0
2020-02-01,339.141,2973.0,2973.0
2020-03-01,433.794,3803.0,3803.0
2020-04-01,589.206,5166.0,5166.0
2020-05-01,589.675,5170.0,5170.0
2020-06-01,573.68,5029.0,5029.0
2020-07-01,641.705,5626.0,5626.0
2020-08-01,515.262,4517.0,4517.0
2020-09-01,436.385,3826.0,3826.0
2020-10-01,442.418,3879.0,3879.0
2020-11-01,370.022,3244.0,3244.0
2020-12-01,312.714,2742.0,2742.0
2021-01-01,293.829,2599.0,2599.0
2021-02-01,287.031,2539.0,2539.0
2021-03-01,470.871,4164.0,4164.0
2021-04-01,632.721,5596.0,5596.0
2021-05-01,637.626,5639.0,5639.0
2021-06-01,587.384,5195.0,5195.0
2021-07-01,634.672,5613.0,5613.0
2021-08-01,578.455,5116.0,5116.0
2021-09-01,541.106,4786.0,4786.0
2021-10-01,444.28,3929.0,3929.0
2021-11-01,417.803,3695.0,3695.0
2021-12-01,305.222,2699.0,2699.0
2022-01-01,354.128,1208.0,1208.0
2022-02-01,395.148,1348.0,1348.0
2022-03-01,515.241,1758.0,1758.0
2022-04-01,668.81,2282.0,2282.0
2022-05-01,633.952,2163.0,2163.0
2022-06-01,669.971,2286.0,2286.0
2022-07-01,596.477,2035.0,2035.0
2022-08-01,580.232,1980.0,1980.0
2022-09-01,543.231,1854.0,1854.0
2022-10-01,455.473,1554.0,1554.0
2022-11-01,355.693,1214.0,1214.0
2022-12-01,278.644,951.0,951.0
2023-01-01,345.0,1177.0,1177.0
2023-02-01,371.0,1266.0,1266.0
2023-03-01,550.0,1877.0,1877.0
2023-04-01,575.0,1962.0,1962.0
2023-05-01,614.0,2095.0,2095.0
2023-06-01,574.0,1958.0,1958.0
2023-07-01,612.0,2088.0,2088.0
2023-08-01,592.0,2020.0,2020.0
2023-09-01,535.0,1825.0,1825.0
2023-10-01,535.0,1825.0,1825.0
2023-11-01,451.0,1539.0,1539.0
2023-12-01,375.0,1280.0,1280.0
2024-01-01,559.0,1907.0,1907.0
2024-02-01,463.0,1580.0,1580.0
2024-03-01,533.0,1819.0,1819.0
2024-04-01,566.0,1931.0,1931.0
2024-05-01,558.0,1904.0,1904.0
2024-06-01,607.0,2071.0,2071.0
2024-07-01,531.0,1812.0,1812.0
2024-08-01,567.0,1935.0,1935.0
2024-09-01,439.0,1498.0,1498.0
2024-10-01,560.0,1911.0,1911.0
2024-11-01,387.0,1320.0,1320.0
2024-12-01,366.0,1249.0,1249.0
