measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2022-01-01,399.689,1364.0,1364.0
2022-02-01,428.093,1461.0,1461.0
2022-03-01,552.682,1886.0,1886.0
2022-04-01,583.85,1992.0,1992.0
2022-05-01,627.677,2142.0,2142.0
2022-06-01,565.779,1930.0,1930.0
2022-07-01,568.774,1941.0,1941.0
2022-08-01,529.427,1806.0,1806.0
2022-09-01,444.911,1518.0,1518.0
2022-10-01,490.177,1672.0,1672.0
2022-11-01,344.26,1175.0,1175.0
2022-12-01,359.681,1227.0,1227.0
2023-01-01,397.0,1355.0,1355.0
2023-02-01,432.0,1474.0,1474.0
2023-03-01,569.0,1941.0,1941.0
2023-04-01,560.0,1911.0,1911.0
2023-05-01,589.0,2010.0,2010.0
2023-06-01,533.0,1819.0,1819.0
2023-07-01,587.0,2003.0,2003.0
2023-08-01,525.0,1791.0,1791.0
2023-09-01,454.0,1549.0,1549.0
2023-10-01,442.0,1508.0,1508.0
2023-11-01,312.0,1065.0,1065.0
2023-12-01,295.0,1007.0,1007.0
2024-01-01,325.0,1109.0,1109.0
2024-02-01,423.0,1443.0,1443.0
2024-03-01,461.0,1573.0,1573.0
2024-04-01,644.0,2197.0,2197.0
2024-05-01,642.0,2191.0,2191.0
2024-06-01,612.0,2088.0,2088.0
2024-07-01,524.0,1788.0,1788.0
2024-08-01,475.0,1621.0,1621.0
2024-09-01,333.0,1136.0,1136.0
2024-10-01,438.0,1494.0,1494.0
2024-11-01,336.0,1146.0,1146.0
2024-12-01,273.0,931.0,931.0
