measured_on,"Anthracite Coal-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Anthracite Coal-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Anthracite Coal-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,,,,321.111,3090.0,3090.0,0.0,0.0,0.0,1535.06,19169.0,35952.0,4573.28,57107.0,107105.0
2003-02-01,,,,,,,289.997,2791.0,2791.0,0.0,0.0,0.0,1386.319,17312.0,32468.0,4130.148,51574.0,96727.0
2003-03-01,,,,,,,297.533,2863.0,2863.0,0.0,0.0,0.0,1422.346,17761.0,33312.0,4237.48,52914.0,99241.0
2003-04-01,,,,,,,268.545,2584.0,2584.0,0.0,0.0,0.0,1283.767,16031.0,30066.0,3824.6220000000003,47759.0,89572.0
2003-05-01,,,,,,,271.682,2614.0,2614.0,0.0,0.0,0.0,1298.767,16218.0,30418.0,3869.3120000000004,48317.0,90618.0
2003-06-01,,,,,,,301.345,2900.0,2900.0,0.0,0.0,0.0,1440.567,17989.0,33739.0,4291.765,53592.0,100512.0
2003-07-01,,,,,,,350.325,3371.0,3371.0,0.0,0.0,0.0,1674.715,20913.0,39222.0,4989.342000000001,62303.0,116849.0
2003-08-01,,,,,,,355.644,3422.0,3422.0,0.0,0.0,0.0,1700.144,21230.0,39818.0,5065.101000000001,63249.0,118623.0
2003-09-01,,,,,,,299.82300000000004,2885.0,2885.0,0.0,0.0,0.0,1433.29,17898.0,33568.0,4270.085,53321.0,100004.0
2003-10-01,,,,,,,287.309,2765.0,2765.0,0.0,0.0,0.0,1373.471,17151.0,32167.0,4091.8720000000003,51096.0,95830.0
2003-11-01,,,,,,,282.19800000000004,2715.0,2715.0,0.0,0.0,0.0,1349.038,16846.0,31595.0,4019.081,50187.0,94126.0
2003-12-01,,,,,,,318.487,3065.0,3065.0,0.0,0.0,0.0,1522.517,19012.0,35658.0,4535.911,56641.0,106230.0
2004-01-01,,,,,,,327.32,3149.69,3381.42,0.0,0.0,0.0,18.499209999999998,124.27,511.02,6225.39079,41818.55,171969.42
2004-02-01,,,,,,,170.52,1640.86,1766.24,0.0,0.0,0.0,0.0,0.0,0.0,5748.22,38613.19,150301.2
2004-03-01,,,,,,,106.82,1027.89,1086.47,0.0,0.0,0.0,0.0,0.0,0.0,6025.64,40476.74,150313.38
2004-04-01,,,,,,,42.14,405.5,737.87,0.0,0.0,0.0,40.526849999999996,272.24,881.28,5627.18315,37800.14,122366.37
2004-05-01,,,,,,,79.38,763.85,871.5,0.0,0.0,0.0,0.0,0.0,0.0,5468.86,36736.61,113493.24
2004-06-01,,,,,,,107.8,1037.32,1103.9,0.0,0.0,0.0,88.30776,593.2,1965.54,5789.89224,38893.12,128870.49
2004-07-01,,,,,,,203.84,1961.48,2109.03,0.0,0.0,0.0,0.0,0.0,0.0,6305.0,42353.32,152828.55
2004-08-01,,,,,,,252.84,2433.0,2498.3,0.0,0.0,0.0,0.0,0.0,0.0,6376.78,42835.49,152067.3
2004-09-01,,,,,,,1082.9,10420.39,11306.26,0.0,0.0,0.0,0.0,0.0,0.0,4328.14,29073.92,91416.99
2004-10-01,,,,,,,94.08,905.3,958.65,0.0,0.0,0.0,3391.35638,22781.16,64671.06,2384.02362,16014.48,45461.85
2004-11-01,,,,,,,148.96,1433.39,1435.07,0.0,0.0,0.0,1693.75488,11377.66,38833.44,4127.21512,27724.23,94626.42
2004-12-01,,,,,,,250.88,2414.14,2568.02,0.0,0.0,0.0,77.65773,521.66,2010.42,6179.81227,41512.38,159984.3
2005-01-01,,,,,,,294.0,2829.06,3021.2,,,,0.0,0.0,0.0,6334.1,42548.79,178570.98
2005-02-01,,,,,,,46.06,443.22,1650.04,,,,4.3177,29.0,114.24,5658.5423,38010.79,149716.56
2005-03-01,,,,,,,314.58,3009.58,3009.58,,,,0.0,0.0,0.0,6026.61,40483.25,162828.33
2005-04-01,,,,,,,69.58,669.55,720.44,,,,0.0,0.0,0.0,6576.6,44177.77,130490.43
2005-05-01,,,,,,,93.1,895.87,970.27,,,,0.0,0.0,0.0,5398.05,36260.95,114467.64
2005-06-01,,,,,,,269.5,2593.31,2841.09,,,,0.0,0.0,0.0,6078.99,40835.11,132043.38
2005-07-01,,,,,,,436.1,4196.45,4572.47,,,,6463.11,43415.41,150884.52,0.0,0.0,0.0
2005-08-01,,,,,,,447.86,4309.61,4758.39,,,,6425.11021,43160.15,146221.08,45.759789999999995,307.39,1041.39
2005-09-01,,,,,,,1534.68,14767.72,15617.28,,,,87.92889,590.66,1811.52,3773.64111,25349.12,77744.94
2005-10-01,,,,,,,336.14,3234.56,3782.31,,,,0.0,0.0,0.0,5253.52,35290.09,116982.81
2005-11-01,,,,,,,663.46,6384.26,11596.76,,,,0.0,0.0,0.0,5036.24,33830.53,125892.48
2005-12-01,,,,,,,687.96,6620.01,6762.84,,,,0.0,0.0,0.0,5808.36,39017.18,157109.82
2006-01-01,,,,,,,444.92,4159.96,4159.96,,,,0.0,0.0,0.0,6381.63,42868.07,159564.09
2006-02-01,,,,,,,224.42,2159.52,2265.9,,,,0.0,0.0,0.0,5591.08,37557.62,151513.11
2006-03-01,,,,,,,169.54,1631.43,1702.33,,,,0.0,0.0,0.0,6130.4,41180.45,159277.86
2006-04-01,,,,,,,279.3,2687.61,2870.14,,,,250.01273,1679.44,6166.92,5300.32727,35604.51,130740.12
2006-05-01,,,,,,,630.14,6063.63,6425.86,,,,4896.37594,32891.0,107009.22,59.35406,398.71,1297.17
2006-06-01,,,,,,,143.08,1376.81,1388.59,,,,5769.56,38756.54,117283.68,0.0,0.0,0.0
2006-07-01,,,,,,,370.44,3564.62,3817.17,,,,6318.58,42444.54,143225.34,0.0,0.0,0.0
2006-08-01,,,,,,,314.58,3027.1,3363.99,,,,6245.15118,41951.29,139740.0,46.26882,310.81,1035.3
2006-09-01,,,,,,,143.08,1376.81,1975.4,,,,4915.46766,33019.25,119865.3,16.98234,114.08,414.12
2006-10-01,,,,,,,61.74,594.1,650.72,,,,5083.77,34149.8,116519.7,0.0,0.0,0.0
2006-11-01,,,,,,,131.32,1263.65,1388.59,,,,5687.11,38202.69,123957.54,0.0,0.0,0.0
2006-12-01,,,,,,,184.24,1772.88,1905.68,,,,19.839689999999997,133.27,492.66,5956.33031,40011.16,147907.83
2007-01-01,,,,,,,211.68,2034.0,2278.0,,,,0.0,0.0,0.0,6070.26,40775.0,154552.0
2007-02-01,,,,,,,296.94,2647.0,2647.0,,,,0.0,0.0,0.0,5535.79,37186.0,156617.0
2007-03-01,,,,,,,164.64,1586.0,1760.0,,,,0.0,0.0,0.0,5968.41,40090.0,156653.0
2007-04-01,,,,,,,49.0,471.0,471.0,,,,0.0,0.0,0.0,5702.63,38306.0,141684.0
2007-05-01,,,,,,,107.8,1040.0,1075.0,,,,5509.876,37012.0,114907.0,59.864000000000004,402.0,1248.0
2007-06-01,,,,,,,99.96,964.0,1028.0,,,,5704.57,38320.0,121928.0,0.0,0.0,0.0
2007-07-01,,,,,,,182.28,1755.0,1807.0,,,,6254.56,42015.0,145638.0,0.0,0.0,0.0
2007-08-01,,,,,,,270.48,2603.0,2777.0,,,,6152.71,41330.0,147244.0,0.0,0.0,0.0
2007-09-01,,,,,,,201.88,1941.0,2179.0,,,,5653.16,37975.0,116366.0,0.0,0.0,0.0
2007-10-01,,,,,,,5.88,35.0,35.0,,,,5344.7,35903.0,104240.0,0.0,0.0,0.0
2007-11-01,,,,,,,95.06,912.0,1005.0,,,,5662.86,38040.0,114256.0,0.0,0.0,0.0
2007-12-01,,,,,,,196.98,1894.0,2074.0,,,,5914.717000000001,39732.0,149525.0,94.433,633.0,2387.0
2008-01-01,,,,,,,286.16,2754.0,2957.0,0.0,0.0,0.0,5977.724,40155.0,120750.0,158.496,1065.0,3202.0
2008-02-01,,,,,,,300.86,2895.0,3166.0,0.0,0.0,0.0,5424.834,36441.0,120005.0,88.646,595.0,1961.0
2008-03-01,,,,,,,300.86,1540.0,1540.0,0.0,0.0,0.0,11650.67,78262.0,139304.0,0.0,0.0,0.0
2008-04-01,,,,,,,52.92,509.0,569.0,0.0,0.0,0.0,5493.11,36900.0,121348.0,0.0,0.0,0.0
2008-05-01,,,,,,,153.86,1481.0,1575.0,0.0,0.0,0.0,6447.59,43311.0,108436.0,0.0,0.0,0.0
2008-06-01,,,,,,,194.04,1867.0,1964.0,0.0,0.0,0.0,5666.74,38066.0,123089.0,0.0,0.0,0.0
2008-07-01,,,,,,,0.0,0.0,0.0,,,,7329.32,49234.0,144197.0,0.0,0.0,0.0
2008-08-01,,,,,,,378.28000000000003,3640.0,4160.0,,,,6235.16,41884.0,133615.0,0.0,0.0,0.0
2008-09-01,,,,,,,187.18,1801.0,1923.0,,,,6425.28,43161.0,113752.0,0.0,0.0,0.0
2008-10-01,,,,,,,98.0,943.0,976.0,,,,5640.55,37890.0,111759.0,0.0,0.0,0.0
2008-11-01,,,,,,,256.76,2471.0,2702.0,,,,5759.86,38691.0,130936.0,0.0,0.0,0.0
2008-12-01,,,,,,,493.92,4753.0,5566.0,,,,5898.57,39623.0,141464.0,0.0,0.0,0.0
2009-01-01,,,,,,,504.7,4857.0,5171.0,,,,5337.068,35851.0,150009.0,686.6320000000001,4612.0,19299.0
2009-02-01,,,,,,,183.26,1691.0,1691.0,,,,5557.13,37330.0,141993.0,0.0,0.0,0.0
2009-03-01,,,,,,,186.2,215.0,215.0,,,,5965.1230000000005,40070.0,145086.0,4.257000000000001,29.0,104.0
2009-04-01,,,,,,,120.54,1160.0,1238.0,,,,5561.98,37362.0,125750.0,0.0,0.0,0.0
2009-05-01,,,,,,,111.72,1075.0,1168.0,,,,6120.95,41117.0,102588.0,235.46,1582.0,3946.0
2009-06-01,,,,,,,120.54,1160.0,1214.0,,,,5767.62,38744.0,117137.0,0.0,0.0,0.0
2009-07-01,,,,,,,294.98,2838.0,2992.0,,,,6186.66,41558.0,135886.0,0.0,0.0,0.0
2009-08-01,,,,,,,580.16,5583.0,5862.0,,,,6146.89,41291.0,131854.0,0.0,0.0,0.0
2009-09-01,,,,,,,1388.66,13363.0,14159.0,,,,4055.57,27243.0,69925.0,0.0,0.0,0.0
2009-10-01,,,,,,,563.5,5422.0,6699.0,,,,4952.82,33270.0,106414.0,0.0,0.0,0.0
2009-11-01,,,,,,,159.74,1537.0,1786.0,,,,5338.886,35864.0,121120.0,102.81400000000001,691.0,2332.0
2009-12-01,,,,,,,237.16,2282.0,2295.0,,,,6139.13,41239.0,150723.0,0.0,0.0,0.0
2010-01-01,,,,,,,407.68,3922.0,3922.0,,,,5988.78,40229.0,156047.0,0.0,0.0,0.0
2010-02-01,,,,,,,736.96,7059.0,7059.0,,,,4805.38,32280.0,136575.0,0.0,0.0,0.0
2010-03-01,,,,,,,251.86,2353.0,2353.0,,,,5789.278,38889.0,134561.0,5.502000000000001,37.0,128.0
2010-04-01,,,,,,,56.84,547.0,616.0,,,,5522.21,37095.0,134561.0,0.0,0.0,0.0
2010-05-01,,,,,,,321.44,1999.0,1999.0,,,,5338.88,35863.0,105495.0,0.0,0.0,0.0
2010-06-01,,,,,,,375.34000000000003,3612.0,3753.0,,,,5775.38,38796.0,122077.0,0.0,0.0,0.0
2010-07-01,,,,,,,679.14,6535.0,6786.0,,,,6284.63,42216.0,149485.0,0.0,0.0,0.0
2010-08-01,,,,,,,494.90000000000003,4762.0,6339.0,,,,6196.836,41627.0,143102.0,39.294000000000004,264.0,907.0
2010-09-01,,,,,,,1278.9,12306.0,14246.0,,,,4015.8,26976.0,88477.0,0.0,0.0,0.0
2010-10-01,,,,,,,384.16,3697.0,5200.0,,,,6183.3730000000005,41536.0,103318.0,189.52700000000002,1273.0,3167.0
2010-11-01,,,,,,,35.28,244.0,244.0,,,,5342.079000000001,35885.0,125570.0,101.561,682.0,2387.0
2010-12-01,,,,,,,166.6,1423.0,1423.0,,,,5899.54,39630.0,156160.0,0.0,0.0,0.0
2011-01-01,,,,,,,258.72,2307.0,2307.0,,,,5871.342,39440.0,153471.0,134.898,906.0,3526.0
2011-02-01,,,,,,,146.02,1405.0,1453.0,,,,5455.28,36645.0,135858.0,0.0,0.0,0.0
2011-03-01,,,,,,,11.76,113.0,116.0,,,,5774.41,38789.0,142096.0,0.0,0.0,0.0
2011-04-01,,,,,,,1.96,19.0,29.0,,,,5408.72,36333.0,124085.0,0.0,0.0,0.0
2011-05-01,,,,,,,72.52,698.0,982.0,,,,5005.2,33622.0,101303.0,0.0,0.0,0.0
2011-06-01,,,,,,,42.14,285.0,285.0,,,,5884.02,39525.0,123538.0,0.0,0.0,0.0
2011-07-01,,,,,,,223.44,2150.0,2214.0,,,,6400.06,42992.0,151595.0,0.0,0.0,0.0
2011-08-01,,,,,,,359.66,3161.0,3161.0,,,,6618.31,44458.0,142470.0,0.0,0.0,0.0
2011-09-01,,,,,,,176.4,1470.0,1470.0,,,,5353.43,35961.0,108816.0,0.0,0.0,0.0
